
[00:00:00.000 --> 00:00:03.360]  今天的題目是「移民都唔得」
[00:00:03.360 --> 00:00:06.960]  最近都和一些年輕人一起去傾談
[00:00:06.960 --> 00:00:10.080]  都談到大家所關心的很多事情
[00:00:10.080 --> 00:00:13.080]  包括在香港現在的亂局當中
[00:00:13.080 --> 00:00:15.480]  不約而同的當中
[00:00:15.480 --> 00:00:18.280]  不止一個年輕人都和我提過
[00:00:18.280 --> 00:00:20.360]  就是他見到現在的環境
[00:00:20.360 --> 00:00:23.600]  其實都多多少少都想著將來的日子
[00:00:23.600 --> 00:00:25.080]  會不會考慮移民
[00:00:25.080 --> 00:00:26.440]  有些是自己想的
[00:00:26.440 --> 00:00:28.440]  有些是家人逼他想的
[00:00:28.440 --> 00:00:30.800]  看看這個情況都考慮一下
[00:00:30.800 --> 00:00:33.600]  其實不止年輕人
[00:00:33.600 --> 00:00:37.280]  最近都有個親戚和我太太去傾談一件事
[00:00:37.280 --> 00:00:40.400]  他說為了你兩個女兒的好處
[00:00:40.400 --> 00:00:42.960]  你有沒有考慮以後移民呢
[00:00:42.960 --> 00:00:46.400]  其實這個不是說說那麼簡單
[00:00:46.400 --> 00:00:49.400]  其實真的有人做的
[00:00:49.400 --> 00:00:51.360]  我們看看一個報告
[00:00:51.360 --> 00:00:52.880]  剛剛在七月底出的
[00:00:52.880 --> 00:00:55.520]  台灣政府方面的一個報告
[00:00:55.520 --> 00:00:59.080]  講到在過去的幾個月裏面都有個數字
[00:00:59.080 --> 00:01:04.440]  就是香港居民申請去台灣居住的情況
[00:01:04.440 --> 00:01:10.480]  我們見到四五六月都是二百多個申請
[00:01:10.480 --> 00:01:12.080]  一去到七月的時間
[00:01:12.080 --> 00:01:13.480]  數據很快就出來了
[00:01:13.480 --> 00:01:15.480]  七月接近四百
[00:01:15.480 --> 00:01:20.040]  比六月的時間足足高了百分之四十二點多
[00:01:20.040 --> 00:01:22.200]  我們見到真的
[00:01:22.200 --> 00:01:27.400]  當大家都對社會前景有一個擔憂
[00:01:27.400 --> 00:01:30.000]  甚至恐懼的時候
[00:01:30.000 --> 00:01:33.400]  移民他鄉其實都是一個選擇
[00:01:33.400 --> 00:01:36.880]  移民這件事不單止發生在現今這個世代
[00:01:36.880 --> 00:01:40.280]  其實很多年前在舊約的時間已經出現過
[00:01:40.280 --> 00:01:43.280]  一光之下無新事
[00:01:43.280 --> 00:01:44.320]  適逢已到之見
[00:01:44.320 --> 00:01:47.440]  剛剛現在讀耶利米書
[00:01:47.440 --> 00:01:49.360]  耶利米書裏面都講到一段經文
[00:01:49.360 --> 00:01:53.240]  講到猶太一些百姓去移民這件事
[00:01:53.240 --> 00:01:56.080]  我們看這段經文給我們今天有什麼提醒
[00:01:56.080 --> 00:01:57.760]  特別是我們今天的信徒
[00:01:57.760 --> 00:02:01.400]  在現今這個世代當中有什麼提醒
[00:02:01.400 --> 00:02:03.640]  經文一開頭的時候就講到
[00:02:03.640 --> 00:02:07.680]  耶利米聚集一班猶太百姓
[00:02:07.680 --> 00:02:10.200]  向他們宣講神的說話
[00:02:10.200 --> 00:02:15.320]  其實是回應他們要求尼西米向神的一個祈禱
[00:02:15.320 --> 00:02:18.720]  那個祈禱不是尼西米主動發出向神的
[00:02:18.720 --> 00:02:24.000]  是那班百姓要求他向神發出一個祈禱
[00:02:24.000 --> 00:02:27.280]  到底這班百姓是向神祈求什麼呢?
[00:02:27.280 --> 00:02:31.200]  我們回到42章前面講的內容
[00:02:31.200 --> 00:02:34.400]  第三節講得很清楚
