
[00:00:00.000 --> 00:00:03.520]  以我們一齊的禱告
[00:00:03.520 --> 00:00:08.160]  蔡姬恩主,多謝祢賜給我們寶貴的話語
[00:00:08.160 --> 00:00:10.840]  多謝祢賜給我們寶貴的聖靈
[00:00:10.840 --> 00:00:13.520]  引導我們進入真理
[00:00:13.520 --> 00:00:16.400]  我們知道我們有天國子民的身份
[00:00:16.400 --> 00:00:20.040]  但在地上,我們確實充滿各樣的挑戰
[00:00:20.040 --> 00:00:23.800]  我們見到世界政局的動盪
[00:00:23.800 --> 00:00:25.720]  我們自己身處的環境
[00:00:25.720 --> 00:00:28.680]  也有著各樣不容易的掙扎
[00:00:28.680 --> 00:00:31.440]  願主祢的靈親自與我們同在
[00:00:31.440 --> 00:00:36.080]  教導我們如何可以活出在地若天的生命
[00:00:36.080 --> 00:00:37.440]  願主祢親自的教導
[00:00:37.440 --> 00:00:40.520]  以致無論講的、聽的一同的蒙福
[00:00:40.520 --> 00:00:41.640]  聽我們的禱告
[00:00:41.640 --> 00:00:42.760]  奉教我的救主
[00:00:42.760 --> 00:00:43.600]  耶穌基督
[00:00:43.600 --> 00:00:45.320]  好歸聖名去求
[00:00:45.320 --> 00:00:47.000]  阿們
[00:00:47.000 --> 00:00:50.120]  最近有機會出席了幾個婚禮
[00:00:50.120 --> 00:00:52.400]  一對新人共定婚盟的時候
[00:00:52.400 --> 00:00:54.320]  有些誓詞
[00:00:54.320 --> 00:00:56.840]  無論是順境或者逆境
[00:00:56.840 --> 00:00:58.480]  富裕或者貧窮
[00:00:58.480 --> 00:01:00.080]  健康或者疾病
[00:01:00.080 --> 00:01:01.720]  快樂或者憂愁
[00:01:01.720 --> 00:01:03.560]  我將永遠愛著你
[00:01:03.560 --> 00:01:05.160]  珍惜你
[00:01:05.160 --> 00:01:09.080]  對你忠誠直到永遠永遠
[00:01:09.080 --> 00:01:12.400]  誓詞是描述去衛生一個婚盟裏面
[00:01:12.400 --> 00:01:14.320]  一種愛的關係
[00:01:14.320 --> 00:01:17.680]  但當對新人要在一個很現實的生活場景
[00:01:17.680 --> 00:01:20.280]  具體演繹這份關係的時候
