
[00:00:00.000 --> 00:00:03.000]  我們在一起祈禱祈禱
[00:00:03.000 --> 00:00:06.000]  親愛的主我們再次來到你面前
[00:00:06.000 --> 00:00:09.000]  我們渴望一件事可以在我們生命當中發生
[00:00:09.000 --> 00:00:13.000]  就是我們可以常常與你親近
[00:00:13.000 --> 00:00:14.000]  明白你的心意
[00:00:14.000 --> 00:00:16.000]  親愛的主我謝謝你
[00:00:16.000 --> 00:00:18.000]  今天早晨我們來到這裡
[00:00:18.000 --> 00:00:20.000]  也是要表明我們對你的愛
[00:00:20.000 --> 00:00:23.000]  也要表明我們願意堅持來
[00:00:23.000 --> 00:00:25.000]  堅信來相信你
[00:00:25.000 --> 00:00:28.000]  親愛的主求你向我們的心說話
[00:00:28.000 --> 00:00:32.000]  求你拆敗聖靈來幫助我們進入你的真理裡面
[00:00:32.000 --> 00:00:35.000]  謝謝主因為實在在今天早晨
[00:00:35.000 --> 00:00:37.000]  我們要經歷你的作為
[00:00:37.000 --> 00:00:40.000]  求你向我們的靈向我們的心來說話
[00:00:40.000 --> 00:00:43.000]  親愛的主奉耶穌基督的名禱告
[00:00:43.000 --> 00:00:44.000]  Amen
[00:00:44.000 --> 00:00:52.000]  上禮拜我在海洋的時候
[00:00:52.000 --> 00:00:55.000]  他們在查考經文
[00:00:55.000 --> 00:00:58.000]  結果查到這一段的時候很特別
[00:00:58.000 --> 00:01:01.000]  因為他就發現這裡所說的耶穌
[00:01:01.000 --> 00:01:04.000]  在討論的時候他們就討論這個耶穌
[00:01:04.000 --> 00:01:05.000]  31節他們好像
[00:01:05.000 --> 00:01:07.000]  耶穌到底跟誰說話
[00:01:07.000 --> 00:01:10.000]  他們就說耶穌對信他的猶太人說
[00:01:10.000 --> 00:01:13.000]  所以說這群人是信他的猶太人
[00:01:13.000 --> 00:01:15.000]  可是後來發現後面的時候
[00:01:15.000 --> 00:01:16.000]  剛第八章讀完的時候
[00:01:16.000 --> 00:01:19.000]  就發現這些人他們就說他們不信了
[00:01:19.000 --> 00:01:21.000]  這些人59節
[00:01:21.000 --> 00:01:23.000]  於是他們要拿石頭打他
[00:01:23.000 --> 00:01:26.000]  然後耶穌就躲藏從電影出去了
[00:01:26.000 --> 00:01:28.000]  到底這些人有沒有信
[00:01:28.000 --> 00:01:31.000]  他們就討論半天到底有沒有信
[00:01:31.000 --> 00:01:33.000]  這些人怎麼信
[00:01:33.000 --> 00:01:36.000]  到最後又要拿石頭打耶穌
[00:01:36.000 --> 00:01:38.000]  後來討論半天以後就發現
[00:01:38.000 --> 00:01:39.000]  其實是有答案的
[00:01:39.000 --> 00:01:41.000]  答案在哪裡呢
[00:01:41.000 --> 00:01:44.000]  答案在45節
[00:01:44.000 --> 00:01:46.000]  45節是這樣說的
[00:01:46.000 --> 00:01:49.000]  耶穌說我將真理告訴你們
[00:01:49.000 --> 00:01:51.000]  你們就因此不信我
[00:01:51.000 --> 00:01:54.000]  那這裡有一個特別的描述
[00:01:54.000 --> 00:01:55.000]  原來有一些人
[00:01:55.000 --> 00:01:57.000]  當他說他相信的時候
[00:01:57.000 --> 00:02:00.000]  他只是頭腦上的相信
[00:02:00.000 --> 00:02:02.000]  他覺得很好
[00:02:02.000 --> 00:02:06.000]  但當他更明白耶穌的真理的時候
[00:02:06.000 --> 00:02:08.000]  他可能就不信了
[00:02:08.000 --> 00:02:10.000]  這是耶穌說的話
[00:02:10.000 --> 00:02:12.000]  所以今天我們要來思想一件事情
[00:02:12.000 --> 00:02:17.000]  就是到底你要成為一般這樣的信徒
[00:02:17.000 --> 00:02:24.000]  還是你要成為一個耶穌所認為真正的門徒
[00:02:24.000 --> 00:02:26.000]  這不是耶穌的決定
[00:02:26.000 --> 00:02:29.000]  這是你我的選擇
[00:02:29.000 --> 00:02:31.000]  從來跟從耶穌這件事
[00:02:31.000 --> 00:02:34.000]  耶穌呼召所有的人來跟隨他
[00:02:34.000 --> 00:02:37.000]  但是人決定怎麼跟隨
[00:02:37.000 --> 00:02:38.000]  是人的決定
[00:02:38.000 --> 00:02:39.000]  所以我們就來看看
[00:02:39.000 --> 00:02:41.000]  這段經文要告訴我們什麼
[00:02:41.000 --> 00:02:45.000]  所以今天我就透過這段經文來分享
[00:02:45.000 --> 00:02:49.000]  到底有關門徒的真理跟自由是什麼事情
[00:02:49.000 --> 00:02:50.000]  就在這裡
[00:02:50.000 --> 00:02:53.000]  第一件事情要跟你分享
