
[00:00:00.000 --> 00:00:05.160]  這個聖經裏面講到 啟示錄裏面有七個教會
[00:00:05.160 --> 00:00:07.400]  在土耳其的地方的 七個教會
[00:00:07.400 --> 00:00:09.980]  不要以為是七個教會 在耶路撒冷
[00:00:09.980 --> 00:00:12.980]  不是 其實是一個宣教
[00:00:12.980 --> 00:00:16.880]  向外宣教而產生了的教會出來的
[00:00:16.880 --> 00:00:18.320]  這個很重要的
[00:00:18.320 --> 00:00:22.940]  如果神的子民只是在耶路撒冷傳道
[00:00:22.940 --> 00:00:24.700]  不去其他地方傳道的話
[00:00:24.700 --> 00:00:28.700]  他們沒有遵守到耶穌基督的大使命
[00:00:28.700 --> 00:00:32.380]  所以你們要去使萬民做我的門徒 是不是
[00:00:32.380 --> 00:00:34.380]  如果只是向猶太人傳福音的話
[00:00:34.380 --> 00:00:37.420]  那怎麼會叫萬民 萬民是甚麼意思
[00:00:37.420 --> 00:00:40.020]  即是說世界各地的人
[00:00:40.020 --> 00:00:42.400]  所以他們就在耶路撒冷 撒瑪利亞
[00:00:42.400 --> 00:00:46.620]  甚至到這個世界的地極去傳揚這個福音
[00:00:46.620 --> 00:00:53.100]  這個信息是特別為了菲拉鐵非這個教會是很重要的
[00:00:53.100 --> 00:00:54.840]  因為第三宗第七次 它一開始就說
[00:00:54.840 --> 00:00:58.820]  你要寫信給菲拉鐵非教會的使者
[00:00:58.820 --> 00:01:03.120]  簡單說就是菲拉鐵非英文就是Philadelphia
[00:01:03.120 --> 00:01:07.260]  大家都知道 好像Wendy
[00:01:07.260 --> 00:01:11.640]  Felix 跟我說他去Philadelphia
[00:01:11.640 --> 00:01:14.780]  即是我們有位子民 他去了美國探親
[00:01:14.780 --> 00:01:16.160]  他臨走之前跟我說
[00:01:16.160 --> 00:01:19.180]  牧師 我就是去菲拉鐵非
[00:01:19.180 --> 00:01:22.180]  不過不是土耳其那個 是美國的Philadelphia
[00:01:22.180 --> 00:01:25.560]  而Philadelphia這個字眼是兩個字砌成的
[00:01:25.560 --> 00:01:27.100]  Phileo 和 Adolfoy
[00:01:27.100 --> 00:01:30.280]  即是說是愛弟兄 弟兄相愛
