
[00:00:00.000 --> 00:00:02.000]  不知道大家有沒有看過這部電影
[00:00:02.000 --> 00:00:04.000]  電影的名字叫做
[00:00:04.000 --> 00:00:08.000]  愛在記憶消逝前
[00:00:08.000 --> 00:00:09.000]  如果看到這個題目的時候
[00:00:09.000 --> 00:00:11.000]  你會看到這個名字的時候
[00:00:11.000 --> 00:00:14.000]  哪幾個字會吸引到你的注意力呢
[00:00:14.000 --> 00:00:17.000]  消失了呢
[00:00:17.000 --> 00:00:21.000]  我是留意到記憶兩個字
[00:00:21.000 --> 00:00:24.000]  然後我就看了這部電影
[00:00:24.000 --> 00:00:27.000]  這部電影是講述了一對年長的夫婦
[00:00:27.000 --> 00:00:29.000]  的一段經歷
[00:00:29.000 --> 00:00:32.000]  先生患了認知障礙症
[00:00:32.000 --> 00:00:35.000]  而太太得了一個很重的癌症
[00:00:35.000 --> 00:00:37.000]  在很短的時間之內
[00:00:37.000 --> 00:00:39.000]  可能就要離開人世了
[00:00:39.000 --> 00:00:41.000]  他的兒女都很關心他們
[00:00:41.000 --> 00:00:44.000]  希望他們得到一個適切的照顧
[00:00:44.000 --> 00:00:47.000]  就說不如你們去護老院
[00:00:47.000 --> 00:00:50.000]  長者的康復或者中心
[00:00:50.000 --> 00:00:53.000]  去接受這個幫助
[00:00:53.000 --> 00:00:57.000]  但是作為這位太太
[00:00:57.000 --> 00:01:00.000]  她覺得不想
[00:01:00.000 --> 00:01:03.000]  她想和先生有一個更加親密的關係
[00:01:03.000 --> 00:01:05.000]  走最後一個人生的道路
[00:01:05.000 --> 00:01:08.000]  於是他們做了一個很讓人吃驚的事情
[00:01:08.000 --> 00:01:11.000]  就是她和先生一起
[00:01:11.000 --> 00:01:15.000]  開了一部古老的露營車
[00:01:15.000 --> 00:01:18.000]  去一個先生很想去的地方
[00:01:18.000 --> 00:01:20.000]  然後開了一段很長的時間
[00:01:20.000 --> 00:01:23.000]  在路上他們就經歷了很多事情
[00:01:24.000 --> 00:01:27.000]  這部電影的內容就圍繞他們
[00:01:27.000 --> 00:01:29.000]  開著露營車去這個地方
[00:01:29.000 --> 00:01:32.000]  在經歷上很多的事情
[00:01:32.000 --> 00:01:36.000]  我們如果對認知障礙症有些了解的話
[00:01:36.000 --> 00:01:39.000]  都會知道
[00:01:39.000 --> 00:01:40.000]  我是怎樣
[00:01:40.000 --> 00:01:42.000]  五分鐘之前說的話
[00:01:42.000 --> 00:01:45.000]  可能十分鐘之後就忘記了
[00:01:45.000 --> 00:01:48.000]  你想想這位太太和先生相處的時候
[00:01:48.000 --> 00:01:51.000]  是不是很多樂趣
[00:01:51.000 --> 00:01:54.000]  還有一次在電影裡面
[00:01:54.000 --> 00:01:58.000]  先生竟然把她當作是他之前的一位女朋友
[00:01:58.000 --> 00:02:00.000]  告訴她一些秘密
[00:02:00.000 --> 00:02:02.000]  太太很開心
[00:02:02.000 --> 00:02:05.000]  但是太太依然在這個環境當中
[00:02:05.000 --> 00:02:07.000]  很愛她 很愛先生
[00:02:07.000 --> 00:02:09.000]  看這部電影的時候
[00:02:09.000 --> 00:02:11.000]  年紀大了的時候
[00:02:11.000 --> 00:02:15.000]  我會不會是那位認知障礙症的先生呢
[00:02:15.000 --> 00:02:17.000]  我太太會怎樣呢
[00:02:17.000 --> 00:02:20.000]  記憶是一個很奇妙的事情
[00:02:20.000 --> 00:02:23.000]  分化信仰裡面
[00:02:23.000 --> 00:02:28.000]  其實說到我們會蒙神的救贖
[00:02:28.000 --> 00:02:30.000]  我們離開人際的時候
[00:02:30.000 --> 00:02:33.000]  我們的靈魂和身體會分開
[00:02:33.000 --> 00:02:36.000]  靈魂是一個怎樣的事情呢
[00:02:36.000 --> 00:02:40.000]  靈魂如果沒有記憶的話會怎樣呢
[00:02:40.000 --> 00:02:44.000]  我覺得記憶是靈魂裡面一個很重要的元素
[00:02:44.000 --> 00:02:46.000]  雖然我不知道耶穌基督再來的時候
[00:02:46.000 --> 00:02:48.000]  那個記憶是怎樣的記憶
[00:02:48.000 --> 00:02:51.000]  但是我覺得記憶是會存在的
[00:02:51.000 --> 00:02:55.000]  不過是存在在什麼形式呢
[00:02:55.000 --> 00:02:58.000]  在現在科技的發展裡面
[00:02:58.000 --> 00:03:00.000]  有很多人去研究記憶
[00:03:00.000 --> 00:03:03.000]  有人甚至覺得我們可以幫助人去
[00:03:03.000 --> 00:03:05.000]  去很多的記憶 恢復記憶
[00:03:05.000 --> 00:03:07.000]  或者更加增強我們的記憶能力
[00:03:07.000 --> 00:03:10.000]  於是想到一個方法是怎樣呢
[00:03:10.000 --> 00:03:13.000]  把芯片放到人的腦裡面
[00:03:13.000 --> 00:03:15.000]  那你就會記得很多的東西
