
[00:00:00.000 --> 00:00:04.000]  各位大英節目平安 我們繼續研讀《十二仙之書》
[00:00:04.000 --> 00:00:07.000]  今天來到第五和第六卷
[00:00:07.000 --> 00:00:10.000]  第五卷是《若拿書》
[00:00:10.000 --> 00:00:13.000]  第六卷是《離家書》
[00:00:13.000 --> 00:00:17.000]  《若拿書》是非常精彩
[00:00:17.000 --> 00:00:21.000]  特別是講到這位逃跑的仙子《若拿》
[00:00:21.000 --> 00:00:25.000]  我們都知道《若拿》被一條大魚吞了
[00:00:25.000 --> 00:00:28.000]  在魚腹中有三天三夜那麼長
[00:00:28.000 --> 00:00:31.000]  然後魚吐了牠出來
[00:00:31.000 --> 00:00:33.000]  牠最終信服神
[00:00:33.000 --> 00:00:35.000]  去到尼尼眉城
[00:00:35.000 --> 00:00:42.000]  向尼尼眉這個國家宣告神審判的訊息
[00:00:42.000 --> 00:00:45.000]  所以讓我們很細心看一看
[00:00:45.000 --> 00:00:48.000]  到底《若拿書》講什麼
[00:00:48.000 --> 00:00:50.000]  《若拿書》只有四章
[00:00:50.000 --> 00:00:55.000]  第一章講這位逃跑的仙子
[00:00:55.000 --> 00:00:57.000]  神的呼召臨到《若拿》
[00:00:57.000 --> 00:01:01.000]  他說:若拿你起來去尼尼眉城
[00:01:01.000 --> 00:01:07.000]  我要你向尼尼眉城宣告我的審判
[00:01:07.000 --> 00:01:11.000]  若拿不肯 我不去 我不去
[00:01:11.000 --> 00:01:14.000]  他就買船票
[00:01:14.000 --> 00:01:16.000]  本來神叫他向東的
[00:01:16.000 --> 00:01:18.000]  他就向西
[00:01:18.000 --> 00:01:21.000]  去到最西邊 最西邊
[00:01:21.000 --> 00:01:23.000]  他思的地方
[00:01:23.000 --> 00:01:25.000]  如果神叫你去南
[00:01:25.000 --> 00:01:27.000]  你又走去北
[00:01:27.000 --> 00:01:28.000]  神叫你去北
[00:01:28.000 --> 00:01:30.000]  你又走去最南邊
[00:01:30.000 --> 00:01:32.000]  分明反抗
[00:01:32.000 --> 00:01:34.000]  分明不信服
[00:01:34.000 --> 00:01:36.000]  走自己的路
[00:01:36.000 --> 00:01:38.000]  神很奇妙
[00:01:38.000 --> 00:01:39.000]  當他上了船之後
[00:01:39.000 --> 00:01:42.000]  他就在船艙底睡覺
[00:01:42.000 --> 00:01:46.000]  怎麼知道 狂風大浪就興起
[00:01:46.000 --> 00:01:49.000]  船拋啊 拋啊拋得很厲害
[00:01:49.000 --> 00:01:53.000]  水手已經將很多貨物扔下海了
[00:01:53.000 --> 00:01:55.000]  希望船減輕一點
[00:01:55.000 --> 00:01:56.000]  不用這麼慘
[00:01:56.000 --> 00:01:58.000]  但仍然不行
[00:01:58.000 --> 00:02:00.000]  船快要沉
[00:02:00.000 --> 00:02:01.000]  於是他們就說
[00:02:01.000 --> 00:02:03.000]  到底是誰犯罪
[00:02:03.000 --> 00:02:05.000]  令到神興起風浪
[00:02:05.000 --> 00:02:07.000]  要滅我們的船
[00:02:07.000 --> 00:02:10.000]  於是他們就在抽籤
[00:02:10.000 --> 00:02:11.000]  一抽
[00:02:11.000 --> 00:02:14.000]  竟然這麼巧
[00:02:14.000 --> 00:02:17.000]  就抽中若拿
[00:02:17.000 --> 00:02:19.000]  於是他們問
[00:02:19.000 --> 00:02:20.000]  你是什麼事
[00:02:20.000 --> 00:02:21.000]  若拿說是
[00:02:21.000 --> 00:02:23.000]  因為我逃避神
[00:02:23.000 --> 00:02:25.000]  你將我拋下海
[00:02:25.000 --> 00:02:27.000]  於是水手沒辦法
[00:02:27.000 --> 00:02:30.000]  唯有將若拿扔下海
[00:02:30.000 --> 00:02:32.000]  到第二章
[00:02:32.000 --> 00:02:35.000]  神就差派一條大魚
[00:02:35.000 --> 00:02:39.000]  將若拿吞進漁福裡
[00:02:39.000 --> 00:02:42.000]  若拿在漁福裡
[00:02:42.000 --> 00:02:45.000]  三日三夜這麼長
[00:02:45.000 --> 00:02:47.000]  但我們感謝神
[00:02:47.000 --> 00:02:51.000]  若拿是一個禱告的先知
[00:02:51.000 --> 00:02:53.000]  所以第二章
[00:02:53.000 --> 00:02:58.000]  就記載若拿在漁福當中的禱告
[00:02:58.000 --> 00:03:03.000]  這篇禱文是非常之感動人的
[00:03:03.000 --> 00:03:07.000]  特別有幾節聖經是很出名的
[00:03:07.000 --> 00:03:13.000]  第二章的第三節
[00:03:13.000 --> 00:03:15.000]  第三節說
[00:03:15.000 --> 00:03:19.000]  你將我頭下深淵
[00:03:19.000 --> 00:03:22.000]  就是海的深處
[00:03:22.000 --> 00:03:25.000]  大水環繞我
[00:03:25.000 --> 00:03:28.000]  你的波浪雄圖
[00:03:28.000 --> 00:03:31.000]  漫過我身
[00:03:31.000 --> 00:03:34.000]  然後第六節
[00:03:34.000 --> 00:03:40.000]  我下到山根
[00:03:40.000 --> 00:03:45.000]  地的門檻將我永遠關住
[00:03:45.000 --> 00:03:47.000]  耶和華我的神啊
[00:03:47.000 --> 00:03:51.000]  你卻將我的性命
[00:03:51.000 --> 00:03:55.000]  都從深坑裡面
[00:03:55.000 --> 00:03:57.000]  將我救了出來
[00:03:57.000 --> 00:04:00.000]  然後到第九節
[00:04:00.000 --> 00:04:05.000]  但我必用感謝的聲音
[00:04:05.000 --> 00:04:10.000]  去獻祭與你
[00:04:10.000 --> 00:04:13.000]  我所許的願
[00:04:13.000 --> 00:04:15.000]  我必定償還
[00:04:15.000 --> 00:04:19.000]  因為救恩出於耶和華
[00:04:19.000 --> 00:04:21.000]  這位的先知
[00:04:21.000 --> 00:04:23.000]  是一位肯去禱告
[00:04:23.000 --> 00:04:25.000]  肯尋求神
