
[00:00:00.000 --> 00:00:03.700]  等你們平安,我們開始之前我們一切的祈禱
[00:00:03.700 --> 00:00:10.600]  天父,我們感謝祢賜給我們有一個這麼安靜的環境
[00:00:10.600 --> 00:00:12.900]  雖然外面有暴風雨
[00:00:12.900 --> 00:00:16.200]  但主人,我們感謝祢,因為有祢在我們裡面
[00:00:16.200 --> 00:00:18.200]  我們就有真的平安
[00:00:18.200 --> 00:00:20.300]  我們願意在這個時候
[00:00:20.300 --> 00:00:22.600]  願聖靈在我們當中
[00:00:22.600 --> 00:00:25.200]  讓我們能夠安靜、等候
[00:00:25.200 --> 00:00:27.200]  聆聽著祢自己的話語
[00:00:27.200 --> 00:00:30.400]  祈禱,奉我主耶穌名求,阿門
[00:00:30.400 --> 00:00:38.400]  不好意思,好像剛才的經文不是我的經文
[00:00:38.400 --> 00:00:40.400]  用回我的那個
[00:00:40.400 --> 00:00:48.400]  想看大家一會兒
[00:00:48.400 --> 00:00:50.400]  先看一個圖片表
[00:00:50.400 --> 00:00:52.400]  請大家看看圖片
[00:00:52.400 --> 00:00:55.400]  如果你在當中有參加我們門訓
[00:00:55.400 --> 00:01:00.400]  你就會知道這個表是什麼意思
[00:01:00.400 --> 00:01:05.400]  很簡單,不是要說什麼
[00:01:05.400 --> 00:01:07.400]  給你了解一下
[00:01:07.400 --> 00:01:10.400]  這個就是一個門徒塑造歷程表
[00:01:10.400 --> 00:01:12.400]  有五個階段
[00:01:12.400 --> 00:01:16.400]  第一個階段就是屬靈的死亡
[00:01:16.400 --> 00:01:19.400]  是指因著罪的緣故
[00:01:19.400 --> 00:01:21.400]  世人都不認識神
[00:01:21.400 --> 00:01:24.400]  所以有一批不懂得回應基督呼召的人
[00:01:24.400 --> 00:01:26.400]  就是未信主
[00:01:26.400 --> 00:01:31.400]  第二個階段就是屬靈的嬰孩
[00:01:31.400 --> 00:01:34.400]  因為他受了聖靈的感動
[00:01:34.400 --> 00:01:38.400]  使人知罪,賜他有悔改的心
[00:01:38.400 --> 00:01:41.400]  他就信了基督,得救
[00:01:41.400 --> 00:01:47.400]  我相信在當中大部分都已經是信主
[00:01:47.400 --> 00:01:50.400]  而這些嬰孩長大之後
[00:01:50.400 --> 00:01:52.400]  就成為了門徒
[00:01:52.400 --> 00:01:54.400]  另一個階段就是
[00:01:54.400 --> 00:01:58.400]  當門徒的生命成長
[00:01:58.400 --> 00:02:05.400]  他就會成為一個屬靈的父母
[00:02:05.400 --> 00:02:07.400]  而最後一個階段就是
[00:02:07.400 --> 00:02:10.400]  這些屬靈的父母繼續成長
[00:02:10.400 --> 00:02:13.400]  能夠成為主內的童工
[00:02:13.400 --> 00:02:19.400]  能夠正式侍奉神,訓練人
[00:02:19.400 --> 00:02:22.400]  與信徒一起工作
[00:02:22.400 --> 00:02:24.400]  他的責任就是訓練
[00:02:24.400 --> 00:02:28.400]  使更多的萬民成為門徒
[00:02:28.400 --> 00:02:30.400]  在這個圖表中
[00:02:30.400 --> 00:02:32.400]  我想起屬靈的父母
[00:02:32.400 --> 00:02:40.400]  當我越想起自己的人生歷程時
[00:02:40.400 --> 00:02:42.400]  我就很感謝上帝
[00:02:42.400 --> 00:02:44.400]  那個感受是很深的
[00:02:44.400 --> 00:02:49.400]  如果大家有聽過我的分享見證都知道
[00:02:49.400 --> 00:02:53.400]  我小時候在三聯班
[00:02:53.400 --> 00:02:57.400]  我插班去了一間公立學校讀小學
[00:02:57.400 --> 00:03:01.400]  在學校裏面有一個基督徒老師
[00:03:01.400 --> 00:03:03.400]  不知道什麼情況
[00:03:03.400 --> 00:03:04.400]  他就走過來問我
[00:03:04.400 --> 00:03:07.400]  想不想參加一些兒童聖經班
[00:03:07.400 --> 00:03:10.400]  因為學校是公立學校
[00:03:10.400 --> 00:03:12.400]  不會有什麼團體
[00:03:12.400 --> 00:03:17.400]  有些基督徒租了在附近的教會
[00:03:17.400 --> 00:03:20.400]  讓小朋友上課
[00:03:20.400 --> 00:03:22.400]  一個星期一次
[00:03:22.400 --> 00:03:24.400]  我記得是星期五
[00:03:24.400 --> 00:03:26.400]  我很開心地去
