
[00:00:00.000 --> 00:00:04.600]  今天的講題叫做「愛倫如己,光明磊落」
[00:00:04.600 --> 00:00:06.200]  我們會繼續講羅馬書
[00:00:06.200 --> 00:00:08.880]  13章8-14節
[00:00:08.880 --> 00:00:11.120]  其實只是很短的七節經文
[00:00:11.120 --> 00:00:13.120]  也很容易講的
[00:00:13.120 --> 00:00:16.800]  因為這段經文是很直接的
[00:00:16.800 --> 00:00:19.320]  如果何牧師上個星期講
[00:00:19.320 --> 00:00:23.000]  關於政府和教會的關係
[00:00:23.000 --> 00:00:25.360]  有些人認為是最難講的一段經文
[00:00:25.360 --> 00:00:28.080]  這一段可以說是其中一段
[00:00:28.080 --> 00:00:30.320]  在羅馬書中較為容易處理的經文
[00:00:30.320 --> 00:00:36.280]  但是講容易,做就不簡單
[00:00:36.280 --> 00:00:39.280]  我們大概記得那句有句甚麼說話
[00:00:39.280 --> 00:00:40.760]  「講就天下無敵」
[00:00:40.760 --> 00:00:42.160]  下一句是甚麼
[00:00:42.160 --> 00:00:44.920]  「做就有心有力」
[00:00:44.920 --> 00:00:46.440]  怎能夠有心有力呢
[00:00:46.440 --> 00:00:47.680]  直著神的話語
[00:00:47.680 --> 00:00:51.040]  所以今天我們一起讀哪一節經文
[00:00:51.040 --> 00:00:53.240]  或者鼓勵大家回去背這節經文
[00:00:53.240 --> 00:00:56.440]  我就選了羅馬書14章7-8節
[00:00:56.440 --> 00:00:59.160]  有時我們講到愛人也不容易
[00:00:59.160 --> 00:01:02.080]  不容易的原因可能是因為
[00:01:02.080 --> 00:01:03.560]  我們有一件事未做到
[00:01:03.560 --> 00:01:05.960]  我們一起讀七節和八節
[00:01:05.960 --> 00:01:07.960]  預備開始
[00:01:07.960 --> 00:01:11.040]  「我們沒有一個人為自己活
[00:01:11.040 --> 00:01:13.960]  也沒有一個人為自己死
[00:01:13.960 --> 00:01:17.120]  我們若活著是為主而活
[00:01:17.120 --> 00:01:20.040]  若死了是為主而死
[00:01:20.040 --> 00:01:24.040]  所以我們或活或死總是主敵人」
[00:01:24.040 --> 00:01:26.640]  這節經文是我受浸時
[00:01:26.640 --> 00:01:29.240]  我十三歲半受浸
[00:01:29.240 --> 00:01:31.600]  團契的導師送了一本書給我
[00:01:31.600 --> 00:01:34.360]  他在上面將這節金句寫給我
[00:01:34.360 --> 00:01:37.560]  當我在想今天背的經文是哪一段
[00:01:37.560 --> 00:01:39.440]  我安靜下來時就想起這段
[00:01:39.440 --> 00:01:41.640]  有時我們覺得愛人不容易
[00:01:41.640 --> 00:01:43.240]  不過不容易的背後
[00:01:43.240 --> 00:01:45.880]  會否是因為我們未夠將自己
[00:01:45.880 --> 00:01:48.320]  放在神的祭壇上成為活祭
[00:01:48.320 --> 00:01:49.760]  或者說得淺白一點
[00:01:49.760 --> 00:01:50.720]  就好像這裡
[00:01:50.720 --> 00:01:53.040]  我們未死得夠透
[00:01:53.040 --> 00:01:58.360]  經文提到我們活著是為主而活
[00:01:58.360 --> 00:02:00.360]  死了是為主而死
[00:02:00.360 --> 00:02:01.360]  所以最後那句話
[00:02:01.360 --> 00:02:05.360]  「我們或活或死總是主敵人」
[00:02:05.360 --> 00:02:06.680]  你跟旁邊的人說
[00:02:06.680 --> 00:02:09.280]  「你總是主敵人」
[00:02:09.280 --> 00:02:12.560]  「所以你要死」
[00:02:12.560 --> 00:02:15.160]  大家不是周災
[00:02:15.160 --> 00:02:18.360]  我們要為我們的信仰而活
[00:02:18.360 --> 00:02:21.640]  也要學習為信仰放下一些東西
[00:02:21.640 --> 00:02:23.640]  時間不夠
[00:02:23.640 --> 00:02:25.240]  不能夠幫大家背了
[00:02:25.240 --> 00:02:28.320]  不過邀請你回家背下去好不好?
[00:02:28.320 --> 00:02:29.760]  也有些人點頭
[00:02:29.760 --> 00:02:31.960]  有些安慰
[00:02:31.960 --> 00:02:35.920]  請你自己回去用時間
[00:02:35.920 --> 00:02:37.560]  將這節經文背下去
[00:02:37.560 --> 00:02:39.840]  成為你生命的幫助
[00:02:39.840 --> 00:02:43.040]  今天講題「愛倫如己,光明磊落」
[00:02:43.040 --> 00:02:44.400]  第一個重點是什麼呢?
