
[00:00:00.000 --> 00:00:02.120]  讓我們為著我們的服侍
[00:00:02.120 --> 00:00:04.800]  一同同心禱告
[00:00:04.800 --> 00:00:06.360]  主我們感謝祢
[00:00:06.360 --> 00:00:09.520]  是祢呼召我們聚集在一起
[00:00:09.520 --> 00:00:11.560]  去敬拜、讚美祢
[00:00:11.560 --> 00:00:14.720]  願意今日我們藉著祢的話語
[00:00:14.720 --> 00:00:17.360]  都是這樣謙卑在祢的裏面
[00:00:17.360 --> 00:00:20.880]  願意聖靈在我們當中帶領我們
[00:00:20.880 --> 00:00:24.120]  叫我們能夠明白順利祢的話語
[00:00:24.120 --> 00:00:25.840]  我們有著智慧
[00:00:25.840 --> 00:00:31.320]  同樣都有著心智去行動、去回應祢
[00:00:31.320 --> 00:00:36.320]  願主在當中藉著我們這段時間去保守我們
[00:00:36.320 --> 00:00:40.280]  叫我們能夠看見祢的提醒、鼓勵
[00:00:40.280 --> 00:00:41.960]  而且有回應
[00:00:41.960 --> 00:00:43.840]  奉主耶穌的聖名祈求
[00:00:43.840 --> 00:00:45.360]  阿門
[00:00:45.360 --> 00:00:50.320]  我小時候很喜歡看一本兒童刊物
[00:00:50.320 --> 00:00:57.320]  這是我每個星期日上主一學一個很大的獎賞
[00:00:57.320 --> 00:01:00.760]  就是如果我有留心上主一學的時候
[00:01:00.760 --> 00:01:03.880]  我就會可以看這本兒童週刊
[00:01:03.880 --> 00:01:06.800]  不知道你有沒有跟我差不多年紀的人
[00:01:06.800 --> 00:01:10.920]  這個都是你曾經童年的回憶呢?
[00:01:10.920 --> 00:01:15.080]  我記得當中這些兒童週刊裏面有很多的故事
[00:01:15.080 --> 00:01:17.960]  而其中一個故事是這樣說的
[00:01:17.960 --> 00:01:20.320]  從前有一個玉石師傅
[00:01:20.320 --> 00:01:22.320]  有一次他經過一條村
[00:01:22.320 --> 00:01:23.920]  看見兩兄弟
[00:01:23.920 --> 00:01:28.320]  他覺得這兩兄弟很有成為玉石師傅的天份
[00:01:28.320 --> 00:01:30.720]  所以就收他做徒弟
[00:01:30.720 --> 00:01:37.760]  之後師傅就教這兩個兄弟一些基本功
[00:01:37.760 --> 00:01:38.920]  然後就說
[00:01:38.920 --> 00:01:42.240]  我接下來要開展一段新的旅程
[00:01:42.240 --> 00:01:44.800]  去找更多好的玉石回來
[00:01:44.800 --> 00:01:46.680]  不過我會回來的
[00:01:46.680 --> 00:01:52.720]  所以你們現在我就留下一塊又大又未雕琢的玉石給你們
[00:01:52.720 --> 00:01:57.480]  這塊玉石開墾之後一定會賺到一個好的價錢
[00:01:57.480 --> 00:02:02.000]  等我回來之後就會教你們怎樣開墾這塊玉石
[00:02:02.000 --> 00:02:07.160]  在這段時間你們就先練好你們的基本功
[00:02:07.160 --> 00:02:12.600]  於是兩兄弟就充滿著期盼地去送師傅離開
[00:02:12.600 --> 00:02:16.360]  然後每天都搬這塊大石去到村口
[00:02:16.360 --> 00:02:20.440]  希望第一時間可以等到師傅回來
[00:02:20.440 --> 00:02:24.400]  時間一天又一天地過去
[00:02:24.400 --> 00:02:28.680]  哥哥因為聽到村民每天的冷嘲熱諷
[00:02:28.680 --> 00:02:30.360]  他決定放棄
[00:02:30.360 --> 00:02:32.080]  他就跟弟弟說
[00:02:32.080 --> 00:02:34.280]  弟弟啊 放棄吧
[00:02:34.280 --> 00:02:36.000]  你看看隔壁的鄰居
[00:02:36.000 --> 00:02:38.480]  他們全部又買田又買地了
[00:02:38.480 --> 00:02:40.880]  你看看我們現在什麼身世
[00:02:40.880 --> 00:02:44.720]  到今天連師傅的人影我們都未見過
[00:02:44.720 --> 00:02:47.520]  我們一定是被人欺騙了
[00:02:47.520 --> 00:02:49.600]  但弟弟他是這樣說的
[00:02:49.600 --> 00:02:51.520]  他說:不會的
[00:02:51.520 --> 00:02:53.600]  你都認識師傅的為人
[00:02:53.600 --> 00:02:55.200]  他說得出做得到
[00:02:55.200 --> 00:02:58.840]  他說會回來 他一定會回來的
[00:02:58.840 --> 00:03:02.320]  結果這兩兄弟就分道揚鑣
[00:03:02.320 --> 00:03:04.800]  故事會怎樣發展下去呢?
[00:03:04.800 --> 00:03:09.280]  這本《兒童真刊》將第二集刊登在下一期
[00:03:09.280 --> 00:03:12.040]  所以我都賣個關子
[00:03:12.040 --> 00:03:15.920]  之後再告訴你故事怎樣發展
[00:03:15.920 --> 00:03:17.640]  不過來到這裡
[00:03:17.640 --> 00:03:24.200]  我們會看到儘管面對的情況、處境是一樣的
[00:03:24.200 --> 00:03:27.640]  但原來當一個人有不同的信念
[00:03:27.640 --> 00:03:30.280]  他有不同的盼望的時候
