
[00:00:00.000 --> 00:00:04.000]  何偉鼎 姐妹 新年蒙福
[00:00:04.000 --> 00:00:11.000]  剛才廣福詩班的服裝 音樂的節奏
[00:00:11.000 --> 00:00:16.000]  帶來傳統廣福堂新年崇拜的氣氛
[00:00:16.000 --> 00:00:20.000]  有人問我說 牧師你今年不穿唐裝
[00:00:20.000 --> 00:00:24.000]  我見唐中山給了林牧師 沒了
[00:00:24.000 --> 00:00:27.000]  為甚麼你又不講猴年生肖
[00:00:27.000 --> 00:00:30.000]  我過年前最冷的幾天
[00:00:30.000 --> 00:00:38.000]  去了馬騮山和杜豐山拍攝了寧侯獻垂
[00:00:38.000 --> 00:00:45.000]  早幾天在電視播放了 遲下會再重播
[00:00:45.000 --> 00:00:51.000]  又印了書送給大家 我打算不再重覆了
[00:00:51.000 --> 00:00:55.000]  在這裏今天又是人日 又是情人節
[00:00:55.000 --> 00:01:00.000]  又是廣福堂第一次的新春崇拜
[00:01:00.000 --> 00:01:04.000]  祝各位身心靈都健壯
[00:01:04.000 --> 00:01:06.000]  不單止身體健康
[00:01:06.000 --> 00:01:10.000]  我們的情緒 我們的靈魂都要健壯
[00:01:10.000 --> 00:01:14.000]  而且祝新的一年繼續去經歷神
[00:01:14.000 --> 00:01:18.000]  更多的恩典 更多的福氣
[00:01:18.000 --> 00:01:23.000]  我講這個題目不是因為年初一晚發生甚麼事
[00:01:23.000 --> 00:01:29.000]  我覺得這個世界是走向一個趨勢
[00:01:29.000 --> 00:01:35.000]  不單止香港 整個世界在末後的世代裏
[00:01:35.000 --> 00:01:42.000]  聖經裏所講人自我忠心 個人意見要無限擴大
[00:01:42.000 --> 00:01:50.000]  對法紀 對綱常 鬆弛不尊重會產生這種情況
[00:01:50.000 --> 00:01:55.000]  聖經告訴我們凡動刀的必死於刀下
[00:01:55.000 --> 00:01:59.000]  人的血氣不能夠成就神的義
[00:01:59.000 --> 00:02:02.000]  看回現在世界很多人追求的東西
[00:02:02.000 --> 00:02:08.000]  最早在古希臘柏拉圖時代所講的城邦式民主
[00:02:08.000 --> 00:02:13.000]  和今天英國式民主 美國式民主是很不同的
[00:02:13.000 --> 00:02:16.000]  民主不是只有一種 有很多形態
[00:02:16.000 --> 00:02:20.000]  在現在學術界裏面最多討論的就是
[00:02:20.000 --> 00:02:26.000]  西方的競爭式民主是不是亞洲東方社會最適合
[00:02:26.000 --> 00:02:30.000]  還是有沒有一些折衷 或者所謂協商式民主呢
[00:02:30.000 --> 00:02:36.000]  所以其實有很多東西我們靠媒體表面的報導
[00:02:36.000 --> 00:02:39.000]  沒有辦法深入去理解
[00:02:39.000 --> 00:02:44.000]  民主社會是建立在理性的秩序裏面
[00:02:44.000 --> 00:02:48.000]  所以柏拉圖認為執政的人要是一個哲學家
[00:02:48.000 --> 00:02:51.000]  其中的原因是他做每一個判斷
[00:02:51.000 --> 00:02:57.000]  是經過邏輯的推演思考而做一個正確的決定
[00:02:57.000 --> 00:03:01.000]  最有智慧的人 最有才華的人
[00:03:01.000 --> 00:03:06.000]  才可以成為治理公共的事物
[00:03:06.000 --> 00:03:16.000]  如果民主是一個理性和平非暴力的秩序的理念和制度的話
[00:03:16.000 --> 00:03:20.000]  那麼追求也不能夠是以暴亦暴
[00:03:20.000 --> 00:03:24.000]  或者以惡成善的一種手段
[00:03:24.000 --> 00:03:28.000]  我們今天真的要為香港的社會來求平安
[00:03:28.000 --> 00:03:31.000]  也為世界來求平安
[00:03:31.000 --> 00:03:35.000]  暴力這件事是會迷匿的
[00:03:35.000 --> 00:03:41.000]  研究很多家暴或者變態連環殺手
[00:03:41.000 --> 00:03:44.000]  他們有一個暴力的歷史
[00:03:44.000 --> 00:03:47.000]  我記得有出韓國片
[00:03:47.000 --> 00:03:52.000]  有一個殺手的形成
[00:03:52.000 --> 00:03:55.000]  很多是有家暴的背景
[00:03:55.000 --> 00:03:59.000]  小時候被父母虐打 拘禁
[00:03:59.000 --> 00:04:03.000]  形成心理不平衡 或者是反叛
[00:04:03.000 --> 00:04:07.000]  最初是去切青蛙的手腳
[00:04:07.000 --> 00:04:12.000]  然後將貓婆綁在火車路軌
[00:04:12.000 --> 00:04:16.000]  然後進而去侵犯旅程
[00:04:16.000 --> 00:04:18.000]  暴力會迷匿的
[00:04:18.000 --> 00:04:22.000]  當你嘗過這個禁我之後
[00:04:22.000 --> 00:04:25.000]  在你內心裏面造成一種陰影
[00:04:25.000 --> 00:04:29.000]  凡是以為用暴力或者用武力
[00:04:29.000 --> 00:04:33.000]  能夠達成自己目標的人 最後是失敗
[00:04:33.000 --> 00:04:36.000]  而且是被仇恨所剩餘
[00:04:36.000 --> 00:04:39.000]  所以我們真的要為這個社會求平安
[00:04:39.000 --> 00:04:41.000]  暴力亦會散佈
[00:04:41.000 --> 00:04:45.000]  暴力會隔代遺傳下來
[00:04:45.000 --> 00:04:49.000]  這些也是很多研究這些問題
[00:04:49.000 --> 00:04:51.000]  所看到的一件事
[00:04:51.000 --> 00:04:53.000]  我們不單看見社會這樣
[00:04:53.000 --> 00:04:56.000]  其實今天我們的教會何嘗不是這樣
[00:04:56.000 --> 00:04:59.000]  今年過年我出外了
[00:04:59.000 --> 00:05:01.000]  但在年初二的早上
[00:05:01.000 --> 00:05:05.000]  我就開始收到有過百的WhatsApp
[00:05:05.000 --> 00:05:08.000]  有些是電台的訪問
[00:05:08.000 --> 00:05:10.000]  電視台的片段
[00:05:10.000 --> 00:05:12.000]  新聞 評論
[00:05:12.000 --> 00:05:16.000]  教會裏面有些不同的意見的網站
[00:05:16.000 --> 00:05:19.000]  我發現這些意見比社會還混亂
[00:05:19.000 --> 00:05:21.000]  到一個地步我會懷疑
[00:05:21.000 --> 00:05:24.000]  今天的神學教育訓練出來
[00:05:24.000 --> 00:05:26.000]  神學院的教師
[00:05:26.000 --> 00:05:28.000]  甚至是神學院的院長
[00:05:28.000 --> 00:05:30.000]  甚至是牧師
[00:05:30.000 --> 00:05:35.000]  他究竟腦袋裏面裝載了甚麼
[00:05:35.000 --> 00:05:39.000]  他怕某些的報刊
[00:05:39.000 --> 00:05:42.000]  比怕上帝還要多
[00:05:42.000 --> 00:05:47.000]  他尊重社會裏面某些政治家的言論
[00:05:47.000 --> 00:05:50.000]  比尊重上帝還要多
[00:05:50.000 --> 00:05:56.000]  所以我覺得敬畏神這個信仰的第一課題
[00:05:56.000 --> 00:05:59.000]  是我們今天要重新來溫習
[00:05:59.000 --> 00:06:01.000]  學習的一件事
[00:06:01.000 --> 00:06:03.000]  在12月31日晚上
[00:06:03.000 --> 00:06:06.000]  我坐在這個地方聽見證
[00:06:06.000 --> 00:06:08.000]  我聽到一個見證之後
[00:06:08.000 --> 00:06:10.000]  心裏面很不安
[00:06:10.000 --> 00:06:12.000]  不是他的經歷不真實
[00:06:12.000 --> 00:06:14.000]  而是他用的那種語言
[00:06:14.000 --> 00:06:16.000]  我不想重複 很粗獷
[00:06:16.000 --> 00:06:21.000]  我覺得一個人怎可以跟上帝這樣說話
[00:06:21.000 --> 00:06:23.000]  如果我們不怕上帝
[00:06:23.000 --> 00:06:25.000]  不尊重上帝的話
[00:06:25.000 --> 00:06:28.000]  我們這種數人生命的起步點
[00:06:28.000 --> 00:06:30.000]  那點火都滅了
[00:06:30.000 --> 00:06:32.000]  都沒有
[00:06:32.000 --> 00:06:34.000]  今天是有很多
[00:06:34.000 --> 00:06:38.000]  認為自己是基督徒的人
[00:06:38.000 --> 00:06:40.000]  不怕上帝
[00:06:40.000 --> 00:06:42.000]  不敬重上帝
[00:06:42.000 --> 00:06:48.000]  甚至不相信聖經的說話
[00:06:48.000 --> 00:06:51.000]  這正是一個末世教會裏面
[00:06:51.000 --> 00:06:53.000]  經常會有
[00:06:53.000 --> 00:06:54.000]  所以我覺得
[00:06:54.000 --> 00:06:58.000]  說敬畏神正適合今年
[00:06:58.000 --> 00:07:00.000]  我們中國人的所謂
[00:07:00.000 --> 00:07:02.000]  一年之計在於春
[00:07:02.000 --> 00:07:04.000]  一日之計在於辰
[00:07:04.000 --> 00:07:06.000]  一生之計在於勤
[00:07:06.000 --> 00:07:08.000]  其實那三個字都在於一個字
[00:07:08.000 --> 00:07:10.000]  辰
[00:07:10.000 --> 00:07:12.000]  黃榮道有一本書
[00:07:12.000 --> 00:07:14.000]  叫《信徒真名》
[00:07:14.000 --> 00:07:16.000]  裏面有兩句說話
[00:07:16.000 --> 00:07:18.000]  我覺得是講得非常精盈
[00:07:18.000 --> 00:07:20.000]  是很值得我們基督徒
[00:07:20.000 --> 00:07:22.000]  一生記住的
[00:07:22.000 --> 00:07:24.000]  這句說話既融合了
[00:07:24.000 --> 00:07:26.000]  聖經裏面的要理
[00:07:26.000 --> 00:07:28.000]  亦都融合了
[00:07:28.000 --> 00:07:30.000]  中國人那種人常
[00:07:30.000 --> 00:07:32.000]  論常的道理
[00:07:32.000 --> 00:07:34.000]  他說以敬畏神
[00:07:34.000 --> 00:07:36.000]  為立身之本
[00:07:36.000 --> 00:07:39.000]  與愛人為處世之道
[00:07:39.000 --> 00:07:41.000]  曾經有事問耶穌
[00:07:41.000 --> 00:07:43.000]  什麼是誡命裏面最重要的?
[00:07:43.000 --> 00:07:45.000]  耶穌怎樣去總結?
[00:07:45.000 --> 00:07:47.000]  耶穌說要盡心盡性
[00:07:47.000 --> 00:07:49.000]  盡意盡力愛主你的神
[00:07:49.000 --> 00:07:51.000]  其次就要愛日月記
[00:07:51.000 --> 00:07:53.000]  換言之
[00:07:53.000 --> 00:07:55.000]  耶穌是用愛神愛人
[00:07:55.000 --> 00:07:58.000]  來總結所有的誡命
[00:07:58.000 --> 00:08:01.000]  這個誡命除了是你信仰的總綱之外
[00:08:01.000 --> 00:08:06.000]  亦都是你行事為人的準則和規範
[00:08:06.000 --> 00:08:08.000]  黃榮道用敬畏神
[00:08:08.000 --> 00:08:10.000]  用愛人
[00:08:10.000 --> 00:08:13.000]  來表達立身之本和處世之道
[00:08:13.000 --> 00:08:15.000]  中國人的哲理
[00:08:15.000 --> 00:08:17.000]  很著重體用
[00:08:17.000 --> 00:08:19.000]  即是說
[00:08:19.000 --> 00:08:22.000]  本體原則性的道理
[00:08:22.000 --> 00:08:24.000]  根基性的道理
[00:08:24.000 --> 00:08:27.000]  用就是這個應用
[00:08:27.000 --> 00:08:29.000]  走出來要是怎樣
[00:08:29.000 --> 00:08:32.000]  所以他以敬畏神為立身之本
[00:08:32.000 --> 00:08:35.000]  以愛人為處世之道
[00:08:35.000 --> 00:08:37.000]  一方面符合耶穌基督的教導
[00:08:37.000 --> 00:08:44.000]  另一方面又符合中國人體用思想的規格
[00:08:44.000 --> 00:08:50.000]  今天除了有很多靈散的經文之外
[00:08:50.000 --> 00:08:53.000]  我特別想和大家來看一看
[00:08:53.000 --> 00:08:57.000]  撒慕爾記上的十二章
[00:08:57.000 --> 00:08:59.000]  撒慕爾記十二章
[00:08:59.000 --> 00:09:02.000]  是說到以色列人
[00:09:02.000 --> 00:09:06.000]  他被阿門人攻打的時候
[00:09:06.000 --> 00:09:10.000]  而當時撒慕爾的兒子是做史詩
[00:09:10.000 --> 00:09:14.000]  但是他的兒子逃離和受賄
[00:09:14.000 --> 00:09:17.000]  也沒有辦法受到人的尊重
[00:09:17.000 --> 00:09:20.000]  所以這些以色列人
[00:09:20.000 --> 00:09:25.000]  很希望他們能夠像外邦的王國一樣
[00:09:25.000 --> 00:09:29.000]  有一個領袖來管治他們
[00:09:29.000 --> 00:09:32.000]  帶領他們去還擊
[00:09:32.000 --> 00:09:35.000]  去保衛他們自己的家園
[00:09:35.000 --> 00:09:39.000]  但是當時以色列人所行的政治體制
[00:09:39.000 --> 00:09:41.000]  不是君主制
[00:09:41.000 --> 00:09:43.000]  也不是民主制
[00:09:43.000 --> 00:09:44.000]  是什麼呢?
[00:09:44.000 --> 00:09:46.000]  是支派聯盟
[00:09:46.000 --> 00:09:50.000]  是神主民治的一種體制
[00:09:50.000 --> 00:09:53.000]  英文叫Tribal Confederation
[00:09:53.000 --> 00:09:55.000]  就是支派聯盟
