
[00:00:00.000 --> 00:00:03.400]  當然這些廣告都是那堆東西
[00:00:03.400 --> 00:00:05.400]  不過大家不知道有沒有留意到
[00:00:05.400 --> 00:00:07.900]  通常這個時候發一些廣告來
[00:00:07.900 --> 00:00:12.700]  就是利用今年最後一個消費的季節
[00:00:12.700 --> 00:00:16.700]  希望能夠刺激你的意欲
[00:00:16.700 --> 00:00:20.200]  去買東西或者聯絡他們
[00:00:20.200 --> 00:00:21.900]  所以開始的時間你一收到
[00:00:21.900 --> 00:00:22.900]  通常什麼看不到
[00:00:22.900 --> 00:00:25.400]  第一件事你會看到兩個字
[00:00:25.400 --> 00:00:26.900]  這兩個字是什麼呢
[00:00:26.900 --> 00:00:28.900]  HAPPY HOLIDAY
[00:00:28.900 --> 00:00:31.900]  大家有沒有收過這些宣傳的廣告
[00:00:31.900 --> 00:00:32.900]  HAPPY HOLIDAY
[00:00:32.900 --> 00:00:35.900]  然後就介紹自己
[00:00:35.900 --> 00:00:37.900]  然後就說在這個節日當中
[00:00:37.900 --> 00:00:39.900]  我們可以購買什麼
[00:00:39.900 --> 00:00:41.900]  有什麼折扣之類的
[00:00:41.900 --> 00:00:44.900]  其實這個是很普通的字眼
[00:00:44.900 --> 00:00:45.900]  普通到一個地步
[00:00:45.900 --> 00:00:47.900]  我們已經沒有什麼感覺
[00:00:47.900 --> 00:00:49.900]  或者是忘記了其實
[00:00:49.900 --> 00:00:52.900]  以前好像我們不是叫HAPPY HOLIDAY的
[00:00:52.900 --> 00:00:55.900]  以前如果收到類似這樣的東西的時候
[00:00:55.900 --> 00:00:57.900]  應該叫什麼呢
[00:00:57.900 --> 00:00:59.900]  MERRY CHRISTMAS
[00:00:59.900 --> 00:01:01.900]  應該是MERRY CHRISTMAS的
[00:01:01.900 --> 00:01:02.900]  但是現在我們發覺
[00:01:02.900 --> 00:01:04.900]  所有的商場百貨公司
[00:01:04.900 --> 00:01:11.900]  甚至這些市場的宣傳材料
[00:01:11.900 --> 00:01:14.900]  全部都用這個HAPPY HOLIDAY
[00:01:14.900 --> 00:01:16.900]  快樂假期
[00:01:16.900 --> 00:01:18.900]  不知道我們會不會
[00:01:18.900 --> 00:01:21.900]  在一個這樣的大環境大氣候當中
[00:01:21.900 --> 00:01:23.900]  我們面對聖誕節的時候
[00:01:23.900 --> 00:01:26.900]  都只不過是一個HAPPY HOLIDAY
[00:01:26.900 --> 00:01:28.900]  如果只是HAPPY HOLIDAY的時候
[00:01:28.900 --> 00:01:29.900]  我們開心的
[00:01:29.900 --> 00:01:30.900]  我們慶祝的
[00:01:30.900 --> 00:01:32.900]  我們要去迎接的
[00:01:32.900 --> 00:01:34.900]  就不是聖誕節的主人
[00:01:34.900 --> 00:01:36.900]  用耶穌的基督
[00:01:36.900 --> 00:01:38.900]  就變成我們期待著的禮物
[00:01:38.900 --> 00:01:40.900]  就算我們基督徒
[00:01:40.900 --> 00:01:42.900]  剛才我們大敬拜的節日
[00:01:42.900 --> 00:01:43.900]  都說WHITE ELEPHANT
[00:01:43.900 --> 00:01:45.900]  我們教會的職員都有WHITE ELEPHANT
[00:01:45.900 --> 00:01:46.900]  大家知道有什麼
[00:01:46.900 --> 00:01:48.900]  交換禮物 搶禮物
[00:01:48.900 --> 00:01:50.900]  給我們一個很快樂的時間
[00:01:50.900 --> 00:01:53.900]  看我搶到什麼 拿到什麼
[00:01:53.900 --> 00:01:56.900]  我們不是再去
[00:01:56.900 --> 00:01:58.900]  想著如何迎接耶穌
[00:01:58.900 --> 00:02:00.900]  或者思考耶穌基督
[00:02:00.900 --> 00:02:02.900]  來到世上的意思
[00:02:02.900 --> 00:02:04.900]  除了禮物之外
[00:02:04.900 --> 00:02:06.900]  我相信我們還會期待什麼
[00:02:06.900 --> 00:02:07.900]  有假期嘛 是不是
[00:02:07.900 --> 00:02:09.900]  有些公司SHUTDOWN
[00:02:09.900 --> 00:02:12.900]  於是我們期待的是派對
[00:02:12.900 --> 00:02:13.900]  特別是年青的
[00:02:13.900 --> 00:02:14.900]  很多PARTY
[00:02:14.900 --> 00:02:16.900]  很多大食會
[00:02:16.900 --> 00:02:17.900]  吃火鍋
[00:02:17.900 --> 00:02:19.900]  是不是一大堆呢
[00:02:19.900 --> 00:02:21.900]  很多時間到了這個時候
[00:02:21.900 --> 00:02:24.900]  我們思想裏 腦海裏所想的
[00:02:24.900 --> 00:02:26.900]  就是這些東西
[00:02:26.900 --> 00:02:28.900]  即使我們基督徒
