
[00:00:00.000 --> 00:00:02.000]  鍾牧師講過一個很有趣的見證
[00:00:02.000 --> 00:00:06.560]  他說有一次我被另外一間教會邀請去退修會講道
[00:00:06.560 --> 00:00:09.160]  星期天講完道之後
[00:00:09.160 --> 00:00:13.020]  他就搭飛機回到自己的家
[00:00:13.020 --> 00:00:15.960]  我是一個比較隨便的人
[00:00:15.960 --> 00:00:18.240]  所以就穿著牛仔褲T恤
[00:00:18.240 --> 00:00:20.160]  拿著少少的行李
[00:00:20.160 --> 00:00:22.960]  就想著坐飛機回家
[00:00:22.960 --> 00:00:26.880]  旁邊就坐了一個年輕人
[00:00:26.880 --> 00:00:29.800]  很整齊的西裝
[00:00:30.540 --> 00:00:32.860]  手就拿著筆記本
[00:00:32.860 --> 00:00:35.720]  另外就有華爾街日報
[00:00:35.720 --> 00:00:38.900]  一看就知道是生意人剛剛出差
[00:00:38.900 --> 00:00:40.660]  又是可能趕回家
[00:00:40.660 --> 00:00:44.020]  我想著講完道幾天都累了
[00:00:44.020 --> 00:00:46.260]  就不想著怎樣打交道
[00:00:46.260 --> 00:00:47.660]  睡一睡
[00:00:47.660 --> 00:00:50.060]  睡醒了就到步了
[00:00:50.060 --> 00:00:52.820]  誰知這個年輕人就很有禪
[00:00:52.820 --> 00:00:54.820]  他主動跟我聊天
[00:00:54.820 --> 00:00:57.420]  我不能夠拒人千里之外
[00:00:57.420 --> 00:00:59.500]  所以就大家聊起來
[00:00:59.940 --> 00:01:01.980]  誰知聊了整個旅途
[00:01:01.980 --> 00:01:03.260]  非常有趣
[00:01:03.260 --> 00:01:06.080]  這位年輕人就自我介紹
[00:01:06.080 --> 00:01:08.900]  他說我是剛剛出差回家
[00:01:08.900 --> 00:01:12.480]  我們是搞健美生意
[00:01:12.480 --> 00:01:14.280]  即是纖體那些
[00:01:14.280 --> 00:01:15.040]  Physical Fitness
[00:01:15.040 --> 00:01:18.880]  我們公司是改變了千萬婦女的身材
[00:01:18.880 --> 00:01:21.700]  我們不單止是改變她們的身材
[00:01:21.700 --> 00:01:24.260]  而且是改變她們的心理
[00:01:24.260 --> 00:01:27.080]  她們很多來的時候
