
[00:00:00.000 --> 00:00:04.520]  我們說說基督徒的理財觀念
[00:00:04.520 --> 00:00:07.320]  第一個觀念和大家分享的
[00:00:07.320 --> 00:00:14.000]  其實經文是由馬太福音第六章的二十四節至三十二節
[00:00:14.000 --> 00:00:18.800]  我們看第一個觀念就是耶護華爾勒是我們的供應者
[00:00:18.800 --> 00:00:23.000]  我們一起讀第二十四節和第三十二節
[00:00:23.000 --> 00:00:25.880]  一個人不能侍奉兩個主
[00:00:25.880 --> 00:00:31.280]  不是惡者過愛那個 就是眾者過興那個
[00:00:31.280 --> 00:00:35.280]  你們不能又侍奉神 又侍奉馬門
[00:00:35.280 --> 00:00:41.880]  你們需要的這一切東西 你們的天父是知道的
[00:00:41.880 --> 00:00:47.280]  在春海及記 神叫摩西和法老王說
[00:00:47.280 --> 00:00:52.080]  放我的百姓走 讓他們侍奉我
[00:00:52.080 --> 00:00:57.680]  其實侍奉在原文裡有含義 就是敬拜的意思
[00:00:57.680 --> 00:01:02.080]  這裡提到另外一個字比較特別的叫馬門
[00:01:02.080 --> 00:01:06.080]  馬門的意思就是財富金錢
[00:01:06.080 --> 00:01:10.880]  所以我們連上連在一起重新理解這個經文
[00:01:10.880 --> 00:01:12.680]  我們可以這樣理解
[00:01:12.680 --> 00:01:15.280]  一個人不能敬拜兩個主
[00:01:15.280 --> 00:01:20.480]  你們不能又敬拜神 又敬拜財富金錢
[00:01:20.480 --> 00:01:23.480]  你們有沒有見過人一路敬拜祈禱
[00:01:23.480 --> 00:01:27.880]  左手舉手 右手在按手機看股票
[00:01:27.880 --> 00:01:32.680]  我見過
[00:01:32.680 --> 00:01:41.480]  其實耶穌提醒我們不要同時將神和錢放在我們生命的第一位
[00:01:41.480 --> 00:01:44.480]  究竟誰才是我們的主呢
[00:01:44.480 --> 00:01:47.880]  但耶穌沒有說過錢不好
[00:01:47.880 --> 00:01:49.680]  錢是中性的
[00:01:49.680 --> 00:01:53.080]  只要我們不要被它當成主
[00:01:53.080 --> 00:01:55.680]  取代了神 成為了偶像去敬拜
[00:01:55.680 --> 00:01:59.680]  成為了我們安全感的來源
[00:01:59.680 --> 00:02:04.880]  求主幫我們 去教訓我們對財富金錢和我們的關係
[00:02:04.880 --> 00:02:08.280]  財富金錢是用來服侍神
[00:02:08.280 --> 00:02:13.480]  是用來祝福人的工具 而不是我們的主
[00:02:13.480 --> 00:02:21.080]  耶穌從來沒有否定我們用投資去為財富增值
[00:02:21.080 --> 00:02:26.680]  耶穌有沒有聽過惡僕和義僕的比喻
[00:02:26.680 --> 00:02:32.280]  話說有個主人給了一個僕人5K
[00:02:32.280 --> 00:02:35.880]  那個僕人拿著5K去買賣
[00:02:35.880 --> 00:02:37.680]  於是賺了5K
[00:02:37.680 --> 00:02:39.880]  給了第二個僕人2K
[00:02:39.880 --> 00:02:44.080]  拿著2K去投資 去買賣 於是又賺了2K
[00:02:44.080 --> 00:02:46.480]  於是回來給主人的時候
[00:02:46.480 --> 00:02:49.680]  主人就稱讚他們又良善又忠心
[00:02:49.680 --> 00:02:52.680]  然後就派他們去管理更多的事
[00:02:52.680 --> 00:02:55.080]  一同享受主人的快樂
[00:02:55.080 --> 00:02:56.280]  是不是好啊
[00:02:56.280 --> 00:02:59.280]  但是第三個僕人給了他1K
[00:02:59.280 --> 00:03:03.680]  於是那個僕人就將那個1K挖個洞埋在地上
[00:03:03.680 --> 00:03:06.280]  到主人回來的時候就給回1K給主人
[00:03:06.280 --> 00:03:10.680]  主人就斥責這個人又懶又惡
[00:03:10.680 --> 00:03:14.080]  就算你把錢放進銀行也算是有息收
[00:03:14.080 --> 00:03:15.480]  雖然不是很多
[00:03:15.480 --> 00:03:17.480]  一個幾毫也好
[00:03:17.480 --> 00:03:19.680]  總比挖個洞埋好
[00:03:19.680 --> 00:03:22.080]  結果就將那個1K拿走了
[00:03:22.080 --> 00:03:26.080]  還給了賺了5K的那個僕人
[00:03:26.080 --> 00:03:28.280]  所以在這裡我們連接教導
[00:03:28.280 --> 00:03:29.880]  我們看回剛才的經文
[00:03:29.880 --> 00:03:31.880]  耶穌教導我們的是
[00:03:31.880 --> 00:03:35.880]  不要又去敬拜神 又去敬拜錢
[00:03:35.880 --> 00:03:37.880]  這個才是重點
[00:03:37.880 --> 00:03:42.480]  我們要知道誰才是我們生命的主
[00:03:42.480 --> 00:03:47.080]  我在大學的時候讀BBA
[00:03:47.080 --> 00:03:50.280]  所以財務管理 投資
[00:03:50.280 --> 00:03:53.680]  自己以為都是強項
[00:03:53.680 --> 00:03:58.280]  於是我日常生活都有理財 有投資
[00:03:58.280 --> 00:04:04.280]  一來為興趣 二來為家庭財產增值
[00:04:04.280 --> 00:04:07.480]  但是在人生裡面有一段時間
[00:04:07.480 --> 00:04:09.280]  心紅
[00:04:09.280 --> 00:04:11.880]  弟兄姊妹你有沒有心紅
[00:04:11.880 --> 00:04:13.080]  不懂得節制
[00:04:13.080 --> 00:04:16.080]  於是心思被市場波動
[00:04:16.080 --> 00:04:17.480]  戶口賺蝕
[00:04:17.480 --> 00:04:20.280]  被它控制了
[00:04:20.280 --> 00:04:23.080]  知不知道現在資訊越來越發達
[00:04:23.080 --> 00:04:27.880]  全球724都運作的
[00:04:27.880 --> 00:04:30.280]  收了一個市又開第二個市
[00:04:30.280 --> 00:04:33.280]  第二個市收了又開第二個市
[00:04:33.280 --> 00:04:36.080]  很容易會被人核製
[00:04:36.080 --> 00:04:39.680]  不停看著市場股票上上落落
[00:04:39.680 --> 00:04:42.080]  日又看 夜又看
[00:04:42.080 --> 00:04:44.080]  市好的時候
[00:04:44.080 --> 00:04:45.680]  肯定是心動動
[00:04:45.680 --> 00:04:48.680]  多賺四兩 乘勝追擊
[00:04:48.680 --> 00:04:50.880]  市差就糟糕了
[00:04:50.880 --> 00:04:56.680]  會不會蝕入肉 明天怎麼跟老婆交代
[00:04:56.680 --> 00:05:01.480]  賺又擔心 蝕又擔心
[00:05:01.480 --> 00:05:04.080]  造成很多精神緊張精神壓力
[00:05:04.080 --> 00:05:06.880]  晚上睡不著
[00:05:06.880 --> 00:05:09.680]  眼光光看著天花板
[00:05:09.680 --> 00:05:12.680]  不知道在想什麼 一片空白
[00:05:12.680 --> 00:05:15.880]  然後隔幾分鐘好像真的精神緊張
[00:05:15.880 --> 00:05:22.680]  拿起手機在擔心明天開市又會怎樣
[00:05:22.680 --> 00:05:25.080]  以為自己可以掌管到財富
[00:05:25.080 --> 00:05:30.280]  誰知道反過來被控制了
[00:05:30.280 --> 00:05:32.880]  身心靈都疲累
[00:05:32.880 --> 00:05:37.080]  影響情緒 工作 影響侍奉
[00:05:37.080 --> 00:05:40.280]  更加影響到身邊的人
[00:05:40.280 --> 00:05:41.280]  但很感恩
[00:05:41.280 --> 00:05:44.680]  因為我們有神 有主 有聖靈提醒
[00:05:44.680 --> 00:05:49.080]  太太弟兄姊妹也在身邊一起禱告
[00:05:49.080 --> 00:05:52.280]  神幫助我 叫我放手
[00:05:52.280 --> 00:05:57.280]  聖靈真的有責備
[00:05:57.280 --> 00:05:59.680]  篤責 睡覺就睡覺
[00:05:59.680 --> 00:06:02.480]  晚上不要再看手機
[00:06:02.480 --> 00:06:06.480]  不要再按進股票網站
[00:06:06.480 --> 00:06:08.080]  要有信心和平安
[00:06:08.080 --> 00:06:10.280]  一覺睡到天亮
[00:06:10.280 --> 00:06:12.280]  明天才算
[00:06:12.280 --> 00:06:14.880]  不要拒絕 纏擾自己
