
[00:00:00.000 --> 00:00:02.640]  在開始正道之前,去同心來祈禱
[00:00:02.640 --> 00:00:08.420]  神的獨生子,主耶穌基督
[00:00:08.420 --> 00:00:11.440]  求祢施恩可憐這個罪人
[00:00:11.440 --> 00:00:15.760]  然而,在祢面前,示立宣廣主的恩怨
[00:00:15.760 --> 00:00:18.340]  懇求主耶穌基督的補血
[00:00:18.340 --> 00:00:21.420]  再一次洗正這個不悔恨的罪
[00:00:21.420 --> 00:00:24.560]  蓬若下知能夠成為神祢話語的出口
[00:00:24.560 --> 00:00:27.200]  能夠將主的恩怨解明
[00:00:27.340 --> 00:00:30.480]  並將祢聖靈當中自由運行
[00:00:30.480 --> 00:00:32.520]  帶領我們進入真理
[00:00:32.520 --> 00:00:35.640]  祈禱,乃奉耶穌的聖名祈禱
[00:00:35.640 --> 00:00:40.820]  在上回
[00:00:40.820 --> 00:00:44.680]  在講道中提到的七十幾一章
[00:00:44.680 --> 00:00:48.060]  是新的法律,一個法律來上場
[00:00:48.060 --> 00:00:50.800]  它不認識約瑟
[00:00:50.800 --> 00:00:52.480]  它偷換概念
[00:00:52.480 --> 00:00:55.140]  它將以色列人從功臣之後
[00:00:55.140 --> 00:00:58.020]  變換為叛亂分子,要取締
[00:00:58.020 --> 00:00:59.240]  以及消滅
[00:00:59.240 --> 00:01:01.620]  透過兩道命令
[00:01:01.620 --> 00:01:04.320]  以色列人能夠倖存
[00:01:04.320 --> 00:01:06.860]  以色列人不單止能夠倖存
[00:01:06.860 --> 00:01:09.140]  更加是因禍得福
[00:01:09.140 --> 00:01:12.100]  他們第一個計劃,是要輔助以色列人
[00:01:12.100 --> 00:01:14.640]  去用強烈的工作
[00:01:14.640 --> 00:01:17.460]  務求迫使他們辛苦
[00:01:17.460 --> 00:01:19.520]  但是他們越來越多人
[00:01:19.520 --> 00:01:22.540]  第二道計劃,他們要
[00:01:22.760 --> 00:01:25.720]  修真婆將剛出世的男嬰
[00:01:25.720 --> 00:01:28.120]  去殺死
[00:01:28.120 --> 00:01:30.060]  但是修真婆不聽
[00:01:30.060 --> 00:01:31.760]  法律的說話
[00:01:31.760 --> 00:01:35.620]  實在看不下去,埃及法律死心不息
[00:01:35.620 --> 00:01:38.560]  務求達到目的不擇手段
[00:01:38.560 --> 00:01:41.200]  第三道命令,是要
[00:01:41.200 --> 00:01:43.300]  別絕這個種族
[00:01:43.300 --> 00:01:46.820]  要是以色列人只能夠保存
[00:01:46.820 --> 00:01:49.560]  初生女嬰的性命
[00:01:49.560 --> 00:01:52.660]  將男嬰拋棄在利諾河
[00:01:52.660 --> 00:01:55.540]  一方面要逼使以色列人與外族
[00:01:55.540 --> 00:01:58.280]  通婚,雜交之後慢慢
[00:01:58.280 --> 00:02:01.120]  變樣,或者是新生一代
[00:02:01.120 --> 00:02:03.880]  沒有配偶之下,不能夠
[00:02:03.880 --> 00:02:06.740]  再能夠繁衍下一代,達至
[00:02:06.740 --> 00:02:08.400]  自我消亡
[00:02:08.400 --> 00:02:11.060]  當然,以色列人的狀況
[00:02:11.060 --> 00:02:13.820]  當時以色列人的狀況
[00:02:13.820 --> 00:02:16.940]  好像沉默、隱形
[00:02:16.940 --> 00:02:20.120]  失去影蹤,由得以色列人
[00:02:20.120 --> 00:02:22.880]  自生自滅在這個
[00:02:22.880 --> 00:02:23.880]  危及
[00:02:23.880 --> 00:02:25.540]  存亡之秋
[00:02:25.540 --> 00:02:29.740]  摩西,民族英雄,橫空出世
[00:02:29.740 --> 00:02:33.320]  以色列人終於是否見到曙光
[00:02:33.320 --> 00:02:35.300]  在乍眼看來
[00:02:35.300 --> 00:02:38.300]  應是摩西為埃及法律的女兒
[00:02:38.300 --> 00:02:39.520]  所救
[00:02:39.520 --> 00:02:42.320]  注定她這一生
[00:02:42.320 --> 00:02:43.920]  不會平淡
[00:02:43.920 --> 00:02:47.160]  只是埃及法律,宮殿
[00:02:47.160 --> 00:02:49.360]  的榮華,以及生活
[00:02:49.360 --> 00:02:52.680]  會不會令到長大之後的摩西
[00:02:52.680 --> 00:02:55.220]  樂而忘返
[00:02:55.220 --> 00:02:59.320]  或者以色列民族,到底會不會聽
[00:02:59.320 --> 00:03:02.320]  摩西的帶領,走出
[00:03:02.320 --> 00:03:04.680]  埃及邁向英拒之地
[00:03:04.680 --> 00:03:07.760]  在這個情況,在這個情境裏面,到底
[00:03:07.760 --> 00:03:11.040]  是英雄做時勢,還是
[00:03:11.040 --> 00:03:13.740]  時勢來做英雄
[00:03:13.740 --> 00:03:17.180]  最後記二章
[00:03:17.180 --> 00:03:19.140]  從問起來說
[00:03:19.620 --> 00:03:22.280]  整個是一個段落來,二章
[00:03:22.280 --> 00:03:25.300]  由頭到尾,在亂世當中
[00:03:25.300 --> 00:03:28.240]  在埃及的三道御令
[00:03:28.240 --> 00:03:31.400]  無了以色列家庭
[00:03:31.400 --> 00:03:33.840]  和民族的傳承
[00:03:33.840 --> 00:03:37.160]  先是在亂世當中,剛才主席
[00:03:37.160 --> 00:03:40.300]  讀的經文,是利美人朝上
