
[00:00:00.000 --> 00:00:04.800]  容讓我用一個故事去做我的前奏
[00:00:04.800 --> 00:00:07.080]  話說有一個商人
[00:00:07.080 --> 00:00:08.840]  他做開賣珠寶的
[00:00:08.840 --> 00:00:10.840]  可以出一個powerpoint
[00:00:10.840 --> 00:00:13.380]  他賣開珠寶的
[00:00:13.380 --> 00:00:16.720]  每年都要去到另一個國家去賣珠寶
[00:00:16.720 --> 00:00:19.600]  要賣珠寶他就想想辦法
[00:00:19.600 --> 00:00:24.400]  如何令他的珠寶可以賣得多人買
[00:00:24.400 --> 00:00:26.880]  於是他就想想辦法
[00:00:26.880 --> 00:00:30.040]  不如這樣吧 買一個盒子
[00:00:30.040 --> 00:00:31.880]  用一個最名貴的盒子
[00:00:31.880 --> 00:00:33.680]  這個盒子是用木雕的
[00:00:33.680 --> 00:00:36.600]  我現在找不到這幅圖 大概這樣
[00:00:36.600 --> 00:00:39.800]  然後就鑲一些寶石在旁邊
[00:00:39.800 --> 00:00:41.160]  然後再不行
[00:00:41.160 --> 00:00:43.120]  我還要將整個木的盒子
[00:00:43.120 --> 00:00:44.160]  噴些香水下去
[00:00:44.160 --> 00:00:49.040]  噴到令到不同地方都有香氣出來
[00:00:49.040 --> 00:00:50.320]  然後他就想著
[00:00:50.320 --> 00:00:51.720]  嘩 我做完一個漂亮的盒子
[00:00:51.720 --> 00:00:53.840]  將他的珠寶放進盒子裡
[00:00:53.840 --> 00:00:55.160]  這次沒有死
[00:00:55.160 --> 00:00:57.760]  應該可以賣得出
[00:00:57.760 --> 00:01:02.000]  比上一次我來這個國家應該賣得更多
[00:01:02.000 --> 00:01:03.440]  OK 很滿意
[00:01:03.440 --> 00:01:06.920]  看到那個盒子拿出來打算賣
[00:01:06.920 --> 00:01:09.680]  真的 當我一拿出來的時候
[00:01:09.680 --> 00:01:13.240]  很多人來看他的珠寶是甚麼
[00:01:13.240 --> 00:01:17.320]  現在的店鋪很多人很多人
[00:01:17.320 --> 00:01:20.440]  OK 但奇怪的一件事就是
[00:01:20.440 --> 00:01:21.920]  每個人看完之後
[00:01:21.920 --> 00:01:23.720]  你猜有沒有賣到
[00:01:23.720 --> 00:01:25.000]  你們好像猜到答案
[00:01:25.000 --> 00:01:26.680]  沒錯 沒有
[00:01:26.680 --> 00:01:28.680]  商人就有點生氣
[00:01:28.680 --> 00:01:32.200]  就覺得 哎呀 為甚麼不賣我的珠寶
[00:01:32.200 --> 00:01:33.080]  我做得這麼辛苦
[00:01:33.080 --> 00:01:35.360]  也無非是想你賣我的珠寶
[00:01:35.360 --> 00:01:38.200]  結果最後又有一個人走進來
[00:01:38.200 --> 00:01:39.560]  他忍不住了
[00:01:39.560 --> 00:01:41.840]  他又是看了他的珠寶之後
[00:01:41.840 --> 00:01:42.880]  看了那個盒子之後
[00:01:42.880 --> 00:01:44.200]  他離開那個地方
[00:01:44.200 --> 00:01:45.080]  然後他就說
[00:01:45.080 --> 00:01:47.520]  這位先生 你先不要走
[00:01:47.520 --> 00:01:49.000]  可不可以告訴我
[00:01:49.000 --> 00:01:51.320]  為甚麼你不賣這個珠寶
[00:01:51.320 --> 00:01:53.760]  你猜他怎麼回答
[00:01:53.760 --> 00:01:55.920]  老闆 我想問你
[00:01:55.920 --> 00:01:58.200]  這個盒子賣不賣的
[00:01:58.200 --> 00:02:01.120]  然後他就馬上呆住了
