
[00:00:00.000 --> 00:00:06.000]  我今天要分享的信息是基督徒應該有的不方便
[00:00:06.000 --> 00:00:09.360]  不方便在英文裏面叫Inconvenient
[00:00:09.360 --> 00:00:11.840]  就是說不是很方便
[00:00:11.840 --> 00:00:14.760]  當然也就是說不是很隨便
[00:00:14.760 --> 00:00:17.800]  那麼讓我先跟各位講一個笑話
[00:00:17.800 --> 00:00:20.560]  就是方便與不方便
[00:00:20.560 --> 00:00:24.520]  一個老美他來中國學中文
[00:00:24.520 --> 00:00:26.720]  他本身會一點點
[00:00:26.720 --> 00:00:30.720]  結果他的朋友就請他去喫飯
[00:00:30.720 --> 00:00:33.880]  寄到了餐廳坐好了位置
[00:00:33.880 --> 00:00:35.600]  他那個朋友就說
[00:00:35.600 --> 00:00:37.680]  啊 您坐一下
[00:00:37.680 --> 00:00:40.440]  我去方便一下
[00:00:40.440 --> 00:00:41.600]  他就去了
[00:00:41.600 --> 00:00:44.120]  這個老美一臉困惑
[00:00:44.120 --> 00:00:46.240]  什麼叫方便
[00:00:46.240 --> 00:00:47.440]  那另外一個朋友就說
[00:00:47.440 --> 00:00:49.200]  方便就是上廁所的意思
[00:00:49.200 --> 00:00:52.760]  哦 我懂了 我懂了
[00:00:52.760 --> 00:00:54.400]  過了一下
[00:00:54.400 --> 00:00:56.680]  他那個朋友方便回來了
[00:00:56.680 --> 00:01:00.680]  就說 下次我到你們美國
[00:01:00.680 --> 00:01:04.080]  你要給我方便方便
[00:01:04.080 --> 00:01:05.600]  他這下傻眼了
[00:01:05.600 --> 00:01:09.280]  難道我美國沒有方便的廁所嗎
[00:01:09.280 --> 00:01:11.120]  一臉的困惑
[00:01:11.120 --> 00:01:13.480]  另外一個朋友說呢
[00:01:13.480 --> 00:01:16.400]  哎呀 看看哪天您方便的話
[00:01:16.400 --> 00:01:18.480]  我們一起喫頓飯
[00:01:18.480 --> 00:01:22.000]  哇 這下子他滿臉的困惑
[00:01:22.000 --> 00:01:22.920]  這個人接着說
[00:01:22.920 --> 00:01:25.840]  哦 就是看我們咱們都方便的時候
[00:01:25.840 --> 00:01:27.040]  我們喫頓飯
[00:01:27.040 --> 00:01:28.720]  誰擠倒地啊
[00:01:28.720 --> 00:01:30.160]  哪裏來的啊
[00:01:30.160 --> 00:01:31.520]  完全搞不清楚
[00:01:31.520 --> 00:01:34.200]  方便與不方便
[00:01:34.200 --> 00:01:36.320]  到底什麼叫方便
[00:01:36.320 --> 00:01:37.960]  什麼叫隨便
[00:01:37.960 --> 00:01:39.560]  什麼叫不方便
[00:01:39.560 --> 00:01:41.320]  什麼叫不隨便
[00:01:41.320 --> 00:01:43.760]  這個我們稍微來探討一下
[00:01:43.760 --> 00:01:47.520]  這是我一系列的基督徒應該有的
[00:01:47.520 --> 00:01:48.640]  這個講臺
[00:01:48.640 --> 00:01:51.360]  我已經講了快要一年完了
[00:01:51.360 --> 00:01:52.200]  是不是
[00:01:52.200 --> 00:01:53.240]  我第一次我講過
[00:01:53.240 --> 00:01:55.440]  說基督徒應該有的純心
[00:01:55.440 --> 00:01:57.840]  就是說耶穌基督
[00:01:57.840 --> 00:01:59.000]  他是神
[00:01:59.000 --> 00:02:00.840]  取了人的樣式
[00:02:00.840 --> 00:02:02.760]  並且成爲奴僕
[00:02:02.760 --> 00:02:05.640]  甘心順服去世
[00:02:05.640 --> 00:02:08.280]  且死在十字架上
[00:02:08.280 --> 00:02:11.560]  我們基督徒應該要有這樣的純心
[00:02:11.560 --> 00:02:14.640]  我又講過我們基督徒的天路歷程
[00:02:14.640 --> 00:02:16.320]  我們基督徒走過的
[00:02:16.320 --> 00:02:18.880]  不是受了洗就等着上天堂了
[00:02:18.880 --> 00:02:21.000]  我們還要成聖
[00:02:21.000 --> 00:02:22.960]  我們還要得榮耀
[00:02:22.960 --> 00:02:26.320]  所以我們必須要走那個Pilgrim Progress
[00:02:26.320 --> 00:02:28.600]  一步一步地往前走
[00:02:28.600 --> 00:02:31.120]  還有我們基督徒的天國觀
[00:02:31.120 --> 00:02:33.160]  應該要有的天國觀
[00:02:33.160 --> 00:02:35.080]  我都一再地強調
[00:02:35.080 --> 00:02:37.720]  我們臨陽堂始終相信
[00:02:37.720 --> 00:02:39.880]  天國是一個真的地方
[00:02:39.880 --> 00:02:41.800]  天國不是一個哲學
[00:02:41.800 --> 00:02:43.960]  天國不是在我心
[00:02:43.960 --> 00:02:45.080]  那是哲學
[00:02:45.080 --> 00:02:48.000]  天國是一個實實在在的地方
[00:02:48.000 --> 00:02:49.800]  我都再三地說
[00:02:49.800 --> 00:02:52.120]  如果我先去天國的話
[00:02:52.120 --> 00:02:54.760]  我看我家附近有沒有房子
[00:02:54.760 --> 00:02:56.880]  到時候我們還可以做鄰居
[00:02:56.880 --> 00:02:59.040]  如果您先去天國的話
[00:02:59.040 --> 00:03:00.480]  也幫我看一看
[00:03:00.480 --> 00:03:02.200]  我們可以做鄰居
[00:03:02.200 --> 00:03:03.720]  我就想到有一次
[00:03:03.720 --> 00:03:07.160]  我們在聖河西在師班
[00:03:07.160 --> 00:03:09.040]  那麼我們師班的班長
[00:03:09.040 --> 00:03:11.200]  他的先生是一個牧師
[00:03:11.200 --> 00:03:12.480]  過世了
[00:03:12.480 --> 00:03:15.640]  所以我們陪着班長去看墳墓地
[00:03:15.640 --> 00:03:17.400]  這個賣墳墓的人就是
[00:03:17.400 --> 00:03:19.360]  哎呀你們師班這麼多人
[00:03:19.360 --> 00:03:21.640]  哎呀趁這個機會多買幾個
[00:03:21.640 --> 00:03:22.960]  我給你們打折
[00:03:22.960 --> 00:03:25.960]  將來你們還可以一起再唱詩歌
[00:03:25.960 --> 00:03:27.520]  哎呀真的棒
[00:03:27.520 --> 00:03:30.160]  因爲這是天國
[00:03:30.160 --> 00:03:32.480]  天國不是說在你的心裏面
[00:03:32.480 --> 00:03:34.320]  退一步入海闊天空
[00:03:34.320 --> 00:03:35.560]  那不叫天國
[00:03:35.560 --> 00:03:38.400]  天國是實實在在真正有的地方
[00:03:38.400 --> 00:03:40.680]  而且去天國只有一條路
[00:03:40.680 --> 00:03:42.200]  不是像有的人說的
[00:03:42.200 --> 00:03:44.280]  天國好像在山頂上面
[00:03:44.280 --> 00:03:46.080]  從前面也可以上去
[00:03:46.080 --> 00:03:47.120]  後面也可以上
[00:03:47.120 --> 00:03:48.200]  左右都可以
[00:03:48.200 --> 00:03:50.320]  條條道路通天國
[00:03:50.320 --> 00:03:52.920]  no there is only one way
[00:03:52.920 --> 00:03:53.880]  通天國
[00:03:53.880 --> 00:03:56.440]  就是經過耶穌基督不是嗎
[00:03:56.440 --> 00:03:58.920]  這是我們應該有的天國觀
[00:03:58.920 --> 00:04:03.120]  後來我又說我們基督徒應該有的身份和責任
[00:04:03.120 --> 00:04:04.960]  我特別舉了一個例子
[00:04:04.960 --> 00:04:07.040]  大家都很清楚的
[00:04:07.040 --> 00:04:10.000]  就是浪子回頭的故事
[00:04:10.000 --> 00:04:12.520]  我們都說這個小兒子不好不好
[00:04:12.520 --> 00:04:13.920]  浪蕩家財
[00:04:13.920 --> 00:04:15.760]  那回到家裏面的時候
[00:04:15.760 --> 00:04:17.600]  爸爸又給他戴上戒指
[00:04:17.600 --> 00:04:18.440]  穿上鞋子
[00:04:18.440 --> 00:04:19.600]  披上袍子
[00:04:19.600 --> 00:04:22.680]  爲他殺牛宰羊
[00:04:22.680 --> 00:04:24.800]  爲他大肆慶祝
[00:04:24.800 --> 00:04:27.160]  小兒子固然不好
[00:04:27.160 --> 00:04:29.240]  這個大兒子很不高興
[00:04:29.240 --> 00:04:32.600]  爸爸你從來沒有這樣子對我過
[00:04:32.600 --> 00:04:33.760]  我就講說
[00:04:33.760 --> 00:04:37.400]  你們不要忽略了你的身份跟你的地位
[00:04:37.400 --> 00:04:38.840]  還有你的責任
[00:04:38.840 --> 00:04:40.440]  我們是神的兒子
[00:04:40.440 --> 00:04:42.040]  大兒子也是神的兒子
[00:04:42.040 --> 00:04:44.120]  小兒子也是神的兒子
[00:04:44.120 --> 00:04:45.680]  聖經上面說
[00:04:45.680 --> 00:04:47.320]  小兒子說爸爸
[00:04:47.320 --> 00:04:51.480]  你把我們應該有的分給我們吧
[00:04:51.480 --> 00:04:53.960]  所以爸爸也分給了大兒子了
