
[00:00:00.000 --> 00:00:02.440]  主耶穌說:你們放手吧
[00:00:02.440 --> 00:00:05.160]  基督也說:你們放手吧
[00:00:05.160 --> 00:00:07.600]  基督也說:你們放手吧
[00:00:07.600 --> 00:00:09.820]  基督也說:你們放手吧
[00:00:09.820 --> 00:00:12.120]  基督也說:你們放手吧
[00:00:12.120 --> 00:00:14.420]  基督也說:你們放手吧
[00:00:14.420 --> 00:00:16.640]  基督也說:你們放手吧
[00:00:16.640 --> 00:00:18.840]  基督也說:你們放手吧
[00:00:18.840 --> 00:00:21.200]  基督也說:你們放手吧
[00:00:21.200 --> 00:00:23.460]  基督也說:你們放手吧
[00:00:23.460 --> 00:00:25.800]  基督也說:你們放手吧
[00:00:25.800 --> 00:00:28.200]  基督也說:你們放手吧
[00:00:28.200 --> 00:00:30.800]  基督也說:你們放手吧
[00:00:30.800 --> 00:00:35.000]  是我不要怕
[00:00:35.000 --> 00:00:37.800]  這是多麼寶貴的英許
[00:00:37.800 --> 00:00:39.600]  全因為有祢
[00:00:39.600 --> 00:00:42.300]  我們不需要懼怕
[00:00:42.300 --> 00:00:43.400]  信啊
[00:00:43.400 --> 00:00:46.200]  我們承認面對各樣衝擊的時候
[00:00:46.200 --> 00:00:48.400]  我們是會怕的
[00:00:48.400 --> 00:00:50.100]  因為病毒
[00:00:50.100 --> 00:00:52.900]  人與人之間的隔膜
[00:00:52.900 --> 00:00:54.400]  謊言
[00:00:54.400 --> 00:00:56.600]  物質短缺
[00:00:56.600 --> 00:00:59.100]  決策者的無知無能
[00:00:59.100 --> 00:01:02.000]  都會令人恐慌
[00:01:02.000 --> 00:01:06.200]  求祢赦免世人集體所犯下的罪
[00:01:06.200 --> 00:01:07.000]  主啊
[00:01:07.000 --> 00:01:10.500]  昔日祢叫彼得從水面走過來
[00:01:10.500 --> 00:01:11.400]  今日
[00:01:11.400 --> 00:01:13.500]  希望同樣祢激勵我們
[00:01:13.500 --> 00:01:16.100]  走到祢那邊
[00:01:16.100 --> 00:01:18.500]  求祢賜下信心和勇氣
[00:01:18.500 --> 00:01:21.400]  讓我們可以緊握著祢的英許
[00:01:21.400 --> 00:01:23.800]  又求祢賜智慧和愛心
[00:01:23.800 --> 00:01:27.600]  給所有政府官員和醫護人員
[00:01:27.600 --> 00:01:31.500]  給使命掌管每一個人的心思意念
[00:01:31.500 --> 00:01:34.000]  行在祢的旨意當中
[00:01:34.000 --> 00:01:38.500]  又用祢醫治的手去撫摸病患的人
[00:01:38.500 --> 00:01:40.000]  我們願意去相信
[00:01:40.000 --> 00:01:42.800]  祢的恩手會拖帶著我們
[00:01:42.800 --> 00:01:45.700]  平靜我們心中的風浪
[00:01:45.700 --> 00:01:48.200]  並且賜下祢屬天的平安
[00:01:48.200 --> 00:01:49.900]  給祢的子民
[00:01:49.900 --> 00:01:53.100]  奉主耶穌基督的名祈求
[00:01:53.100 --> 00:01:53.900]  阿們
