
[00:00:00.000 --> 00:00:03.500]  佛教教會
[00:00:03.500 --> 00:00:05.500]  各位弟兄姊妹平安
[00:00:05.500 --> 00:00:08.500]  最近有一位弟兄他心裏面很不忿
[00:00:08.500 --> 00:00:13.000]  他說為什麼好人偏偏遇到這麼多壞事
[00:00:13.000 --> 00:00:17.000]  原來他自己在教會裏面很熱心服侍
[00:00:17.000 --> 00:00:20.000]  但是他的合約就已經滿了
[00:00:20.000 --> 00:00:22.000]  他沒有工作
[00:00:22.000 --> 00:00:27.500]  他在家裏等著他來支撐整個家裏的開支
[00:00:27.500 --> 00:00:31.000]  而且打擊就好像一浪接一浪
[00:00:31.000 --> 00:00:33.000]  這樣過來一樣
[00:00:33.000 --> 00:00:36.500]  因此他向神發出很多的疑問
[00:00:36.500 --> 00:00:38.500]  他說神啊我這麼愛祢
[00:00:38.500 --> 00:00:40.000]  我又服侍祢
[00:00:40.000 --> 00:00:41.500]  我又跟隨祢
[00:00:41.500 --> 00:00:47.000]  為什麼這麼多壞事偏偏發生在我身上
[00:00:47.000 --> 00:00:48.000]  各位弟兄姊妹
[00:00:48.000 --> 00:00:51.000]  可能在你身邊都有一些人
[00:00:51.000 --> 00:00:54.000]  他們是同樣的經歷
[00:00:54.000 --> 00:00:57.500]  我做牧師碰到很多人都問我這個問題
[00:00:57.500 --> 00:01:00.500]  為什麼神這麼不公平
[00:01:00.500 --> 00:01:03.500]  偏偏有些很愛主的弟兄姊妹
[00:01:03.500 --> 00:01:06.000]  就碰到很多的災難
[00:01:06.000 --> 00:01:12.000]  好像災難是不應該發生在好人身上一樣
[00:01:12.000 --> 00:01:14.500]  但我們知道事實不是這樣
[00:01:14.500 --> 00:01:16.500]  原來好事壞事
[00:01:16.500 --> 00:01:21.000]  因為神叫太陽照好人也照大人
[00:01:21.000 --> 00:01:24.500]  神降雨給義人也給不義的人
[00:01:24.500 --> 00:01:27.000]  所以神是很平等的
[00:01:27.000 --> 00:01:32.000]  不過是人裏面很多的問題就去問神了
[00:01:32.000 --> 00:01:34.000]  為什麼
[00:01:34.000 --> 00:01:36.500]  今天我要講一個很重要
[00:01:36.500 --> 00:01:41.000]  在聖經裏面教我們基督徒生活的準則
[00:01:41.000 --> 00:01:45.500]  就是困境只不過好像一條橋一樣
[00:01:45.500 --> 00:01:52.500]  一個bridge是帶我們進到神要賜福給我們
[00:01:52.500 --> 00:01:58.000]  叫我們和神之間的關係是更加緊密
[00:01:58.000 --> 00:02:01.000]  你知不知道當我們落在困境裏面
[00:02:01.000 --> 00:02:03.000]  我們會這麼迫切呼求神
[00:02:03.000 --> 00:02:05.000]  當我們落在困境裏面
[00:02:05.000 --> 00:02:09.500]  我們知道我們裏面很需要主耶穌
[00:02:09.500 --> 00:02:11.500]  當我們落在困境裏面
[00:02:11.500 --> 00:02:16.000]  我們知道我們靠自己是沒有辦法應付的
[00:02:16.000 --> 00:02:21.000]  因此我們很需要主耶穌與我們同行
[00:02:21.000 --> 00:02:23.000]  原來神就是這樣
[00:02:23.000 --> 00:02:28.000]  容許一些不好的事都發生在我身上
[00:02:28.000 --> 00:02:31.500]  我自己移民來了紐西蘭之後
[00:02:31.500 --> 00:02:34.000]  都碰到接二連三的問題
[00:02:34.000 --> 00:02:41.000]  在我的hip 盆骨的關節開始退化
[00:02:41.000 --> 00:02:43.500]  而且退化得很嚴重
