
[00:00:00.000 --> 00:00:03.000]  各位兄弟姐妹,早安
[00:00:03.000 --> 00:00:06.000]  很開心可以跟大家一起敬拜
[00:00:06.000 --> 00:00:08.000]  在疫症流行的日子
[00:00:08.000 --> 00:00:11.000]  更加珍惜敬拜的機會
[00:00:11.000 --> 00:00:15.000]  今天跟大家講一個開心的訊息
[00:00:15.000 --> 00:00:18.000]  是上上喜樂
[00:00:18.000 --> 00:00:20.000]  但可能你見到這個題目
[00:00:20.000 --> 00:00:23.000]  你覺得好像不是很合時宜
[00:00:23.000 --> 00:00:28.000]  可能覺得鄺牧師你拿警令贈慶
[00:00:28.000 --> 00:00:34.000]  我們捱了六個月動盪的日子
[00:00:34.000 --> 00:00:37.000]  再來兩個多月的疫症
[00:00:37.000 --> 00:00:41.000]  你問我可不可以上上喜樂
[00:00:41.000 --> 00:00:44.000]  好像很諷刺一樣
[00:00:44.000 --> 00:00:49.000]  的確是一個不容易的題目
[00:00:49.000 --> 00:00:51.000]  但大家想想
[00:00:51.000 --> 00:00:53.000]  如果一切都是安定繁榮
[00:00:53.000 --> 00:00:55.000]  順風順水
[00:00:55.000 --> 00:00:59.000]  都不用我教導大家要喜樂
[00:00:59.000 --> 00:01:02.000]  正正是困難的日子
[00:01:02.000 --> 00:01:05.000]  這個教導才是重要
[00:01:05.000 --> 00:01:09.000]  上上喜樂才是重要
[00:01:09.000 --> 00:01:13.000]  所以這是我們要學習的功課
[00:01:13.000 --> 00:01:15.000]  不容易
[00:01:15.000 --> 00:01:17.000]  但在今天一起學習
[00:01:17.000 --> 00:01:25.000]  才是最能夠幫助我們明白教導的意義
[00:01:25.000 --> 00:01:30.000]  怎樣一起學習教導呢
[00:01:30.000 --> 00:01:33.000]  從保羅身上學習
[00:01:33.000 --> 00:01:35.000]  大家知道
[00:01:35.000 --> 00:01:38.000]  其實保羅寫菲勒比書的時候
[00:01:38.000 --> 00:01:41.000]  他不是順風順水的
[00:01:41.000 --> 00:01:44.000]  他不是一帆風順
[00:01:44.000 --> 00:01:47.000]  他是坐牢的
[00:01:47.000 --> 00:01:49.000]  他是因為傳福音的緣故
[00:01:49.000 --> 00:01:52.000]  他坐牢
[00:01:52.000 --> 00:01:57.000]  所以他第一章第十三節說
[00:01:57.000 --> 00:02:00.000]  以致我受的困所
[00:02:00.000 --> 00:02:05.000]  在禦刑全軍和其餘的人中
[00:02:05.000 --> 00:02:09.000]  已經顯明是為基督的緣故
[00:02:09.000 --> 00:02:11.000]  第十二節他說
[00:02:11.000 --> 00:02:14.000]  提到他所遭遇的事
[00:02:14.000 --> 00:02:17.000]  是福音興旺
[00:02:17.000 --> 00:02:19.000]  他是因為傳福音
[00:02:19.000 --> 00:02:21.000]  而被人抓去坐牢
[00:02:21.000 --> 00:02:23.000]  被人抓去坐牢
[00:02:23.000 --> 00:02:25.000]  還要喜樂
[00:02:25.000 --> 00:02:27.000]  很難吧
[00:02:27.000 --> 00:02:29.000]  更難的是
[00:02:29.000 --> 00:02:31.000]  他勸人喜樂
[00:02:31.000 --> 00:02:34.000]  他不但自己喜樂
[00:02:34.000 --> 00:02:38.000]  還教導人要喜樂
[00:02:38.000 --> 00:02:40.000]  所以這段聖經
[00:02:40.000 --> 00:02:44.000]  對我們來說是一個挑戰
[00:02:44.000 --> 00:02:46.000]  保羅這樣教導我們
[00:02:46.000 --> 00:02:48.000]  是要我們在這個時刻
[00:02:48.000 --> 00:02:53.000]  學習怎樣能夠對神有信心
[00:02:53.000 --> 00:02:58.000]  而且學習喜樂過活
[00:02:58.000 --> 00:03:02.000]  因為喜樂在初代教會
[00:03:02.000 --> 00:03:05.000]  是他們的標記
[00:03:05.000 --> 00:03:07.000]  他們常常的喜樂
[00:03:07.000 --> 00:03:09.000]  在眾人面前
[00:03:09.000 --> 00:03:12.000]  人們覺得他們很特別
[00:03:12.000 --> 00:03:15.000]  所以成為了他們的標記
[00:03:15.000 --> 00:03:17.000]  所以保羅特別提出
[00:03:17.000 --> 00:03:20.000]  要喜樂
[00:03:20.000 --> 00:03:22.000]  所以這個教導非常重要
[00:03:22.000 --> 00:03:25.000]  有多重要呢
[00:03:25.000 --> 00:03:29.000]  我們看看
[00:03:29.000 --> 00:03:33.000]  四章第四節就明白了
[00:03:33.000 --> 00:03:37.000]  你們要靠主常常喜樂
[00:03:37.000 --> 00:03:39.000]  我再說
[00:03:39.000 --> 00:03:43.000]  你們要喜樂
