
[00:00:00.000 --> 00:00:02.620]  我們一起看看聖經
[00:00:02.620 --> 00:00:07.320]  約書亞記第十四章
[00:00:07.320 --> 00:00:10.480]  約書亞記第十四章
[00:00:10.480 --> 00:00:16.860]  我們一起讀第六至十三節
[00:00:16.860 --> 00:00:22.240]  有了嗎?好,預備,請
[00:00:22.240 --> 00:00:25.380]  那時猶太人來到吉甲
[00:00:25.380 --> 00:00:26.860]  見約書亞
[00:00:27.160 --> 00:00:31.060]  有基尼洗族耶夫尼的兒子
[00:00:31.060 --> 00:00:33.720]  迦勒對約書亞說
[00:00:33.720 --> 00:00:37.080]  耶和華在迦底斯巴尼亞
[00:00:37.080 --> 00:00:41.680]  指著我與你對神人摩西所說的話
[00:00:41.680 --> 00:00:43.680]  你都知道了
[00:00:43.680 --> 00:00:46.140]  耶和華的僕人摩西
[00:00:46.140 --> 00:00:51.540]  從迦底斯巴打發我窺探這地
[00:00:51.540 --> 00:00:54.180]  那時我正四十歲
[00:00:54.180 --> 00:00:57.180]  我按著心意回報他
[00:00:57.180 --> 00:01:03.980]  然而與我上去的眾弟兄使百姓的心消化
[00:01:03.980 --> 00:01:08.180]  但我專心跟從耶和華我的神
[00:01:08.180 --> 00:01:10.980]  當日摩西起誓說
[00:01:10.980 --> 00:01:13.180]  你腳所踏之地
[00:01:13.180 --> 00:01:17.980]  定要歸你和你的子孫永遠為業
[00:01:17.980 --> 00:01:22.480]  因為你專心跟從耶和華我的神
[00:01:22.480 --> 00:01:26.980]  自從耶和華對摩西說這話的時候
[00:01:26.980 --> 00:01:33.480]  耶和華照他所應許的使我存活這四十五年
[00:01:33.480 --> 00:01:37.980]  其間以色列人在曠野行走
[00:01:37.980 --> 00:01:41.980]  看啊,現今我八十五歲了
[00:01:41.980 --> 00:01:43.980]  我還是強壯
[00:01:43.980 --> 00:01:48.480]  像摩西打發我去的那天一樣
[00:01:48.480 --> 00:01:54.480]  無論是征戰,是出入,我的力量那時如何
[00:01:54.480 --> 00:01:57.480]  現在還是如何
[00:01:57.480 --> 00:02:03.480]  求你將耶和華那日應許我的這山地給我
[00:02:03.480 --> 00:02:08.480]  那裡有雅納族人並寬大堅固的城
[00:02:08.480 --> 00:02:10.980]  你也曾聽見了
[00:02:10.980 --> 00:02:16.480]  或者耶和華照他所應許的與我同在
[00:02:16.480 --> 00:02:21.480]  我就把他們趕出去
[00:02:21.480 --> 00:02:24.480]  夠了,暫時到這裡
[00:02:24.480 --> 00:02:28.480]  大家聽過龜兔賽跑的故事吧
[00:02:28.480 --> 00:02:31.980]  我也說過很多次給我們的小朋友聽
[00:02:31.980 --> 00:02:40.480]  我們知道龜和兔都是在同一個起跑線開始
[00:02:40.480 --> 00:02:45.480]  我們知道兔子應該是贏在起跑線
[00:02:45.480 --> 00:02:48.480]  它一彈就彈出去了
[00:02:48.480 --> 00:02:58.480]  不過它就躺在跑道當中
