
[00:00:00.000 --> 00:00:03.560]  我們一起祈禱 然後我們一起去看整個雪華
[00:00:03.560 --> 00:00:08.420]  親愛的天父上帝 我要感謝您
[00:00:08.420 --> 00:00:12.140]  因為您給孩子有機會能夠來到道教信會
[00:00:12.140 --> 00:00:14.800]  可以和您一起敬拜您 服侍您
[00:00:14.800 --> 00:00:19.100]  求天父的靈在這個時間 準備我們的心
[00:00:19.100 --> 00:00:23.720]  當我們回來的時候 我們在預備能夠和您相遇
[00:00:23.720 --> 00:00:27.800]  我們在預備能夠聽到您給我們的訊息
[00:00:27.800 --> 00:00:31.880]  教訓他們能夠謙卑 教訓他們能夠去仰望
[00:00:31.880 --> 00:00:33.880]  將他們的心打開
[00:00:33.880 --> 00:00:37.760]  無論今天您向我們所講的是甚麼說話
[00:00:37.760 --> 00:00:40.720]  我們不單單嘗試去了解明白
[00:00:40.720 --> 00:00:46.160]  天父啊 賜給我們有勇氣 有恩典 有能力
[00:00:46.160 --> 00:00:49.040]  可以回應您給我們的呼召
[00:00:49.040 --> 00:00:53.360]  祈求聽我們的禱告 向耶穌基督的聲明
[00:00:53.360 --> 00:00:57.860]  是不是 大概兩年前我在YouTube
[00:00:57.860 --> 00:01:00.360]  大家知道YouTube很popular 但現在很流行
[00:01:00.360 --> 00:01:03.360]  看到一個人他和我分享他的一個經驗
[00:01:03.360 --> 00:01:05.360]  這個人的名字叫Adam Leising
[00:01:05.360 --> 00:01:13.160]  這個人其實他是在洛杉磯Hollywood的一個電影的監製
[00:01:13.160 --> 00:01:14.760]  他也做了很多舞台劇
[00:01:14.760 --> 00:01:17.760]  也是一個所謂Motivational speaker
[00:01:17.760 --> 00:01:19.760]  即是一個勵志的講員
[00:01:19.760 --> 00:01:22.260]  在YouTube裏面很短的
[00:01:22.260 --> 00:01:23.560]  他分享一個經驗
[00:01:23.560 --> 00:01:24.560]  這個經驗是甚麼呢
[00:01:24.560 --> 00:01:28.560]  他就是回到自己耶和大學畢業的耶魯大學畢業
[00:01:28.560 --> 00:01:34.560]  他參加過耶魯大學畢業25週年的重聚派對
[00:01:34.560 --> 00:01:36.560]  即是裏面邀約人
[00:01:36.560 --> 00:01:37.560]  回到那裏很開心
[00:01:37.560 --> 00:01:39.560]  見到很多老朋友
[00:01:39.560 --> 00:01:41.560]  Half of quarter
[00:01:41.560 --> 00:01:44.560]  One quarter 25年沒見的很多是
[00:01:44.560 --> 00:01:46.560]  這班人在耶和大學畢業
[00:01:46.560 --> 00:01:50.560]  當然都是事業上相當有成就
[00:01:50.560 --> 00:01:52.560]  很開心見到這些人
[00:01:52.560 --> 00:01:55.560]  這個人性格上比我開朗些
[00:01:55.560 --> 00:01:57.560]  於是到處跟他們聊天
[00:01:57.560 --> 00:02:00.560]  他跟我們分享
[00:02:00.560 --> 00:02:02.560]  差不多每一個出席的人
[00:02:02.560 --> 00:02:04.560]  他都跟他聊了幾句
[00:02:04.560 --> 00:02:08.560]  就發覺一個令他很震撼的情況
[00:02:08.560 --> 00:02:10.560]  這是甚麼呢
[00:02:10.560 --> 00:02:12.560]  他發覺當他跟這些同學
[00:02:12.560 --> 00:02:13.560]  沒見25年
[00:02:13.560 --> 00:02:14.560]  有些認識有些不認識的
[00:02:14.560 --> 00:02:15.560]  聊天見面
[00:02:15.560 --> 00:02:17.560]  在交通的內容裏面
[00:02:17.560 --> 00:02:20.560]  他發覺這些出席的人當中
[00:02:20.560 --> 00:02:22.560]  最少有80%
[00:02:22.560 --> 00:02:23.560]  即是有八成的人
[00:02:23.560 --> 00:02:26.560]  告訴他他們生活得不開心
[00:02:26.560 --> 00:02:27.560]  生活得不快樂
[00:02:27.560 --> 00:02:31.560]  不知道自己為何要繼續這樣生活下去
[00:02:31.560 --> 00:02:33.560]  但是又沒有別的路可以走
[00:02:33.560 --> 00:02:34.560]  不要忘記
[00:02:34.560 --> 00:02:35.560]  這些是耶魯的畢業生
