
[00:00:00.000 --> 00:00:05.520]  我們感謝,能夠一齊聚會敬拜是一件不是必然的事
[00:00:05.520 --> 00:00:09.600]  如果你想深一點,feel真一點
[00:00:09.600 --> 00:00:12.720]  其實都不一定是必然的
[00:00:12.720 --> 00:00:15.520]  香港的飄搖風雨
[00:00:15.520 --> 00:00:20.000]  其實是令我們想起未來其實都不知道是如何的
[00:00:20.000 --> 00:00:25.360]  所以我們珍惜有把握每一次的機會
[00:00:25.360 --> 00:00:26.880]  我們可以一齊
[00:00:26.880 --> 00:00:32.240]  當然這星期或這段日子
[00:00:32.240 --> 00:00:36.400]  我相信很多弟兄姊妹心裏都有很多感覺
[00:00:36.400 --> 00:00:37.760]  很多起跌
[00:00:37.760 --> 00:00:40.800]  起就不是很多
[00:00:40.800 --> 00:00:46.240]  我經常都想
[00:00:46.240 --> 00:00:50.720]  其實神的道總是會給我們有啟發
[00:00:50.720 --> 00:00:52.560]  給我們有心思
[00:00:52.560 --> 00:00:58.080]  給我們有更深一層的去明白祂的心意
[00:00:58.080 --> 00:01:00.080]  今日編排的經文
[00:01:00.080 --> 00:01:03.280]  其實我們都按照去年一路的安排
[00:01:03.280 --> 00:01:06.880]  如果你們有留意
[00:01:06.880 --> 00:01:08.480]  這一季我們都是在說
[00:01:08.480 --> 00:01:10.560]  怎樣我們的眼可以打開
[00:01:10.560 --> 00:01:12.560]  我們可以面對面見主
[00:01:12.560 --> 00:01:14.000]  特別是在聖靈的工作裏面
[00:01:14.000 --> 00:01:18.400]  怎樣可以和我們的神更多明白祂、體會祂
[00:01:18.400 --> 00:01:20.640]  所以無論是再早一周之前
[00:01:20.640 --> 00:01:22.800]  鍾木在這裏說了一個拍子的問題
[00:01:22.800 --> 00:01:24.080]  如果你有印象
[00:01:24.080 --> 00:01:26.080]  上星期偉晟在這裏說
[00:01:26.080 --> 00:01:30.560]  保羅和耶穌的相遇帶給他很大的改變
[00:01:30.560 --> 00:01:32.400]  今日我就會選擇
[00:01:32.400 --> 00:01:36.240]  哥倫多前書第二章這段經文
[00:01:36.240 --> 00:01:38.160]  這段經文是在說
[00:01:38.160 --> 00:01:42.640]  聖靈將一個啟示告訴我們
[00:01:42.640 --> 00:01:45.600]  保羅是和哥倫多教會這樣說的
[00:01:45.600 --> 00:01:49.280]  我很盼望這段經文
[00:01:49.280 --> 00:01:54.560]  讓我們對今日我們身處的香港
[00:01:54.560 --> 00:01:57.040]  有沒有一些新的意見
[00:01:57.040 --> 00:02:00.000]  讓我們可以向前望得更遠
[00:02:00.000 --> 00:02:05.120]  哥倫多前書是很特別的
[00:02:05.120 --> 00:02:09.760]  當然是在說保羅對哥倫多教會的回應
[00:02:09.760 --> 00:02:12.160]  因為哥倫多教會有很多問題
[00:02:12.160 --> 00:02:14.960]  如果你對這本書有些認識
[00:02:14.960 --> 00:02:17.520]  你都知道其實是充滿問題的教會
[00:02:17.520 --> 00:02:21.120]  一個牧羊的關注有很多很多的需要
[00:02:21.120 --> 00:02:25.200]  保羅寫這本書都有一個特別的地方
[00:02:25.200 --> 00:02:29.440]  如果你想明白保羅的寫法
[00:02:29.440 --> 00:02:33.360]  和他怎樣去鋪陳他的理據
[00:02:33.360 --> 00:02:36.960]  你要明白保羅在這本書裏有一個特色
[00:02:36.960 --> 00:02:41.120]  就是他喜歡針對每一個問題
[00:02:41.120 --> 00:02:43.360]  很多時候他都用一種方式
[00:02:43.360 --> 00:02:45.920]  我們稱為交叉式的方式去表達
[00:02:45.920 --> 00:02:48.480]  我們形容一下 講多一點什麼意思
[00:02:48.480 --> 00:02:52.320]  英文來講叫ABA
[00:02:52.320 --> 00:02:54.800]  即是有一個問題他要面對
[00:02:54.800 --> 00:02:56.480]  他要處理
[00:02:56.480 --> 00:02:57.760]  他會怎樣呢
[00:02:57.760 --> 00:03:00.240]  他會先講問題出來
[00:03:00.240 --> 00:03:02.880]  你碰到一個什麼問題 什麼需要
[00:03:02.880 --> 00:03:05.360]  這是A的部分
[00:03:05.360 --> 00:03:09.200]  講了一輪之後其實他沒有解決
[00:03:09.200 --> 00:03:11.200]  然後突然之間不知道為什麼
[00:03:11.200 --> 00:03:12.960]  他就跳出去講第二件事
