
[00:00:00.000 --> 00:00:02.620]  與主結聯,爲何不再沉默呢?
[00:00:02.620 --> 00:00:05.240]  爲什麼與主連接,不再沉默呢?
[00:00:05.240 --> 00:00:06.800]  我們就會去探討
[00:00:06.800 --> 00:00:07.740]  我們就來一起討論
[00:00:07.740 --> 00:00:11.020]  有時我們在信仰上,往往只是側重一方面
[00:00:11.020 --> 00:00:14.720]  因爲在我們的信仰方面,不是觀光是一方面的
[00:00:14.720 --> 00:00:20.840]  有時我們對我們的神的認識,可能會有一些偏重
[00:00:20.840 --> 00:00:25.220]  可能我們對我們的神認識有一點偏差
[00:00:25.220 --> 00:00:29.000]  很簡單舉個例子,我們很強調神的慈愛
[00:00:29.000 --> 00:00:31.880]  很簡單,我們強調神的慈愛
[00:00:31.880 --> 00:00:33.160]  強調神的憐憫
[00:00:33.160 --> 00:00:34.640]  強調神的憐憫
[00:00:34.640 --> 00:00:36.200]  強調神的寬恕
[00:00:36.200 --> 00:00:38.440]  強調神的寬恕
[00:00:38.440 --> 00:00:43.160]  但我們很少討論神的公義
[00:00:43.160 --> 00:00:44.840]  但是我們很少討論神的公義
[00:00:44.840 --> 00:00:45.760]  神的聖潔
[00:00:45.760 --> 00:00:46.600]  神的聖潔
[00:00:46.600 --> 00:00:47.600]  還有神的威嚴
[00:00:47.600 --> 00:00:49.040]  還有神的威嚴
[00:00:49.040 --> 00:00:52.720]  但聖經告訴我們,我們要多方面認識神
[00:00:52.720 --> 00:00:57.480]  聖經告訴我們,我們需要多方面認識神
[00:00:57.480 --> 00:01:00.240]  聖經裏面主耶穌親自的說
[00:01:00.240 --> 00:01:02.600]  聖經裏面主耶穌親自的說
[00:01:02.600 --> 00:01:07.040]  我心裏柔和謙卑,你們當負我的壓,學我的樣式
[00:01:07.040 --> 00:01:09.920]  這樣你們心裏必得享安息
[00:01:09.920 --> 00:01:11.640]  逢出讀經文就不用翻譯了
[00:01:11.640 --> 00:01:13.560]  因爲他們會聽到和看到
[00:01:13.560 --> 00:01:15.400]  省時間
[00:01:15.400 --> 00:01:18.640]  主耶穌說他自己心裏柔和謙卑
[00:01:18.640 --> 00:01:20.920]  主耶穌說他的心靈柔和謙卑
[00:01:20.920 --> 00:01:22.960]  但是我們接着會看到
[00:01:22.960 --> 00:01:25.160]  真的主耶穌是何等的謙卑呢
[00:01:25.160 --> 00:01:26.560]  但是我們跟着看
[00:01:26.560 --> 00:01:29.480]  主耶穌到底是如何謙卑呢
[00:01:29.480 --> 00:01:33.200]  當時小孩子在人眼中是沒有用的
[00:01:33.200 --> 00:01:35.280]  當時的小孩子在人眼中是沒有用的
[00:01:35.280 --> 00:01:37.040]  很多人在擁抱耶穌的時候
[00:01:37.040 --> 00:01:39.480]  很多人在擁抱耶穌的時候
[00:01:39.480 --> 00:01:43.440]  但是小孩子都很想來到這裏去看
[00:01:43.440 --> 00:01:46.400]  小孩子很想去看到耶穌
[00:01:46.400 --> 00:01:50.080]  那些人說走開小孩子
[00:01:50.080 --> 00:01:51.240]  阻住了
[00:01:51.240 --> 00:01:53.920]  真的是阻撓了
[00:01:53.920 --> 00:01:57.040]  主耶穌說一句話成爲主日學很重要的經文
[00:01:57.040 --> 00:01:57.760]  你們記得嗎
[00:01:57.760 --> 00:02:00.960]  主耶穌說的一句話是主日學很重要的一段經文
[00:02:00.960 --> 00:02:05.000]  讓小孩子到我這裏來不要禁止他們
[00:02:05.000 --> 00:02:07.920]  讓小孩子到我這裏來不要禁止他們
[00:02:07.920 --> 00:02:09.600]  一些麻風病人
[00:02:09.600 --> 00:02:10.960]  那些麻風的病人
[00:02:10.960 --> 00:02:13.240]  是被視爲有罪
[00:02:13.240 --> 00:02:14.400]  所以你有麻風
[00:02:14.400 --> 00:02:15.840]  是被視爲有罪
[00:02:15.840 --> 00:02:17.440]  所以我們說是麻風
[00:02:17.440 --> 00:02:19.800]  但是主耶穌親自去接觸他們
[00:02:19.800 --> 00:02:23.360]  那主耶穌是親自去醫治他們
[00:02:23.360 --> 00:02:24.960]  還用手摸他們
[00:02:24.960 --> 00:02:26.600]  然後用手去摸他們
[00:02:26.600 --> 00:02:29.000]  是因爲不單單是去醫治他們身體的病
[00:02:29.000 --> 00:02:31.080]  他不單單是去醫治他們身體的病
[00:02:31.080 --> 00:02:33.160]  更加是去醫治他們心靈的傷痛
[00:02:33.160 --> 00:02:35.200]  更加是去醫治他們心靈的傷痛
[00:02:35.200 --> 00:02:36.560]  因爲他們被人拒絕
[00:02:36.560 --> 00:02:37.840]  那些人會避開他們
[00:02:37.840 --> 00:02:40.560]  因爲他們是被人拒絕的
[00:02:40.560 --> 00:02:42.000]  但是耶穌摸他
[00:02:42.000 --> 00:02:43.800]  但是耶穌摸他
[00:02:43.800 --> 00:02:45.120]  是願意接納他
[00:02:45.120 --> 00:02:46.960]  是願意的接納
[00:02:46.960 --> 00:02:48.360]  我還留意到一件事
[00:02:48.360 --> 00:02:49.880]  還有一件事
[00:02:49.880 --> 00:02:51.920]  耶穌摸完他之後沒有洗手
[00:02:51.920 --> 00:02:54.520]  耶穌摸完他之後沒有洗手
[00:02:54.520 --> 00:02:57.360]  耶穌可以很謙卑地爲門徒洗腳
[00:02:57.360 --> 00:02:59.440]  耶穌很謙卑地爲門徒洗腳
[00:02:59.440 --> 00:03:02.640]  也是教導他們如何做一個真正的領袖
[00:03:02.640 --> 00:03:05.120]  也是教導他們如何做一個真正的領袖
[00:03:05.120 --> 00:03:07.560]  真正的領袖是去服侍人的
[00:03:07.560 --> 00:03:09.720]  真正的領袖是服侍人的
