
[00:00:00.000 --> 00:00:08.000]  這一年我們在十字的路口
[00:00:08.000 --> 00:00:14.500]  我們面對新冠肺炎病毒
[00:00:14.500 --> 00:00:19.000]  我們不知道我們的將來
[00:00:19.000 --> 00:00:23.000]  無論社會、經濟、地理方面
[00:00:23.000 --> 00:00:27.500]  我們都好像停不下來
[00:00:27.500 --> 00:00:29.500]  在兩年前
[00:00:29.500 --> 00:00:32.500]  香港的社會仍然有很多遊客
[00:00:32.500 --> 00:00:35.500]  現在沒有了
[00:00:35.500 --> 00:00:39.500]  我們的教會都是空的
[00:00:39.500 --> 00:00:43.500]  這個好像一場大的風暴
[00:00:43.500 --> 00:00:46.500]  吹過這個城市
[00:00:46.500 --> 00:00:51.500]  整個城市是一個曠野
[00:00:51.500 --> 00:00:56.500]  我們憂慮、不安、驚惶、混亂
[00:00:56.500 --> 00:01:00.500]  我們很容易忘記怎樣活在當下
[00:01:00.500 --> 00:01:04.500]  怎樣去盼望、怎樣去想像將來
[00:01:04.500 --> 00:01:09.500]  我們怎樣可以何去何從
[00:01:09.500 --> 00:01:13.500]  回答這些生命的問題
[00:01:13.500 --> 00:01:17.500]  聖經一直以來是我們最好的指導
[00:01:17.500 --> 00:01:20.500]  聖經是我們的地圖
[00:01:20.500 --> 00:01:22.500]  透過聖經的地圖
[00:01:22.500 --> 00:01:26.500]  我們能夠得到神的指引
[00:01:26.500 --> 00:01:28.500]  在聖經的地圖當中
[00:01:28.500 --> 00:01:30.500]  我們留意到一些數字
[00:01:30.500 --> 00:01:33.500]  在上一次我們說過是四十
[00:01:33.500 --> 00:01:36.500]  我們亦留意到一些地方
[00:01:36.500 --> 00:01:37.500]  重要的地方
[00:01:37.500 --> 00:01:39.500]  例如是曠野
[00:01:39.500 --> 00:01:44.500]  我們都想起耶穌基督在曠野面對試探
[00:01:44.500 --> 00:01:49.500]  在八月份我們說過耶穌基督在曠野
[00:01:49.500 --> 00:01:53.500]  耶穌基督在曠野當中所面對的試探
[00:01:53.500 --> 00:01:55.500]  祂是不知道將來的
[00:01:55.500 --> 00:01:59.500]  我們知道在聖靈的帶領下
[00:01:59.500 --> 00:02:02.500]  耶穌基督在曠野被聖靈充滿
[00:02:02.500 --> 00:02:07.500]  祂面對撒旦的試探
[00:02:07.500 --> 00:02:08.500]  試探是分三部分的
