
[00:00:00.000 --> 00:00:03.080]  今天我們講的題目其實是特別的
[00:00:03.080 --> 00:00:05.640]  我相信很少在教會里面有講過這個題目
[00:00:05.640 --> 00:00:08.440]  就是開放的思想
[00:00:08.440 --> 00:00:13.320]  我記得我們教會在1999年要籌備
[00:00:13.320 --> 00:00:17.560]  在公元2000年開始會點教會
[00:00:17.560 --> 00:00:22.080]  開始教會的時間 其中一件事我們要做的就是
[00:00:22.080 --> 00:00:26.200]  開一個新的教會 教會應該改個什麼名號呢
[00:00:26.200 --> 00:00:28.120]  我記得在那個時間裏面
[00:00:28.120 --> 00:00:31.120]  我們大概有幾十個弟兄姊妹準備一起出來直堂
[00:00:31.120 --> 00:00:34.320]  領導當中大概有十幾個人
[00:00:34.320 --> 00:00:37.360]  我們開始研究這個想法
[00:00:37.360 --> 00:00:39.560]  發現其實我們也要了解一下
[00:00:39.560 --> 00:00:42.520]  如果我們說開一個教會的名字的時候
[00:00:42.520 --> 00:00:44.560]  對人的印象很重要
[00:00:44.560 --> 00:00:47.320]  他們怎麼去解讀這個教會呢
[00:00:47.320 --> 00:00:51.440]  於是我們就叫所有那時候的建築工作人員
[00:00:51.440 --> 00:00:56.680]  發一個電郵給我們所有的同事、朋友、家人
[00:00:56.680 --> 00:00:58.880]  特別是那些不信耶穌的
[00:00:58.880 --> 00:00:59.880]  就問他們
[00:00:59.880 --> 00:01:02.000]  在你們看起來裏面來說
[00:01:02.000 --> 00:01:05.640]  賑訊會、宣道會、長老會、唯利工會
[00:01:05.640 --> 00:01:08.560]  有什麼分別呢
[00:01:08.560 --> 00:01:12.160]  結果收到所有的調查回來的時候
[00:01:12.160 --> 00:01:13.680]  說什麼來的
[00:01:13.680 --> 00:01:16.640]  什麼賑訊會、長老會、宣道會
[00:01:16.640 --> 00:01:19.320]  原來那些不去關教會的朋友
[00:01:19.320 --> 00:01:20.640]  一概不知道是什麼
[00:01:20.640 --> 00:01:21.960]  如果有一天我去教會
[00:01:21.960 --> 00:01:24.240]  最重要是基督的教會
[00:01:24.240 --> 00:01:26.200]  就OK了
[00:01:26.200 --> 00:01:29.200]  所以我們收到這個結果之後
[00:01:29.200 --> 00:01:30.080]  我們就想了
[00:01:30.080 --> 00:01:31.960]  後來我們就改了名字
[00:01:31.960 --> 00:01:34.600]  叫做直谷匯典華人教會
[00:01:34.600 --> 00:01:36.440]  這個就是我們現在的教會的名字
[00:01:36.440 --> 00:01:41.520]  而不是直谷匯典華人賑訊會
[00:01:41.520 --> 00:01:42.240]  爲什麼呢
[00:01:42.240 --> 00:01:43.840]  其實我們是搞賑訊會的
[00:01:43.840 --> 00:01:46.360]  我們開始新的教會的時候
[00:01:46.360 --> 00:01:50.040]  是一個我們的母教
[00:01:50.040 --> 00:01:53.960]  以前的母教是聖學西威廉賑訊會
[00:01:53.960 --> 00:01:58.520]  但是當我們將這個建議拿回母教
[00:01:58.520 --> 00:02:02.160]  其中一個教會連長的領袖
[00:02:02.160 --> 00:02:03.480]  也是有影響力的
[00:02:03.480 --> 00:02:04.640]  就反對
[00:02:04.640 --> 00:02:05.800]  有沒有搞錯
[00:02:05.800 --> 00:02:07.600]  我們賑訊會開一個新的堂會
[00:02:07.600 --> 00:02:11.120]  爲什麼沒有賑訊會的招牌
[00:02:11.120 --> 00:02:12.680]  他又是連長
[00:02:12.680 --> 00:02:13.480]  搞了很久
[00:02:13.480 --> 00:02:14.520]  又有影響力
[00:02:14.520 --> 00:02:15.640]  忽然之間
[00:02:15.640 --> 00:02:17.200]  我們卡住在那裏
[00:02:17.200 --> 00:02:19.240]  到底改什麼名字好呢
[00:02:19.240 --> 00:02:23.480]  將不將賑訊會這三個字放上去好呢
[00:02:23.480 --> 00:02:25.000]  結果是什麼呢
[00:02:25.000 --> 00:02:28.960]  結果另外有一個比較年輕的教會領袖
[00:02:28.960 --> 00:02:31.760]  他就打電話去美南賑訊會
[00:02:31.760 --> 00:02:33.720]  就問他們
[00:02:33.720 --> 00:02:35.840]  在我們的會員堂當中
