
[00:00:00.000 --> 00:00:04.120]  昨晚我在教會講報道會
[00:00:04.120 --> 00:00:07.700]  臨到上台就出了一件事
[00:00:07.700 --> 00:00:10.000]  就是剛剛我有一個校友
[00:00:10.000 --> 00:00:11.980]  他就說是我師兄
[00:00:11.980 --> 00:00:14.940]  應該是我師弟 他養生比較老
[00:00:14.940 --> 00:00:15.920]  他就走來跟我講
[00:00:15.920 --> 00:00:20.580]  他說校長病危 回了英國這樣
[00:00:20.580 --> 00:00:22.920]  嘩 我一聽到
[00:00:22.920 --> 00:00:26.920]  整個人都定了一定
[00:00:26.920 --> 00:00:29.320]  我都未試過講報道會這個經驗
[00:00:29.320 --> 00:00:30.920]  就是突然間我發覺
[00:00:30.920 --> 00:00:34.000]  我不知道一會兒上台講甚麼
[00:00:34.000 --> 00:00:37.840]  我真的想起一件以前的事
[00:00:37.840 --> 00:00:39.400]  就是又是聖誕節
[00:00:39.400 --> 00:00:41.860]  當時是我15歲的時候
[00:00:41.860 --> 00:00:45.680]  15歲的時候我爸爸離開我們家
[00:00:45.680 --> 00:00:49.160]  我媽媽很傷心
[00:00:49.160 --> 00:00:52.480]  這兩件事好像拉在一起
[00:00:52.480 --> 00:00:53.580]  在我上台的時候
[00:00:53.580 --> 00:00:55.800]  是馬上湧上來
[00:00:55.800 --> 00:01:00.740]  昨晚我要講的是聖誕節 聖誕快樂
[00:01:00.740 --> 00:01:03.120]  但我自己上台的時候
[00:01:03.120 --> 00:01:04.400]  我真的想起
[00:01:04.400 --> 00:01:07.480]  好像我正在面對校長病危
[00:01:07.480 --> 00:01:09.920]  和我爸爸以前這件事
[00:01:09.920 --> 00:01:11.740]  嘩 突然間我感覺到
[00:01:11.740 --> 00:01:13.480]  需要很快去祈禱
[00:01:13.480 --> 00:01:15.600]  我怎樣去幫我的心情
[00:01:15.600 --> 00:01:17.920]  突然間很開心上台
[00:01:17.920 --> 00:01:20.600]  很奇妙 我上台的時候
[00:01:20.600 --> 00:01:24.120]  一分鐘我就很開心地講話
[00:01:24.120 --> 00:01:27.460]  講到時間走了
[00:01:27.460 --> 00:01:30.240]  當時昨晚是下雨
[00:01:30.240 --> 00:01:32.060]  10點多的時候
[00:01:32.060 --> 00:01:35.000]  我在車站站著的時候
[00:01:35.000 --> 00:01:37.020]  有兩個男人走到我身邊
[00:01:37.020 --> 00:01:39.580]  他說我剛才聽你講的
[00:01:39.580 --> 00:01:41.780]  我說是嗎
[00:01:41.780 --> 00:01:43.840]  我不太認得他
[00:01:43.840 --> 00:01:45.460]  你猜那個男人講甚麼呢
[00:01:45.460 --> 00:01:51.560]  他說我差一點就舉手決志信耶穌了
[00:01:51.560 --> 00:01:55.160]  我說差一點不差一點
[00:01:55.160 --> 00:01:59.600]  他說我的手經常都很重
[00:01:59.600 --> 00:02:00.980]  拿不起就這樣
[00:02:00.980 --> 00:02:06.700]  但我是第二次聽別人講耶穌這個字
[00:02:06.700 --> 00:02:08.740]  我真的很想信耶穌
[00:02:08.740 --> 00:02:11.700]  後來我在車站就說
[00:02:11.700 --> 00:02:13.700]  不如你現在信耶穌
[00:02:13.700 --> 00:02:16.420]  很奇妙 在巴士站那裏
[00:02:16.420 --> 00:02:18.060]  在巴士站那裏
[00:02:18.060 --> 00:02:20.820]  一個男人 我想是五十多歲的男人
[00:02:20.820 --> 00:02:24.320]  今晚我們坐在這裏就很開心
[00:02:24.320 --> 00:02:25.360]  見到聖誕節
[00:02:25.360 --> 00:02:27.000]  聖誕節是很開心的
[00:02:27.000 --> 00:02:29.900]  因為我們小時候被人訓練
[00:02:29.900 --> 00:02:31.300]  聖誕節是很開心的
[00:02:31.300 --> 00:02:33.100]  所以幾十年來
[00:02:33.100 --> 00:02:34.860]  最開心就是聖誕節
[00:02:34.860 --> 00:02:36.780]  因為有一樣東西叫聖誕禮物
[00:02:36.780 --> 00:02:40.540]  不過我開始想一下
[00:02:40.540 --> 00:02:42.380]  今晚我定了一個題目叫
[00:02:42.380 --> 00:02:43.980]  「拿不走的幸福」
[00:02:43.980 --> 00:02:45.500]  甚麼是拿不走呢
[00:02:45.500 --> 00:02:49.020]  這是一個牧師幫我改的題目
[00:02:49.020 --> 00:02:54.140]  我在《十里溫歌話》報道的總題
[00:02:54.140 --> 00:02:55.580]  甚麼是拿不走呢
[00:02:55.580 --> 00:02:56.940]  其實很多人都很害怕
[00:02:56.940 --> 00:02:58.980]  很害怕「走」這個字
[00:02:58.980 --> 00:03:00.460]  「走」這個字
[00:03:00.460 --> 00:03:01.220]  譬如甚麼呢
[00:03:01.220 --> 00:03:02.300]  小朋友很害怕的
[00:03:02.300 --> 00:03:04.020]  就是玩得最開心的時候
[00:03:04.020 --> 00:03:05.340]  「走」這樣
[00:03:05.340 --> 00:03:07.620]  所以我認識的小朋友
[00:03:07.620 --> 00:03:11.100]  個個都一想起去那裏玩
[00:03:11.100 --> 00:03:12.380]  初初很開心的
[00:03:12.380 --> 00:03:13.660]  但見到媽媽的樣子
[00:03:13.660 --> 00:03:15.740]  慢慢地現出來的時候
[00:03:15.740 --> 00:03:19.300]  「走」這個開心就完了 沒得玩了
[00:03:19.300 --> 00:03:21.380]  我不知道大家有沒有這個感覺
[00:03:21.380 --> 00:03:25.140]  很多開心都是一會兒就走了
[00:03:25.140 --> 00:03:28.100]  所以有個名叫「快樂」
[00:03:28.100 --> 00:03:31.780]  好像很快樂 但快樂就沒有了
[00:03:31.780 --> 00:03:33.540]  我又幫自己想一下
[00:03:33.540 --> 00:03:35.340]  其實我這一刻想跟你說一下
[00:03:35.340 --> 00:03:38.340]  有甚麼開心是拿不走的呢
[00:03:38.340 --> 00:03:40.380]  我數幾樣給你聽聽
[00:03:40.380 --> 00:03:42.380]  第一樣就是
[00:03:42.380 --> 00:03:44.260]  你有沒有看過聖景
[00:03:44.260 --> 00:03:47.820]  有些基督教有個馬槽
[00:03:47.820 --> 00:03:50.140]  這樣的模型的馬槽在那裏
[00:03:50.140 --> 00:03:53.780]  有牧羊人 有博士
[00:03:53.780 --> 00:03:55.300]  有個嬰兒
[00:03:55.300 --> 00:03:57.140]  當然他是公仔來的
[00:03:57.140 --> 00:03:58.660]  以前在中文大學
[00:03:58.660 --> 00:04:00.140]  在崇基合力草地
[00:04:00.140 --> 00:04:02.620]  每年聖誕節都擺在那裏
[00:04:02.620 --> 00:04:04.620]  百貨公司是可以看到的
[00:04:04.620 --> 00:04:07.620]  你知當時那個地方是甚麼來的呢
[00:04:07.620 --> 00:04:09.300]  是一個馬槽來的
[00:04:09.300 --> 00:04:12.780]  其實是一間很簡陋的房間
[00:04:12.780 --> 00:04:15.100]  很簡陋的房間
[00:04:15.100 --> 00:04:17.700]  你覺不覺得這麼簡陋的房間
[00:04:17.700 --> 00:04:21.740]  這個世界有甚麼巴閉的事會發生呢
[00:04:21.740 --> 00:04:23.580]  應該是沒有甚麼可能的
[00:04:23.580 --> 00:04:25.780]  是吧 沒有甚麼可能的
[00:04:25.780 --> 00:04:28.020]  但如果你去過教會的人就知道了
[00:04:28.020 --> 00:04:30.020]  見到浸信會的人就知道了
[00:04:30.020 --> 00:04:32.660]  很多人都在一間房
