
[00:00:00.000 --> 00:00:02.000]  大英姊妹早晨
[00:00:02.000 --> 00:00:05.300]  大家都穿得暖和,在這裏坐得
[00:00:05.300 --> 00:00:08.720]  今天很冷,我們願意一起去聆聽神的話
[00:00:08.720 --> 00:00:11.940]  神的話去暖我們的心,消磨我們的心
[00:00:11.940 --> 00:00:13.600]  我們一起禱告
[00:00:13.600 --> 00:00:15.600]  親恩主,我們多謝祢
[00:00:15.600 --> 00:00:17.600]  在這個寒冷的日子
[00:00:17.600 --> 00:00:20.440]  我們有大英姊妹與我們一起聚集
[00:00:20.440 --> 00:00:23.100]  是因為祢的愛,招聚我們
[00:00:23.100 --> 00:00:27.100]  我們又多謝祢,因為祢賜下從祢而來的話
[00:00:27.100 --> 00:00:29.100]  是我們生命的糧
[00:00:29.100 --> 00:00:31.100]  願意祢在這裏
[00:00:31.100 --> 00:00:33.100]  祢今天讓我們每一個人
[00:00:33.100 --> 00:00:35.100]  親自與祢相遇
[00:00:35.100 --> 00:00:38.100]  聆聽祢與我們所說的話
[00:00:38.100 --> 00:00:41.100]  我們禱告,奉主耶穌基督的名詞祈求
[00:00:41.100 --> 00:00:43.100]  阿們
[00:00:43.100 --> 00:00:46.100]  12月教會有很多活動
[00:00:46.100 --> 00:00:50.100]  不知道你會不會也有參加呢
[00:00:50.100 --> 00:00:52.100]  其中一個很重要的日子
[00:00:52.100 --> 00:00:55.100]  就是上星期日下午教會的水禮
[00:00:55.100 --> 00:00:57.100]  有多少位有到
[00:00:57.100 --> 00:00:59.100]  都有
[00:00:59.100 --> 00:01:01.100]  就算你沒有空出席
[00:01:01.100 --> 00:01:05.100]  我相信你也會收到這本見證集
[00:01:05.100 --> 00:01:08.100]  這本其實每一次水禮
[00:01:08.100 --> 00:01:11.100]  教會出的新蒲見證集
[00:01:11.100 --> 00:01:15.100]  都是我最喜歡看的教會刊物之一
[00:01:15.100 --> 00:01:17.100]  因為當中所記錄的
[00:01:17.100 --> 00:01:21.100]  是每一個人生命改變的故事
[00:01:21.100 --> 00:01:23.100]  他們每一個都不同
[00:01:23.100 --> 00:01:25.100]  年紀不同,經驗不同
[00:01:25.100 --> 00:01:28.100]  生命的歷練也不同
[00:01:28.100 --> 00:01:30.100]  有些人一生風平浪靜
[00:01:30.100 --> 00:01:35.100]  有些人卻是生命裡經歷波濤洶湧
[00:01:35.100 --> 00:01:38.100]  有人很簡單就信了耶穌
[00:01:38.100 --> 00:01:40.100]  也有人經過幾十年的掙扎
[00:01:40.100 --> 00:01:43.100]  最終才跟隨主
[00:01:43.100 --> 00:01:45.100]  10月底的時候
[00:01:45.100 --> 00:01:47.100]  我也去了另一間教會
[00:01:47.100 --> 00:01:50.100]  去看一個姊妹的洗禮
[00:01:50.100 --> 00:01:52.100]  這個姊妹在幾年前
[00:01:52.100 --> 00:01:56.100]  參加我們的福音聖賢經班
[00:01:56.100 --> 00:01:57.100]  其實很久之前
[00:01:57.100 --> 00:02:01.100]  她的同事已經帶她回教會
[00:02:01.100 --> 00:02:04.100]  很想讓她能夠認識基督
[00:02:04.100 --> 00:02:06.100]  她有接觸的
[00:02:06.100 --> 00:02:09.100]  但一直存著一個觀望的態度
[00:02:09.100 --> 00:02:12.100]  當她來上我們的EBS課程的時候
[00:02:12.100 --> 00:02:14.100]  她問了很多問題
[00:02:14.100 --> 00:02:16.100]  不過最後都沒有毀身
[00:02:16.100 --> 00:02:18.100]  跟從基督
[00:02:18.100 --> 00:02:20.100]  她是一個很理性的人
[00:02:20.100 --> 00:02:23.100]  她不抗拒回教會知多一點
[00:02:23.100 --> 00:02:27.100]  但不打算要做一個決定
[00:02:27.100 --> 00:02:29.100]  這位姊妹也是我的街坊
[00:02:29.100 --> 00:02:32.100]  我們都住在將軍澳區
[00:02:32.100 --> 00:02:35.100]  兩年前我放安息年假的時候
[00:02:35.100 --> 00:02:39.100]  我打算去附近一間教會參觀一下
