
[00:00:00.000 --> 00:00:03.360]  如果大家是關心財務財政的話
[00:00:03.360 --> 00:00:05.520]  我相信星期四發生的事
[00:00:05.520 --> 00:00:06.800]  大家知道了
[00:00:06.800 --> 00:00:13.360]  英國公投竟然決定離開歐洲共同市場
[00:00:13.360 --> 00:00:16.320]  這件事的發生
[00:00:16.320 --> 00:00:17.920]  現在很多人說後悔
[00:00:17.920 --> 00:00:20.160]  我不是的,只是想試試
[00:00:20.160 --> 00:00:25.680]  但是星期五就造成全球股市急挫
[00:00:25.680 --> 00:00:29.120]  起碼500點、1000點的情況
[00:00:29.120 --> 00:00:34.000]  而英鎊跌到30年以來的新低
[00:00:34.000 --> 00:00:36.720]  1美元到1.13美元
[00:00:36.720 --> 00:00:39.360]  從來都沒有試過跌得這麼低
[00:00:39.360 --> 00:00:41.920]  所以如果要去歐洲、英國旅行的話
[00:00:41.920 --> 00:00:43.680]  這可能是時機
[00:00:43.680 --> 00:00:47.040]  美元會好一點也說不定
[00:00:47.040 --> 00:00:53.280]  當我們全球的經濟突然震動的時候
[00:00:53.280 --> 00:00:59.040]  不知道大家對你個人的理財、投資方面
[00:00:59.040 --> 00:01:02.880]  會不會也造成一些震撼、不知所措
[00:01:02.880 --> 00:01:06.080]  我不知道大家有什麼反應
[00:01:06.080 --> 00:01:09.600]  不過看回美國的話
[00:01:09.600 --> 00:01:12.480]  根據Google Consumer的報告
[00:01:12.480 --> 00:01:16.800]  和另外一個叫做Bankrate.com
[00:01:16.800 --> 00:01:19.920]  兩個宿主的調查結果都差不多
[00:01:19.920 --> 00:01:21.280]  做了什麼調查結果呢
[00:01:21.280 --> 00:01:26.560]  原來發覺美國有62%的美國人
[00:01:26.560 --> 00:01:29.840]  銀行存款少於一千元
[00:01:29.840 --> 00:01:32.720]  另外事實上有21%的美國人
[00:01:32.720 --> 00:01:35.200]  根本沒有銀行存款、沒有儲蓄戶口
[00:01:35.200 --> 00:01:37.280]  會不會家裡掛一個洞藏起來呢
[00:01:37.280 --> 00:01:39.280]  不太可能
[00:01:39.280 --> 00:01:41.280]  所以你會看到
[00:01:41.280 --> 00:01:45.840]  全美國的美國人,包括我們在內
[00:01:45.840 --> 00:01:48.160]  有超過八成以上的人
[00:01:48.160 --> 00:01:51.520]  是沒有任何應急基金的emergency fund
[00:01:51.520 --> 00:01:52.400]  沒有的
[00:01:52.400 --> 00:01:55.920]  有什麼事發生,要用錢怎麼辦
[00:01:55.920 --> 00:01:57.200]  三個方法
[00:01:57.200 --> 00:01:59.200]  第一個方法,比較保守一點的
[00:01:59.200 --> 00:02:01.200]  節衣縮食,哪裡可以減級一點
[00:02:01.200 --> 00:02:03.520]  希望能夠拿到一些錢出來
[00:02:03.520 --> 00:02:06.000]  第二個呢
[00:02:06.000 --> 00:02:07.120]  plastic(塑膠)
[00:02:07.120 --> 00:02:08.160]  credit card(信用卡)
[00:02:08.160 --> 00:02:10.160]  大家應該多多少少有一兩張
[00:02:10.160 --> 00:02:11.840]  有些人當然不止
[00:02:11.840 --> 00:02:14.000]  第三樣東西,剛才有人說了
[00:02:14.000 --> 00:02:18.400]  跟親戚、朋友、同事借著來頂著
[00:02:18.400 --> 00:02:20.960]  通常就是這幾個方法
