
[00:00:00.000 --> 00:00:05.000]  其實之所以選詩篇就是因為今年我們應該一整年都會
[00:00:05.000 --> 00:00:09.000]  絕大多數的時間我們都會在晨禱一直讀詩篇
[00:00:09.000 --> 00:00:11.000]  這也是我們今年讀過的一篇詩篇
[00:00:11.000 --> 00:00:12.000]  詩篇第八篇
[00:00:12.000 --> 00:00:16.000]  你知道詩篇本身就是在舊約猶太人的手中
[00:00:16.000 --> 00:00:18.000]  他們是詩歌本
[00:00:18.000 --> 00:00:21.000]  他們是在會堂當中敬拜
[00:00:21.000 --> 00:00:23.000]  聖殿當中會堂當中敬拜上帝用的
[00:00:23.000 --> 00:00:25.000]  但是你知道嗎
[00:00:25.000 --> 00:00:27.000]  今天我們讀了第八篇
[00:00:27.000 --> 00:00:35.000]  直到第八篇才是整個詩篇當中第一首純粹的讚美
[00:00:35.000 --> 00:00:37.000]  讚美類型的詩
[00:00:37.000 --> 00:00:39.000]  第八篇是第一篇
[00:00:39.000 --> 00:00:42.000]  是大衛仰望浩瀚的星空
[00:00:42.000 --> 00:00:45.000]  看到璀璨的星星和月亮
[00:00:45.000 --> 00:00:48.000]  那他就發出了這樣的一個讚美
[00:00:48.000 --> 00:00:51.000]  那整個詩篇的佈局
[00:00:51.000 --> 00:00:53.000]  弟兄姊妹我們讀詩篇不僅僅要看內容
[00:00:53.000 --> 00:00:55.000]  我們要看到的佈局
[00:00:55.000 --> 00:00:57.000]  我說了第八篇才是讚美
[00:00:57.000 --> 00:00:59.000]  那前面後面是什麼
[00:00:59.000 --> 00:01:00.000]  你如果看的話
[00:01:00.000 --> 00:01:01.000]  詩篇第一篇第二篇
[00:01:01.000 --> 00:01:03.000]  基本上我們會歸類為
[00:01:03.000 --> 00:01:06.000]  它是整個150篇詩篇的序言
[00:01:06.000 --> 00:01:09.000]  但從第三篇開始一直到第七篇
[00:01:09.000 --> 00:01:11.000]  這是詩篇的
[00:01:11.000 --> 00:01:14.000]  這五篇叫做哀歌
[00:01:14.000 --> 00:01:18.000]  然後從第九篇到十三篇又是哀歌
[00:01:18.000 --> 00:01:22.000]  那前半段的哀歌主要是以大衛逃亡的時候
[00:01:22.000 --> 00:01:24.000]  大衛落難的時候
[00:01:24.000 --> 00:01:26.000]  大衛在苦境當中的時候
[00:01:26.000 --> 00:01:28.000]  在神面前發出的一個哀歌
[00:01:28.000 --> 00:01:30.000]  那後半段這五篇呢
[00:01:30.000 --> 00:01:34.000]  是有一群窮苦人
[00:01:34.000 --> 00:01:36.000]  貧乏人
[00:01:36.000 --> 00:01:37.000]  有這樣的一個群體
[00:01:37.000 --> 00:01:39.000]  那他們也是被逼迫的時候
[00:01:39.000 --> 00:01:41.000]  被壓迫的時候
[00:01:41.000 --> 00:01:42.000]  發出的一種哀歌
[00:01:42.000 --> 00:01:44.000]  表達他們的痛苦
[00:01:44.000 --> 00:01:46.000]  那在這中間呢
[00:01:46.000 --> 00:01:52.000]  夾著正中間就是我們剛才讀的這一篇讚美
[00:01:52.000 --> 00:01:53.000]  對上帝的讚美
[00:01:53.000 --> 00:01:54.000]  弟兄姊妹
[00:01:54.000 --> 00:01:56.000]  如果我們只讀哀歌
