
[00:00:00.000 --> 00:00:03.000]  新年的確是一個興奮的日子
[00:00:03.000 --> 00:00:04.000]  特別是農曆新年
[00:00:04.000 --> 00:00:07.000]  因為我覺得農曆新年好像真是新年一點
[00:00:07.000 --> 00:00:10.000]  因為家家戶戶有很多的準備
[00:00:10.000 --> 00:00:15.000]  過年裏面我們都還有一些習俗會進行要做的
[00:00:15.000 --> 00:00:20.000]  譬如可能大家已經開始預備一些新年的食品
[00:00:20.000 --> 00:00:25.000]  可能買一些蘿蔔糕或者做一些年糕
[00:00:25.000 --> 00:00:30.000]  或者我們買花有時候用一些水仙或者桃花等等佈置在家裏
[00:00:30.000 --> 00:00:34.000]  但是一個習俗我想大家都可能會做的
[00:00:34.000 --> 00:00:37.000]  年廿八就洗垃圾
[00:00:37.000 --> 00:00:38.000]  年廿八就是星期六
[00:00:38.000 --> 00:00:40.000]  就是昨天有沒有洗垃圾呢
[00:00:40.000 --> 00:00:43.000]  可能未必是星期廿八那天做的
[00:00:43.000 --> 00:00:45.000]  不過我這麼少星期六有空
[00:00:45.000 --> 00:00:46.000]  我星期一做
[00:00:46.000 --> 00:00:48.000]  大家都可能已經清潔家屋
[00:00:48.000 --> 00:00:50.000]  有多少人有清潔家屋的
[00:00:50.000 --> 00:00:51.000]  只有十個東西
[00:00:51.000 --> 00:00:53.000]  只有一半
[00:00:53.000 --> 00:00:58.000]  現在這個習俗開始失落了
[00:00:58.000 --> 00:01:00.000]  年廿八洗垃圾
[00:01:00.000 --> 00:01:01.000]  清潔家屋
[00:01:01.000 --> 00:01:04.000]  當然你問為什麼我們要清潔家屋呢
[00:01:04.000 --> 00:01:06.000]  可能我們都想是新年來的
[00:01:06.000 --> 00:01:08.000]  清潔家屋是習俗來的
[00:01:08.000 --> 00:01:09.000]  都是好的
[00:01:09.000 --> 00:01:11.000]  收拾一收拾去舊迎新
[00:01:11.000 --> 00:01:13.000]  但是如果我這樣說
[00:01:13.000 --> 00:01:18.000]  我覺得這個習俗其實和遠古以色列人的故事
[00:01:18.000 --> 00:01:23.000]  特別是禹節和隨交節有關係的
[00:01:23.000 --> 00:01:25.000]  有什麼關係呢
[00:01:25.000 --> 00:01:27.000]  稍後和大家看一看
[00:01:27.000 --> 00:01:28.000]  有些關係的
[00:01:28.000 --> 00:01:30.000]  有些人推敲裡面
[00:01:30.000 --> 00:01:31.000]  不過在看之前
[00:01:31.000 --> 00:01:32.000]  我想和大家看看
[00:01:32.000 --> 00:01:33.000]  究竟聖經裡面
[00:01:33.000 --> 00:01:37.000]  怎樣說這個節日的起源和內容
[00:01:37.000 --> 00:01:39.000]  我們看一看聖經
[00:01:39.000 --> 00:01:43.000]  記載在《出埃及記》第十二章
[00:01:43.000 --> 00:01:45.000]  大家記得《出埃及記》
[00:01:45.000 --> 00:01:48.000]  神的摩西行了九個神蹟
[00:01:48.000 --> 00:01:50.000]  叫法老應該放以色列人出去
[00:01:50.000 --> 00:01:51.000]  但法老都不肯
[00:01:51.000 --> 00:01:53.000]  應該要行第十個神蹟
[00:01:53.000 --> 00:01:55.000]  第十個神蹟是什麼
[00:01:55.000 --> 00:01:57.000]  是撒掌節
[00:01:57.000 --> 00:01:59.000]  在撒掌節之前
[00:01:59.000 --> 00:02:01.000]  神有番說話和以色列人說
[00:02:01.000 --> 00:02:03.000]  要他們做好準備
[00:02:03.000 --> 00:02:05.000]  這個準備是什麼呢
[00:02:05.000 --> 00:02:09.000]  以下要讀的內容提及兩個節日
[00:02:09.000 --> 00:02:10.000]  一個叫禹月節
[00:02:10.000 --> 00:02:12.000]  一個叫隨交節
[00:02:12.000 --> 00:02:14.000]  我們先看禹月節
[00:02:15.000 --> 00:02:18.000]  我們用輪流中讀的方式來讀
[00:02:18.000 --> 00:02:20.000]  單節數我讀
[00:02:20.000 --> 00:02:22.000]  雙節數請回中
[00:02:22.000 --> 00:02:24.000]  然後說在埃及地
[00:02:24.000 --> 00:02:26.000]  曉遇摩西亞倫雪
[00:02:26.000 --> 00:02:33.000]  大家看到這裡有正月出現
[00:02:33.000 --> 00:02:35.000]  第三節
[00:02:35.000 --> 00:02:38.000]  你們吩咐以色列全會中雪
[00:02:38.000 --> 00:02:39.000]  本月初十
[00:02:39.000 --> 00:02:41.000]  各人要按著傅家取羊羔
[00:02:41.000 --> 00:02:43.000]  一家一石
[00:02:45.000 --> 00:02:47.000]  第四節
[00:02:47.000 --> 00:02:49.000]  要無殘疾
[00:02:49.000 --> 00:02:51.000]  一歲的公羊羔
[00:02:51.000 --> 00:02:53.000]  你們或從連羊女取
[00:02:53.000 --> 00:02:55.000]  或從山羊女取
[00:02:55.000 --> 00:02:57.000]  都可以
[00:02:57.000 --> 00:02:59.000]  第五節
[00:02:59.000 --> 00:03:01.000]  要無殘疾
[00:03:01.000 --> 00:03:03.000]  一歲的公羊羔
[00:03:03.000 --> 00:03:05.000]  你們或從連羊女取
[00:03:05.000 --> 00:03:07.000]  或從山羊女取
[00:03:07.000 --> 00:03:09.000]  都可以
[00:03:09.000 --> 00:03:11.000]  要無殘疾
[00:03:11.000 --> 00:03:13.000]  一歲的公羊羔
[00:03:13.000 --> 00:03:15.000]  你們或從連羊女取
[00:03:15.000 --> 00:03:17.000]  國家要取點血
[00:03:17.000 --> 00:03:23.000]  塗在吃羊羔的房屋左右的門框上和門尾上
[00:03:23.000 --> 00:03:25.000]  國家要取點血
[00:03:25.000 --> 00:03:30.000]  塗在吃羊羔的房屋左右的門框上和門尾上
[00:03:30.000 --> 00:03:32.000]  不可吃生的
[00:03:32.000 --> 00:03:34.000]  斷不可水煮的
[00:03:34.000 --> 00:03:38.000]  要帶著頭腿五臟用火烤鳥
[00:03:38.000 --> 00:03:40.000]  國家要取點血
[00:03:40.000 --> 00:03:42.000]  塗在吃羊羔的房屋左右的門框上和門尾上
[00:03:42.000 --> 00:03:44.000]  不可吃生的
[00:03:44.000 --> 00:03:46.000]  你們吃羊羔
[00:03:46.000 --> 00:03:48.000]  要腰間束帶
[00:03:48.000 --> 00:03:50.000]  腳上穿鞋
[00:03:50.000 --> 00:03:52.000]  手中拿杖
[00:03:52.000 --> 00:03:53.000]  趕緊地吃
[00:03:53.000 --> 00:03:55.000]  這是耶和華的語字
[00:03:55.000 --> 00:03:57.000]  不可吃生的
[00:03:57.000 --> 00:03:59.000]  要帶著頭腿五臟用火烤鳥
[00:03:59.000 --> 00:04:01.000]  國家要取點血
[00:04:01.000 --> 00:04:03.000]  塗在吃羊羔的房屋左右的門框上和門尾上
[00:04:03.000 --> 00:04:05.000]  不可吃生的
[00:04:05.000 --> 00:04:07.000]  要帶著頭腿五臟用火烤鳥
[00:04:07.000 --> 00:04:09.000]  不可吃生的
