
[00:00:00.000 --> 00:00:05.000]  「藥」是我們時時聽的一個字
[00:00:05.000 --> 00:00:07.000]  特別你是基督徒
[00:00:07.000 --> 00:00:09.000]  你會經常聽「藥」
[00:00:09.000 --> 00:00:10.000]  甚麼「藥」呢?
[00:00:10.000 --> 00:00:11.000]  「舊藥」
[00:00:11.000 --> 00:00:12.000]  打開聖經
[00:00:12.000 --> 00:00:14.000]  這些是「舊藥」
[00:00:14.000 --> 00:00:17.000]  耶穌出生之前的聖經
[00:00:17.000 --> 00:00:19.000]  我們叫「舊藥」
[00:00:19.000 --> 00:00:22.000]  耶穌出生之後的聖經
[00:00:22.000 --> 00:00:24.000]  我們叫「新藥」
[00:00:24.000 --> 00:00:25.000]  甚麼是「新藥」?
[00:00:25.000 --> 00:00:27.000]  甚麼是「舊藥」?
[00:00:27.000 --> 00:00:31.000]  可能我沒有能夠在這個時間去講
[00:00:31.000 --> 00:00:34.000]  我們在聖經裏面有很多的「藥」
[00:00:34.000 --> 00:00:35.000]  亞當的「藥」
[00:00:35.000 --> 00:00:36.000]  羅亞的「藥」
[00:00:36.000 --> 00:00:38.000]  阿伯拉罕的「藥」
[00:00:38.000 --> 00:00:39.000]  西乃的「藥」
[00:00:39.000 --> 00:00:41.000]  大衛的「藥」
[00:00:41.000 --> 00:00:45.000]  或者你會想「藥」究竟是甚麼的意義?
[00:00:45.000 --> 00:00:49.000]  「藥」很多時候我們會去講
[00:00:49.000 --> 00:00:55.000]  但是我們有多少時候我們重視「藥」?
[00:00:55.000 --> 00:00:57.000]  我不知道小時候
[00:00:57.000 --> 00:01:00.000]  或者我們子女小時候
[00:01:00.000 --> 00:01:04.000]  你有沒有講過這個故事?
[00:01:04.000 --> 00:01:11.000]  這個故事是來告訴人知道要守藥
[00:01:11.000 --> 00:01:13.000]  這個故事很簡單
[00:01:13.000 --> 00:01:16.000]  在一個小鎮裏面有很多老鼠
[00:01:16.000 --> 00:01:19.000]  這個鎮長很煩惱
[00:01:19.000 --> 00:01:21.000]  很苦惱
[00:01:21.000 --> 00:01:24.000]  忽然間有一個穿著彩衣吹笛的人
[00:01:24.000 --> 00:01:26.000]  來找村長
[00:01:26.000 --> 00:01:28.000]  找這個鎮長
[00:01:28.000 --> 00:01:29.000]  鎮長!鎮長!
[00:01:29.000 --> 00:01:32.000]  我能夠趕走村裏面
[00:01:32.000 --> 00:01:35.000]  鎮裏面所有的老鼠
[00:01:35.000 --> 00:01:36.000]  這個鎮長說
[00:01:36.000 --> 00:01:38.000]  如果你能夠趕走
[00:01:38.000 --> 00:01:40.000]  我可以給一千磅
[00:01:40.000 --> 00:01:43.000]  你作為酬勞
[00:01:43.000 --> 00:01:45.000]  然後這個吹笛的人
[00:01:45.000 --> 00:01:48.000]  就吹一首歌
[00:01:48.000 --> 00:01:52.000]  好像軍隊進行一個曲子
[00:01:52.000 --> 00:01:57.000]  奇妙的事就發生
[00:01:57.000 --> 00:02:00.000]  在鎮上所有的老鼠
[00:02:00.000 --> 00:02:05.000]  都跟隨這個笛手的後面
[00:02:05.000 --> 00:02:07.000]  去到一條大河
[00:02:07.000 --> 00:02:10.000]  然後投河自盡
[00:02:10.000 --> 00:02:12.000]  這個吹笛的人
[00:02:12.000 --> 00:02:14.000]  就向這個鎮長
[00:02:14.000 --> 00:02:18.000]  拿他的酬勞一千英磅
[00:02:18.000 --> 00:02:21.000]  但是這個鎮長卻沒有守他的諾言
[00:02:21.000 --> 00:02:24.000]  給他一磅就打發他走了
[00:02:24.000 --> 00:02:27.000]  這個吹笛的人很失望
[00:02:27.000 --> 00:02:30.000]  然後他就吹另一首歌
