
[00:00:00.000 --> 00:00:01.560]  各位電影主媒平安
[00:00:01.560 --> 00:00:03.120]  聖經向你説話
[00:00:03.120 --> 00:00:04.720]  今天我要介紹的是
[00:00:04.720 --> 00:00:06.720]  《生命記》這本書
[00:00:06.720 --> 00:00:09.200]  這本書在希伯來文的名字
[00:00:09.200 --> 00:00:11.840]  就說「這奢話」
[00:00:11.840 --> 00:00:14.880]  今天我們中文聖經用了「生命記」
[00:00:14.880 --> 00:00:19.480]  是根據希臘文七十四譯本的名字
[00:00:19.480 --> 00:00:21.960]  重新律法
[00:00:21.960 --> 00:00:25.200]  重新命令
[00:00:25.200 --> 00:00:29.200]  摩西不僅一次、兩次、三次
[00:00:29.200 --> 00:00:34.840]  向這群百姓去講述神的誡命
[00:00:34.840 --> 00:00:37.400]  神的律法、神的條例
[00:00:37.400 --> 00:00:40.080]  所以這本書裏面可以記載了
[00:00:40.080 --> 00:00:45.040]  三篇摩西去論述律法
[00:00:45.040 --> 00:00:47.760]  去講述律法的記載
[00:00:47.760 --> 00:00:50.240]  這三篇的記載
[00:00:50.240 --> 00:00:54.640]  第一篇就由第一章一直到第四章
[00:00:54.640 --> 00:00:58.120]  是摩西起摩押平原
[00:00:58.120 --> 00:01:01.800]  向這群百姓所講的説話
[00:01:01.800 --> 00:01:06.920]  就講到你們現在要預備入迦南
[00:01:06.920 --> 00:01:12.120]  你們要記得神給你們很多的誡命
[00:01:12.120 --> 00:01:14.880]  神給你們同時有應許
[00:01:14.880 --> 00:01:18.960]  你們要謹守遵行神的話
[00:01:18.960 --> 00:01:21.560]  然後到了生命記第五章
[00:01:21.560 --> 00:01:23.440]  是再一次講述
[00:01:23.440 --> 00:01:25.200]  在河列山
[00:01:25.200 --> 00:01:30.600]  就是西乃山上面神所頒佈的十誡
[00:01:30.600 --> 00:01:34.400]  所以這是十誡的第二個版本
[00:01:34.400 --> 00:01:37.360]  記載在生命記的第五章裏面
[00:01:37.360 --> 00:01:42.120]  然後由第六章一直到第27章
[00:01:42.120 --> 00:01:46.240]  就記載摩西第二篇的講論
[00:01:46.240 --> 00:01:48.640]  在這篇講論裏面
[00:01:48.640 --> 00:01:53.200]  就講論到當你們不信服神的時候
[00:01:53.200 --> 00:01:56.120]  神是會管教你們的
[00:01:56.120 --> 00:01:59.800]  所以律法就是叫人去遵守
[00:01:59.800 --> 00:02:03.160]  去遵行神的律法
[00:02:03.160 --> 00:02:07.440]  然後第三講就由第27章
[00:02:07.440 --> 00:02:10.280]  一直到最後34章
[00:02:10.280 --> 00:02:15.280]  這裏就說神將會為以色列人做些什麽事
[00:02:15.280 --> 00:02:17.600]  神給什麽的祝福
[00:02:17.600 --> 00:02:20.760]  神給什麽的奏助給他們
[00:02:20.760 --> 00:02:23.480]  這裏有兩個的約
[00:02:23.480 --> 00:02:27.800]  27 28章是講迦南的約
[00:02:27.800 --> 00:02:32.480]  29 30章講巴勒斯坦的約
[00:02:32.480 --> 00:02:39.200]  然後32章就記載摩西作了一首歌
[00:02:39.200 --> 00:02:44.560]  33章就摩西祝福12個的支派
[00:02:44.560 --> 00:02:49.760]  然後34章就講到摩西的死
[00:02:49.760 --> 00:02:53.480]  神將祂召到去彌波山上面
[00:02:53.480 --> 00:02:56.160]  祂望見迦南地
[00:02:56.160 --> 00:02:59.000]  然後神就將摩西接去
[00:02:59.000 --> 00:03:01.600]  很美的一個記載
[00:03:01.600 --> 00:03:04.480]  特別去形容摩西的時候
[00:03:04.480 --> 00:03:06.640]  說祂到了年老
[00:03:06.640 --> 00:03:09.640]  祂的眼睦沒有昏花
[00:03:09.640 --> 00:03:13.320]  祂與神的關係是很親密
[00:03:13.320 --> 00:03:19.160]  然後摩西就吩咐祂的助手約說
[00:03:19.160 --> 00:03:21.400]  要接祂的棒
[00:03:21.400 --> 00:03:23.640]  做以色列人的領袖
[00:03:23.640 --> 00:03:28.120]  帶領祂們入迦南地
[00:03:28.120 --> 00:03:30.200]  《生命記》這本書
[00:03:30.200 --> 00:03:33.960]  可以說是一本紀念的書
[00:03:33.960 --> 00:03:36.400]  我們紀念神的律法
[00:03:36.400 --> 00:03:38.800]  我們紀念摩西的人
[00:03:38.800 --> 00:03:41.520]  我們紀念神向祂百姓
[00:03:41.520 --> 00:03:45.160]  有很多很寶貴的英雄
[00:03:45.160 --> 00:03:47.880]  這本書也都是
[00:03:47.880 --> 00:03:50.400]  給我們一個很好的提醒
[00:03:50.400 --> 00:03:52.320]  因為當耶穌
[00:03:52.320 --> 00:03:55.120]  新約四封裡面記載
[00:03:55.120 --> 00:03:59.240]  耶穌四十天在曠野被魔鬼試探
[00:03:59.240 --> 00:04:02.480]  神耶穌就用聖經的話
[00:04:02.480 --> 00:04:04.640]  去擊退魔鬼
[00:04:04.640 --> 00:04:06.560]  耶穌所用的話
[00:04:06.560 --> 00:04:09.680]  全部是引用自《生命記》
[00:04:09.680 --> 00:04:10.480]  很特別
[00:04:10.480 --> 00:04:11.840]  所以這本書
[00:04:11.840 --> 00:04:15.360]  充滿很多很寶貴的記載
