
[00:00:00.000 --> 00:00:02.000]  各位內賓 主內的弟兄姊妹平安
[00:00:02.000 --> 00:00:06.060]  感謝主我們今天有機會再聆聽神的話語
[00:00:06.060 --> 00:00:10.880]  我們會從約書亞記第8章30節提到第35節
[00:00:10.880 --> 00:00:14.660]  一同學習「同心跟隨神」這個主題
[00:00:14.660 --> 00:00:16.560]  在過去的一個月當中
[00:00:16.560 --> 00:00:21.240]  主內的弟兄姊妹和其他朋友都有機會接種疫苗
[00:00:21.240 --> 00:00:25.380]  加上社會感染的 疫情感染的情況
[00:00:25.380 --> 00:00:29.040]  和住院的數字有下降的趨勢
[00:00:30.500 --> 00:00:33.400]  在這個各樣的情況之下
[00:00:33.400 --> 00:00:38.840]  我們的社區 各樣的商鋪和學校都逐一開放
[00:00:38.840 --> 00:00:43.180]  下個星期我的兒子的學校就全面的開放了
[00:00:43.180 --> 00:00:45.540]  就算是T4C教會
[00:00:45.540 --> 00:00:50.000]  在今天都局部開始開放的步驟
[00:00:50.000 --> 00:00:54.120]  到月尾的時候就到粵語部開放了
[00:00:54.120 --> 00:00:58.120]  在這個時刻 我都感到興奮又緊張
[00:00:58.120 --> 00:01:01.840]  興奮的時候就是知道
[00:01:01.840 --> 00:01:04.440]  我們有一同敬拜神的機會
[00:01:04.440 --> 00:01:08.680]  緊張就是我們和過去一年之前
[00:01:08.680 --> 00:01:11.820]  我們的敬拜的方式
[00:01:11.820 --> 00:01:17.240]  或者是弟兄姊妹相處的情況會有所不同
[00:01:17.240 --> 00:01:21.640]  都要小心翼翼的去為了避免感染
[00:01:21.640 --> 00:01:27.520]  但是興奮就因為我們可以來到教會裡面去敬拜、讚美
[00:01:27.520 --> 00:01:31.240]  我們都想起2018年6月9日
[00:01:31.240 --> 00:01:35.600]  我們教會這個新堂開幕的時候
[00:01:35.600 --> 00:01:38.120]  這個是非常興奮的時刻
[00:01:38.120 --> 00:01:43.960]  因為我們都深想到神會透過這個地方
[00:01:43.960 --> 00:01:49.600]  這個教會成為這個地區的人的祝福
[00:01:49.600 --> 00:01:53.640]  當中圖裡面看到我們的牧師、長老
[00:01:53.640 --> 00:01:59.880]  其他會眾和我們的市長都一同去慶祝這個開幕典禮
[00:01:59.880 --> 00:02:07.320]  在聖經裡面 約書亞當他成功的過了約旦河
[00:02:07.320 --> 00:02:12.020]  進攻佔領了耶利哥城和艾城之後
[00:02:12.020 --> 00:02:16.200]  可以算是一場很大的勝利
[00:02:16.200 --> 00:02:21.800]  他們的門的迦南地、牛奶與麥芝地的門已經打開了
[00:02:21.800 --> 00:02:29.080]  他們不是繼續去喝酒或者開派對去慶祝
[00:02:29.080 --> 00:02:36.440]  反而他們邁向以巴魯山這個地方去敬拜耶和華
[00:02:36.440 --> 00:02:38.920]  去進行一個典禮
[00:02:38.920 --> 00:02:42.120]  這個就是非常特別的事情
[00:02:42.120 --> 00:02:46.960]  他們是聽從摩西在生命紀當中
[00:02:46.960 --> 00:02:52.080]  去吩咐以色列人的命令當中去進行的
[00:02:52.080 --> 00:02:57.240]  我們在這一刻都會想起我們的屬靈生命
[00:02:57.240 --> 00:03:02.120]  我們今天的經文當中 我們學習一個功課
[00:03:02.120 --> 00:03:05.920]  當我們踏上生命一個新的階段的時候
[00:03:05.920 --> 00:03:09.840]  就好像我們現在疫情又進展了
[00:03:09.840 --> 00:03:13.680]  我們怎樣去繼續向前去面對呢?
[00:03:13.680 --> 00:03:21.280]  我們存著什麼態度去走這條進入這個新的階段呢?
[00:03:21.280 --> 00:03:24.360]  我們從今天的經文當中去學習這個功課
[00:03:24.360 --> 00:03:25.680]  我們低頭祈禱
[00:03:25.680 --> 00:03:27.200]  我們天父上帝 我們感謝你
[00:03:27.200 --> 00:03:31.600]  我們感謝你幫助我們在過去一年當中
[00:03:31.600 --> 00:03:34.200]  能夠繼續去緊緊的跟隨你
