
[00:00:00.000 --> 00:00:01.500]  頂展會平安
[00:00:01.500 --> 00:00:06.700]  今天和大家分享的題目叫「勝過懷疑」
[00:00:06.700 --> 00:00:09.600]  最近看了一套電影
[00:00:09.600 --> 00:00:11.900]  名字叫「人生勝利球」
[00:00:11.900 --> 00:00:14.600]  男主角是奇蓮伊士活
[00:00:14.600 --> 00:00:16.700]  故事的內容是
[00:00:16.700 --> 00:00:20.400]  奇蓮伊士活飾演一個經驗豐富
[00:00:20.400 --> 00:00:21.900]  年紀老邁
[00:00:21.900 --> 00:00:26.500]  加上雙眼有眼疾的球譚
[00:00:26.500 --> 00:00:29.000]  什麼叫做球譚呢?
[00:00:29.100 --> 00:00:32.200]  即是香港所說的「星探」一樣
[00:00:32.200 --> 00:00:37.500]  球譚是去發掘一些有潛質的運動員
[00:00:37.500 --> 00:00:41.000]  簽他們做職業球手
[00:00:41.000 --> 00:00:45.200]  雖然這位年紀老邁的球譚
[00:00:45.200 --> 00:00:47.400]  雙目幾乎失明
[00:00:47.400 --> 00:00:50.800]  但單憑他豐富的經驗
[00:00:50.800 --> 00:00:55.900]  他可以憑著聽覺、很準確地判斷
[00:00:55.900 --> 00:00:58.700]  那位球員的技術
[00:01:00.100 --> 00:01:04.500]  所以他憑著經驗來判斷了一位
[00:01:04.500 --> 00:01:08.300]  人人都認為他是明日之星的球員
[00:01:08.300 --> 00:01:12.900]  他聽得出他的球技是有缺陷的
[00:01:12.900 --> 00:01:18.900]  他出於好意來告訴一位後輩知道
[00:01:18.900 --> 00:01:21.500]  你不值得簽這個球員
[00:01:21.500 --> 00:01:26.000]  因為他的球技沒有大家想像中那麼好
[00:01:27.100 --> 00:01:30.700]  這位後輩跟他是同行
[00:01:30.700 --> 00:01:35.500]  他因為基於跟這位前輩的情誼
[00:01:35.500 --> 00:01:39.800]  他選擇相信這位前輩所說的話
[00:01:39.800 --> 00:01:42.200]  誰知沒多久
[00:01:42.200 --> 00:01:44.300]  這位所謂有缺陷的球員
[00:01:44.300 --> 00:01:47.400]  就被這位老前輩的公司
[00:01:47.400 --> 00:01:50.100]  簽了來做一個職業球員
[00:01:50.100 --> 00:01:54.900]  當下如果你是這位後輩的時候
[00:01:55.500 --> 00:01:57.500]  你會有什麼反應呢?
[00:01:57.500 --> 00:02:04.700]  你可能很懷疑這位前輩是否存心欺騙
[00:02:04.700 --> 00:02:09.700]  你會否很快地下了一個判斷呢?
[00:02:09.700 --> 00:02:16.100]  事實上這位老前輩並沒有說謊
[00:02:16.100 --> 00:02:19.100]  他跟這位後輩說
[00:02:19.100 --> 00:02:21.100]  這位後輩聽到的時候
[00:02:21.100 --> 00:02:24.300]  他選擇相信這位老前輩
[00:02:24.300 --> 00:02:26.300]  跟他自己的公司說
[00:02:26.300 --> 00:02:29.700]  這位老前輩就不相信這位老人家的說話
