
[00:00:00.000 --> 00:00:04.560]  上個月是我來到英國的四週年
[00:00:04.560 --> 00:00:09.360]  當我回想由香港來到英國的時候
[00:00:09.360 --> 00:00:12.720]  那時心裏面充滿著期待
[00:00:12.720 --> 00:00:15.320]  期待一個新的開始
[00:00:15.320 --> 00:00:18.120]  期待有一個自由的空間
[00:00:18.120 --> 00:00:22.560]  但裏面也有不少的不安
[00:00:22.560 --> 00:00:26.640]  究竟這個地方是一個怎樣的地方呢?
[00:00:26.640 --> 00:00:28.640]  我從來沒有來過英國
[00:00:28.640 --> 00:00:32.360]  究竟是否真的溝通得到呢?
[00:00:32.360 --> 00:00:35.480]  新環境、新文化、新挑戰
[00:00:35.480 --> 00:00:37.640]  這段移居的旅程
[00:00:37.640 --> 00:00:40.560]  不單只是地理上的改變
[00:00:40.560 --> 00:00:44.840]  更加是一場內心的轉化
[00:00:44.840 --> 00:00:51.160]  我發現真正的適應不是在一些硬件裏面
[00:00:51.160 --> 00:00:57.560]  而是內心那種要重新去認識
[00:00:57.560 --> 00:01:03.240]  不同的人、不同的關係
[00:01:03.240 --> 00:01:06.160]  原來也是很不容易
[00:01:06.160 --> 00:01:11.360]  在那段日子我重新去學習認識自己
[00:01:11.360 --> 00:01:14.040]  重新去信靠神
[00:01:14.040 --> 00:01:16.240]  在陌生裏面去學習倚靠
[00:01:16.240 --> 00:01:19.760]  在孤單裏面去學習與主連結
[00:01:19.760 --> 00:01:24.080]  在掙扎裏面去學習與神更新
[00:01:24.080 --> 00:01:27.840]  這段經歷也令我深深體會信仰
[00:01:27.840 --> 00:01:30.720]  不是在講某些真理
[00:01:30.720 --> 00:01:34.240]  而是讓真理進入我們的生命裏面
[00:01:34.240 --> 00:01:38.920]  改變我們的思想、情感和行為
[00:01:38.920 --> 00:01:44.440]  今天我的講題是「在基督裏的轉化旅程」
[00:01:44.440 --> 00:01:46.440]  我不知道對你們來說
[00:01:46.440 --> 00:01:49.240]  你們的生命又轉化了沒有呢?
[00:01:49.240 --> 00:01:51.840]  這段旅程不是一條直路
[00:01:51.840 --> 00:01:56.680]  而是一場從裏面到外面的蛻變
[00:01:56.680 --> 00:02:01.000]  是一段不斷的「脫去舊我穿上新人」
[00:02:01.000 --> 00:02:03.560]  學習基督的歷程
[00:02:03.560 --> 00:02:05.360]  而這段旅程的藍圖
[00:02:05.360 --> 00:02:10.840]  正正就是記載在《已忽所書》4章17至24節
[00:02:10.840 --> 00:02:14.240]  保羅在這段經文裏面
[00:02:14.240 --> 00:02:18.440]  很清楚描繪了信仰轉化的三個階段
[00:02:18.440 --> 00:02:23.480]  怎樣去認清舊我、怎樣去學習基督
[00:02:23.480 --> 00:02:25.680]  怎樣去穿上新人
[00:02:25.680 --> 00:02:31.360]  願意今日我們一同去體會、重新反思
[00:02:31.360 --> 00:02:32.960]  重新去思想
[00:02:32.960 --> 00:02:35.680]  究竟上帝今天和我們
[00:02:35.680 --> 00:02:39.360]  是否真的轉化了我們的生命呢?
[00:02:39.360 --> 00:02:42.560]  我們先一起讀一下這幾節經文
[00:02:42.560 --> 00:02:48.680]  「姐妹讀單節,弟兄讀雙節」我們讀完這幾節經文
[00:02:48.680 --> 00:02:51.640]  「姐妹先讀十七節,一二三
[00:02:51.640 --> 00:02:56.640]  所以我這樣說,且在主裡鄭重地說
[00:02:56.640 --> 00:02:58.680]  你們行事為人
[00:02:58.680 --> 00:03:03.480]  不要再障礙幫人全虛妄的心而活」
[00:03:12.200 --> 00:03:14.440]  「既然他們已經麻木
[00:03:14.440 --> 00:03:16.240]  就放縱情慾
[00:03:16.240 --> 00:03:19.640]  貪婪地行種種污穢的事」
[00:03:19.640 --> 00:03:27.520]  「聽過他的道
[00:03:27.520 --> 00:03:29.120]  領了他的教
[00:03:29.120 --> 00:03:31.920]  因為真理就在耶穌裡」
[00:03:41.840 --> 00:03:44.920]  「你們要把自己的心自更新」
[00:03:44.920 --> 00:03:54.640]  我們一起祈禱
[00:03:54.640 --> 00:03:58.160]  主,求祢在裡面幫助我們
[00:03:58.160 --> 00:03:59.600]  幫助我們
[00:03:59.600 --> 00:04:02.560]  我們的生命很需要被祢
[00:04:02.560 --> 00:04:06.000]  去認清我們是一個怎樣的人
[00:04:06.000 --> 00:04:09.800]  我們求主祢去透過這段經文
[00:04:09.800 --> 00:04:12.120]  讓我們再一次去思想
[00:04:12.120 --> 00:04:16.440]  祢有什麼要在我們人生裡去更新我們
[00:04:16.440 --> 00:04:18.400]  要讓我們有轉化
[00:04:18.400 --> 00:04:20.880]  主,求祢在裡面去幫助我們
