
[00:00:00.000 --> 00:00:02.400]  先請每一位聽眾與心同心投靠
[00:00:02.400 --> 00:00:06.040]  先請準備讓我們聽到聲音先重新打招呼
[00:00:06.040 --> 00:00:10.960]  向父親感謝祢給我們能夠再次有生命來到天主的道路
[00:00:10.960 --> 00:00:15.040]  也同時一同來到夢想當中的教訓
[00:00:15.040 --> 00:00:20.640]  徹底使我們能夠再次在祢的說話當中重新得力
[00:00:20.640 --> 00:00:24.280]  讓我們也知道怎麼來到面對今天這個世界
[00:00:24.280 --> 00:00:27.640]  感謝祢給我們能夠有這份生命力
[00:00:27.640 --> 00:00:32.760]  讓我們能夠有這份福氣來到接受主理的真理
[00:00:32.760 --> 00:00:35.920]  我們求祢讓我們無論聽到講的
[00:00:35.920 --> 00:00:39.280]  都在心靈的引導當中重新得力
[00:00:39.280 --> 00:00:41.760]  我們達到空獨一日的明確
[00:00:41.760 --> 00:00:43.360]  阿們
[00:00:43.360 --> 00:00:48.400]  當我們被人欺負的時候
[00:00:48.400 --> 00:00:50.400]  不知道你的反應會如何呢?
[00:00:50.400 --> 00:00:55.760]  當我們被別人欺騙的時候你的反應是怎麼樣?
[00:00:55.760 --> 00:01:00.560]  如果在這個世界裏面一般人當你被欺負的時候
[00:01:00.560 --> 00:01:04.080]  反應很多時候都是報仇
[00:01:04.080 --> 00:01:09.080]  當你被別人欺負的時候你反應往往是報仇
[00:01:09.080 --> 00:01:14.160]  因為很自然的別人對你不好你就當然要以牙還牙
[00:01:14.160 --> 00:01:18.840]  當別人對你不好的時候你可能很自然地想到以牙還牙
[00:01:18.840 --> 00:01:24.200]  聽聞最近香港有一套日本劇集都是講這件事
[00:01:24.200 --> 00:01:29.600]  聽說最近香港有一套日本劇集都是講這件事
[00:01:29.600 --> 00:01:32.240]  我都忘記那套劇集叫什麼了
[00:01:32.240 --> 00:01:36.400]  什麼?《半澤直書》
[00:01:36.400 --> 00:01:40.040]  以牙還牙十倍奉還
[00:01:40.040 --> 00:01:43.560]  以牙還牙十倍奉還
[00:01:43.560 --> 00:01:45.560]  你看了嗎?
[00:01:45.560 --> 00:01:47.720]  我都是看報紙講的
[00:01:47.720 --> 00:01:50.960]  我看報紙知道這個新聞的
[00:01:50.960 --> 00:01:52.520]  這個就是世界的標準
[00:01:52.520 --> 00:01:54.720]  這個就是世界的標準
[00:01:54.720 --> 00:01:57.160]  但聖經教我們是怎麼樣呢?
[00:01:57.160 --> 00:02:00.280]  聖經教我們是怎麼樣呢?
[00:02:00.280 --> 00:02:03.280]  會不會聖經教我們當別人惡待我們的時候
[00:02:03.280 --> 00:02:06.080]  我們還想著怎樣行善呢?
[00:02:06.080 --> 00:02:09.560]  它不是說聖經教我們當別人惡待我們的時候
[00:02:09.560 --> 00:02:10.800]  我們怎麼去行善嗎?
[00:02:10.800 --> 00:02:12.840]  其實這個正正就是聖經的教導
[00:02:12.840 --> 00:02:16.400]  當別人欺負我們的時候
[00:02:16.400 --> 00:02:18.120]  當別人欺負我們的時候
[00:02:18.120 --> 00:02:20.440]  我們還要立志行善
[00:02:20.440 --> 00:02:22.560]  我們還要立志行善
[00:02:22.560 --> 00:02:24.600]  你就會說,牧師
[00:02:24.600 --> 00:02:28.120]  聖經真的有沒有搞錯?
[00:02:28.120 --> 00:02:29.360]  你可能會說牧師
[00:02:29.360 --> 00:02:31.360]  聖經是不是教導有錯誤呢?
[00:02:31.360 --> 00:02:33.600]  我們一會兒看看聖經沒有搞錯
[00:02:33.600 --> 00:02:34.880]  它怎麼搞呢?
[00:02:34.880 --> 00:02:38.360]  我們等一下進一步看聖經怎麼教導我們
[00:02:38.360 --> 00:02:40.760]  不過讓我分享一下我近日的工作
[00:02:40.760 --> 00:02:42.880]  讓我分享一下我近日的工作
[00:02:42.880 --> 00:02:46.480]  大家都知道我除了教會時辰之外
[00:02:46.480 --> 00:02:49.880]  白天也在一個機構做全天工作
[00:02:49.880 --> 00:02:54.160]  大家都知道我除了教會時辰以外
[00:02:54.160 --> 00:03:01.040]  我平常也在一個機構做全天工作
[00:03:01.040 --> 00:03:04.160]  這個機構最近有很大的人事變動
[00:03:04.160 --> 00:03:07.320]  這個機構最近有很大的人事變動
[00:03:07.320 --> 00:03:10.960]  理由只有一個,就是為了要省錢
[00:03:10.960 --> 00:03:13.840]  理由只有一個,就是要省錢
[00:03:13.840 --> 00:03:17.720]  於是就將其中兩個高層解僱了
[00:03:17.720 --> 00:03:20.400]  其實也不是兩個了,解僱了四個人
[00:03:20.400 --> 00:03:23.800]  就是將四個人解僱了
[00:03:23.800 --> 00:03:28.040]  為了省錢,他們的工作會分在其他人身上
[00:03:28.040 --> 00:03:30.880]  為了省錢,為了節省開支
[00:03:30.880 --> 00:03:34.680]  將他們的工作分擔在其他人身上
