
[00:00:00.000 --> 00:00:06.000]  今天我要用神對彝福所教會的褒貶
[00:00:06.000 --> 00:00:09.000]  來勉勵大家要興起發光
[00:00:09.000 --> 00:00:11.000]  做得勝者
[00:00:11.000 --> 00:00:15.000]  這樣子我們就可以吃生命樹的果子
[00:00:15.000 --> 00:00:17.000]  你想要吃嗎?
[00:00:17.000 --> 00:00:20.000]  感謝戰利士
[00:00:20.000 --> 00:00:23.000]  在《啟示錄》裏面一上來
[00:00:23.000 --> 00:00:28.000]  他就講到了小峽西亞的七間教會
[00:00:28.000 --> 00:00:30.000]  這實際上是在當時
[00:00:30.000 --> 00:00:32.000]  實實在在存在的
[00:00:32.000 --> 00:00:36.000]  不只七間教會中間的七間
[00:00:36.000 --> 00:00:39.000]  他是按照地理的位置他來講的
[00:00:39.000 --> 00:00:43.000]  依序是彝福所、四美拿、別加摩、推壓推拉
[00:00:43.000 --> 00:00:46.000]  沙迪教會、飛拉鐵飛教會
[00:00:46.000 --> 00:00:48.000]  還有老底家教會
[00:00:48.000 --> 00:00:50.000]  這七間
[00:00:50.000 --> 00:00:55.000]  經常說主在七燈臺中行走
[00:00:55.000 --> 00:00:58.000]  就是這七間教會
[00:00:58.000 --> 00:00:59.000]  但是我們也都知道
[00:00:59.000 --> 00:01:03.000]  當時還有幾間很有名的教會
[00:01:03.000 --> 00:01:05.000]  比如說耶路撒冷的教會
[00:01:05.000 --> 00:01:07.000]  那幾乎是總堂了
[00:01:07.000 --> 00:01:10.000]  還有哥羅西的教會等等
[00:01:10.000 --> 00:01:14.000]  為什麼老約翰在《啟示錄》裏面
[00:01:14.000 --> 00:01:18.000]  他只講這七間教會呢?
[00:01:18.000 --> 00:01:22.000]  我們又從這裏面能夠學到什麼呢?
[00:01:22.000 --> 00:01:26.000]  這跟我們興起發光、做得勝者
[00:01:26.000 --> 00:01:29.000]  又有什麼關聯呢?
[00:01:29.000 --> 00:01:30.000]  讓我們低頭禱告
[00:01:30.000 --> 00:01:32.000]  父神我們感謝祢
[00:01:32.000 --> 00:01:34.000]  我們讚美祢
[00:01:34.000 --> 00:01:36.000]  是的
[00:01:36.000 --> 00:01:37.000]  興起發光
[00:01:37.000 --> 00:01:39.000]  因為祢的光已經來到
[00:01:39.000 --> 00:01:41.000]  耶和華的榮耀
[00:01:41.000 --> 00:01:44.000]  發現照耀我們
[00:01:44.000 --> 00:01:46.000]  感謝神、讚美神
[00:01:46.000 --> 00:01:49.000]  求神保守這個講臺
[00:01:49.000 --> 00:01:52.000]  保守今天所有的時間
[00:01:52.000 --> 00:01:54.000]  一切榮耀歸給祢
[00:01:54.000 --> 00:01:57.000]  這樣禱告是奉主耶穌基督的名
[00:01:57.000 --> 00:01:58.000]  Amen
[00:01:58.000 --> 00:02:01.000]  這七間教會我剛才說了
[00:02:01.000 --> 00:02:02.000]  不止
[00:02:02.000 --> 00:02:05.000]  但是神只講這七間
[00:02:05.000 --> 00:02:09.000]  其中最主要有一個原因是說
[00:02:09.000 --> 00:02:13.000]  這其實是代表教會的七個時期
[00:02:13.000 --> 00:02:15.000]  七個時段
[00:02:15.000 --> 00:02:19.000]  耶穌基督的教會正好是第一個時段
[00:02:19.000 --> 00:02:21.000]  就是使徒時代
[00:02:21.000 --> 00:02:25.000]  這是講的是從主後33年到主後100年
[00:02:25.000 --> 00:02:27.000]  那段時間
[00:02:27.000 --> 00:02:29.000]  耶穌復活了升天了
[00:02:29.000 --> 00:02:32.000]  聖靈的工作大大的彰顯了
[00:02:32.000 --> 00:02:34.000]  聖徒的工作也是大量的彰顯了
[00:02:34.000 --> 00:02:37.000]  所以耶路撒冷教會有雅各、有彼得
[00:02:37.000 --> 00:02:39.000]  那保羅到處跑
[00:02:39.000 --> 00:02:41.000]  創建了好多的教會
[00:02:41.000 --> 00:02:44.000]  帶領了許許多多的人
[00:02:44.000 --> 00:02:46.000]  外邦人的使徒
[00:02:46.000 --> 00:02:51.000]  所以這個時候叫做使徒時代的教會
[00:02:51.000 --> 00:02:54.000]  保羅建立跟兼顧教會
[00:02:54.000 --> 00:02:58.000]  在在的彰顯了神的榮耀
[00:02:58.000 --> 00:03:01.000]  第二個時段是講的是士美拿時代
[00:03:01.000 --> 00:03:03.000]  就是講的是逼迫的死海
[00:03:03.000 --> 00:03:06.000]  這就是主後100年到300多年的時候
[00:03:06.000 --> 00:03:10.000]  因為逼迫大大的靈道
[00:03:10.000 --> 00:03:12.000]  神的子民受迫害
[00:03:12.000 --> 00:03:15.000]  神的身體受到傷害
[00:03:15.000 --> 00:03:18.000]  別加摩教會代表政權聯合的時代
[00:03:18.000 --> 00:03:22.000]  或者是與世俗聯合的時代
[00:03:22.000 --> 00:03:27.000]  推亞推拉的教會代表黑暗的時代
[00:03:27.000 --> 00:03:31.000]  沙迪教會代表更正的時代
[00:03:31.000 --> 00:03:35.000]  菲拉鐵非的教會代表復興的時代
