
[00:00:00.000 --> 00:00:02.440]  我們將會繼續看信心的系列
[00:00:02.440 --> 00:00:03.500]  看到信心
[00:00:03.500 --> 00:00:07.480]  原來信心是一個可以帶領我們穿越不同時間發生
[00:00:07.480 --> 00:00:10.200]  在我們身上的屬靈旅程
[00:00:10.200 --> 00:00:13.680]  今天想和大家分享一個和信心有關的故事
[00:00:13.680 --> 00:00:16.100]  是記載在《舊約聖經》的列王紀下
[00:00:16.100 --> 00:00:20.520]  第四章第八到第三十七節
[00:00:20.520 --> 00:00:24.900]  今天想和大家分享三件很簡單的事
[00:00:24.900 --> 00:00:28.320]  第一件事就是信心的起點
[00:00:28.320 --> 00:00:33.700]  作為信心的起點其實是為神預留一個位置
[00:00:33.700 --> 00:00:36.400]  列王紀下第四章一開始
[00:00:36.400 --> 00:00:39.000]  記載了一個貧窮寡婦的故事
[00:00:39.000 --> 00:00:41.680]  她的丈夫原本是先知的門徒
[00:00:41.680 --> 00:00:43.920]  即是以利沙先知的門徒
[00:00:43.920 --> 00:00:48.160]  但是丈夫死了之後就遺留了一大筆的債項
[00:00:48.160 --> 00:00:51.740]  債主臨門要拿他兩個兒子去當奴隸
[00:00:51.740 --> 00:00:55.720]  這位婦人就去求先知以利沙幫助她
[00:00:55.720 --> 00:00:59.120]  結果以利沙就叫她將家中剩餘的一些油
[00:00:59.120 --> 00:01:02.600]  不停地倒進拿回來的器皿裡
[00:01:02.600 --> 00:01:04.640]  原來神蹟接著就發生
[00:01:04.640 --> 00:01:06.740]  油一直在倒 一直在滿
[00:01:06.740 --> 00:01:09.660]  最後裝滿了所有器皿
[00:01:09.660 --> 00:01:12.100]  她賣了油 還清了債務
[00:01:12.100 --> 00:01:14.980]  還應該可以靠一些來養生
[00:01:14.980 --> 00:01:17.900]  某個程度上 聖經形容這一個
[00:01:17.900 --> 00:01:22.060]  是好像將她兩個兒子活過來的狀況一樣
[00:01:22.060 --> 00:01:24.300]  本來要被帶走成為奴隸
[00:01:24.300 --> 00:01:26.740]  人生應該就好像玩完了一樣
[00:01:26.740 --> 00:01:32.240]  但是神介入了之後 生命重新開始
[00:01:32.240 --> 00:01:33.620]  但很有意思的是
[00:01:33.620 --> 00:01:38.340]  聖經接著記載了另一個更長 更細緻的故事
[00:01:38.340 --> 00:01:41.400]  而這次不再是一個貧窮的寡婦
[00:01:41.400 --> 00:01:44.420]  而是一個似乎頗富有的家庭
[00:01:44.420 --> 00:01:48.260]  不再是兩個差點被帶走的兒子
[00:01:48.260 --> 00:01:52.800]  而是一個後來真是死去又復活的兒子
[00:01:52.800 --> 00:01:56.380]  現在這個故事是一個富有的婦人
[00:01:56.380 --> 00:02:00.000]  一個死而復活的孩子
[00:02:00.000 --> 00:02:04.700]  換句話說 第一個故事就好像一個序幕一樣
[00:02:04.700 --> 00:02:08.660]  窮寡婦的故事原來就是接下來這個故事的序幕
[00:02:08.660 --> 00:02:11.360]  準備我們進入一個更震撼的神蹟
[00:02:11.360 --> 00:02:14.360]  這次的主角是一位書唸的婦人
[00:02:14.360 --> 00:02:16.780]  聖經說她住在書唸這個地方
[00:02:16.780 --> 00:02:21.000]  而且她似乎是一個頗有地位 頗富裕的女人
[00:02:21.000 --> 00:02:23.680]  當神人以利沙經過這裏的時候
[00:02:23.680 --> 00:02:26.820]  她就極力挽留她入屋吃飯
[00:02:26.820 --> 00:02:30.920]  之後每逢以利沙經過都會去她家吃飯
[00:02:30.920 --> 00:02:34.780]  但事情不是那麼簡單 只是停留在吃飯
[00:02:34.780 --> 00:02:37.260]  這位婦人和丈夫商量了之後
[00:02:37.260 --> 00:02:40.380]  決定為以利沙建一個小的房間
[00:02:40.380 --> 00:02:47.820]  擺上一張床 一張椅 一張書桌 一張硬椅
[00:02:47.820 --> 00:02:51.320]  讓她每一次經過的時候都可以好好地休息下來
[00:02:51.320 --> 00:02:54.740]  弟兄姊妹 這件事其實真的一點都不簡單
[00:02:54.740 --> 00:02:57.700]  婦人不是請一餐飯那麼簡單
[00:02:57.700 --> 00:03:00.980]  而是為神預備了一個長期的空間
[00:03:00.980 --> 00:03:04.520]  而為神人預備了一個長期的空間
[00:03:04.520 --> 00:03:07.640]  聖經形容了這個空間是一個小樓
[00:03:07.640 --> 00:03:11.460]  這位婦人 這位書唸的婦人所做的
[00:03:11.460 --> 00:03:16.520]  不單只是金錢的付出 更加是一份心意
[00:03:16.520 --> 00:03:20.520]  是對神人 對上帝的一份心意
[00:03:20.520 --> 00:03:24.420]  如果仔細地讀這篇經文 你就會發現一件事
[00:03:24.420 --> 00:03:28.380]  這位婦人其實沒有什麼特別追求屬靈的事情
[00:03:28.380 --> 00:03:31.760]  她不是因為先知住在她的家
[00:03:31.760 --> 00:03:37.860]  所以她就會問很多關於屬靈問題的事的人
[00:03:37.860 --> 00:03:42.080]  她也不是因為追求屬靈到一個地步
[00:03:42.080 --> 00:03:45.100]  以利沙每次吃飯的時候就會問她聖經
[00:03:45.100 --> 00:03:47.340]  因為這些全部都在聖經裏面沒有記載的
[00:03:47.340 --> 00:03:50.180]  她甚至大概都沒有為自己去祈禱
[00:03:50.180 --> 00:03:52.700]  叫子妮莎去為她沒有兒子去祈禱
[00:03:52.700 --> 00:03:54.320]  因為經文其實提醒我們
