
[00:00:00.000 --> 00:00:01.800]  網上的弟兄姊妹
[00:00:01.800 --> 00:00:05.160]  我們主來平安
[00:00:05.160 --> 00:00:08.760]  今天和大家正道的題目
[00:00:08.760 --> 00:00:12.240]  剛好領詩的時候
[00:00:12.240 --> 00:00:14.480]  Isaac帶我們唱他
[00:00:14.480 --> 00:00:16.280]  第一句就是
[00:00:16.280 --> 00:00:19.840]  這位主能夠平靜風浪的主
[00:00:19.840 --> 00:00:21.800]  我和他沒有合作過
[00:00:21.800 --> 00:00:23.400]  剛好這首詩歌
[00:00:23.400 --> 00:00:29.560]  正是我們今天要看的經文和訊息
[00:00:29.560 --> 00:00:32.360]  我相信這段經文或題目
[00:00:32.360 --> 00:00:35.600]  對於基督徒來說是很熟悉的
[00:00:35.600 --> 00:00:38.720]  主曾經平靜風浪
[00:00:38.720 --> 00:00:39.800]  見證祂的大能
[00:00:39.800 --> 00:00:42.520]  祂能夠掌管一切
[00:00:42.520 --> 00:00:44.280]  這個很熟悉的經文是很重要的
[00:00:44.280 --> 00:00:46.120]  特別在這段時候
[00:00:46.120 --> 00:00:50.920]  我們希望再透過主給我們的話語
[00:00:50.920 --> 00:00:56.360]  和祂親自來成就這個奇妙的事情
[00:00:56.360 --> 00:00:57.960]  加添我們信心
[00:00:57.960 --> 00:01:00.000]  給予我們力量
[00:01:00.000 --> 00:01:03.240]  今天和大家看的就是《馬學福音》
[00:01:03.240 --> 00:01:07.640]  《馬學福音》第四章三十五到四十一節
[00:01:07.640 --> 00:01:10.040]  我們一同思想
[00:01:10.040 --> 00:01:13.880]  慢慢地讀出這幾節的經文
[00:01:13.880 --> 00:01:15.720]  《馬學福音》第四章三十五節
[00:01:15.720 --> 00:01:16.720]  請讀
[00:01:16.720 --> 00:01:19.080]  當那天晚上
[00:01:19.080 --> 00:01:21.680]  耶穌對門徒說
[00:01:21.680 --> 00:01:25.880]  我們到那邊去吧
[00:01:25.880 --> 00:01:28.480]  門徒離開眾人
[00:01:28.480 --> 00:01:30.840]  耶穌仍在船上
[00:01:30.840 --> 00:01:34.520]  他們就把祂一同帶去
[00:01:34.520 --> 00:01:38.480]  也有別的船和他們同行
[00:01:38.480 --> 00:01:39.720]  請大家留意
[00:01:39.720 --> 00:01:42.040]  這裡不單止是耶穌的船
[00:01:42.040 --> 00:01:44.040]  他說有別的船
[00:01:44.040 --> 00:01:46.600]  我特別選《馬學福音》這段經文
[00:01:46.600 --> 00:01:50.760]  在這裡特別說出當時的環境
[00:01:50.760 --> 00:01:51.800]  有其他的船
[00:01:51.800 --> 00:01:53.280]  坐著其他的人
[00:01:53.280 --> 00:01:54.960]  和耶穌那條船
[00:01:54.960 --> 00:01:56.520]  和門徒那條船
[00:01:56.520 --> 00:01:59.120]  一起來到渡海
[00:01:59.120 --> 00:02:00.760]  第三十七節
[00:02:00.760 --> 00:02:03.040]  忽然起了暴風
[00:02:03.040 --> 00:02:05.520]  波浪打入船內
[00:02:05.520 --> 00:02:09.440]  甚至船要滿了水
[00:02:09.440 --> 00:02:11.760]  耶穌在船尾上
[00:02:11.760 --> 00:02:14.840]  浸著枕頭睡覺
[00:02:14.840 --> 00:02:16.080]  門徒叫醒了他
[00:02:16.080 --> 00:02:17.560]  說:夫子
[00:02:17.560 --> 00:02:19.240]  我們喪命
[00:02:19.240 --> 00:02:22.240]  你不顧嗎?
[00:02:22.240 --> 00:02:24.240]  耶穌醒了
[00:02:24.240 --> 00:02:27.120]  斥責風向海說
[00:02:27.120 --> 00:02:30.320]  住了吧!靜了吧!
[00:02:30.320 --> 00:02:32.840]  風就指著
[00:02:32.840 --> 00:02:36.120]  大大地平靜了
[00:02:36.120 --> 00:02:38.240]  耶穌對他們說
[00:02:38.240 --> 00:02:40.280]  為什麼膽怯?
[00:02:40.280 --> 00:02:43.960]  你們還沒有信心嗎?
[00:02:43.960 --> 00:02:46.920]  他們就大大地懼怕
[00:02:46.920 --> 00:02:48.280]  彼此說
[00:02:48.280 --> 00:02:49.800]  這到底是誰?
[00:02:49.800 --> 00:02:56.440]  連風和海也聽從他了
[00:02:56.440 --> 00:02:57.560]  這裡結束
[00:02:57.560 --> 00:02:59.160]  認真有意思
[00:02:59.160 --> 00:03:01.640]  你留意門徒最後的反應是什麼?
[00:03:01.640 --> 00:03:05.200]  他們就大大地懼怕
