
[00:00:00.000 --> 00:00:02.000]  請我們再一次同心愛和同祈禱
[00:00:02.000 --> 00:00:04.000]  天父我們再一次感謝祢
[00:00:04.000 --> 00:00:07.000]  讓祢寶貴話語作為我們生命的指引
[00:00:07.000 --> 00:00:13.000]  求祢藉著祢的話語去提醒、勸勉、教導、挑戰、安慰我們
[00:00:13.000 --> 00:00:15.000]  求祢改變我們
[00:00:15.000 --> 00:00:16.000]  奉耶穌名求
[00:00:16.000 --> 00:00:17.000]  阿們
[00:00:17.000 --> 00:00:19.000]  今天是教會的門訓主日
[00:00:19.000 --> 00:00:25.000]  我想和大家思想提摩太后書第二章一至六節的一段經文
[00:00:25.000 --> 00:00:26.000]  非常有趣的一段經文
[00:00:26.000 --> 00:00:32.000]  相傳在教會史裏面有一個很有趣的神話故事
[00:00:32.000 --> 00:00:36.000]  當耶穌完成了祂在地上救贖的工作
[00:00:36.000 --> 00:00:38.000]  完成了祂的使命
[00:00:38.000 --> 00:00:41.000]  就是祂受死、復活、升天
[00:00:41.000 --> 00:00:43.000]  升到天上的時候
[00:00:43.000 --> 00:00:48.000]  天堂的眾天使熱烈歡迎耶穌海船而歸
[00:00:48.000 --> 00:00:50.000]  走過掃巡
[00:00:50.000 --> 00:00:54.000]  天使長加伯列正正問耶穌的問題
[00:00:54.000 --> 00:00:58.000]  「耶穌!耶穌!你在地上完成了救贖
[00:00:58.000 --> 00:01:03.000]  但你用什麼策略將福音傳給周圍的人呢?」
[00:01:03.000 --> 00:01:09.000]  耶穌回答「我呼召和訓練了十二個師徒
[00:01:09.000 --> 00:01:11.000]  其中一個出賣了我
[00:01:11.000 --> 00:01:13.000]  所以後來他們會選多一個
[00:01:13.000 --> 00:01:17.000]  我再加上保羅總共有十三個人
[00:01:17.000 --> 00:01:20.000]  就將這個福音傳遍天下」
[00:01:20.000 --> 00:01:23.000]  加伯列一聽的時候就大吃一驚
[00:01:23.000 --> 00:01:27.000]  想不通就馬上問
[00:01:27.000 --> 00:01:32.000]  「哇!耶穌!會不會太危險?風險太高
[00:01:32.000 --> 00:01:34.000]  假如這些十二個師徒偷懶
[00:01:34.000 --> 00:01:39.000]  或者變節、或者跌倒、或者死了火
[00:01:39.000 --> 00:01:42.000]  那你就死得很冤枉
[00:01:42.000 --> 00:01:46.000]  救恩就白白藏在抽屜底?」
[00:01:46.000 --> 00:01:48.000]  耶穌就這樣回答他
[00:01:48.000 --> 00:01:50.000]  「表面看來似乎危險
[00:01:50.000 --> 00:01:53.000]  但這是最有效的方式
[00:01:53.000 --> 00:01:56.000]  最有感染力的一個策略
[00:01:56.000 --> 00:02:01.000]  你想想 假如我是一個釣魚能手
[00:02:01.000 --> 00:02:05.000]  我每天可以釣四十條魚
[00:02:05.000 --> 00:02:08.000]  供所有窩福的人食用
[00:02:08.000 --> 00:02:12.000]  四十條魚給四百人吃
[00:02:12.000 --> 00:02:15.000]  你分不了多少口而已
[00:02:15.000 --> 00:02:20.000]  所以我怎樣勤力每天釣魚
[00:02:20.000 --> 00:02:22.000]  每天二十四小時釣
[00:02:22.000 --> 00:02:24.000]  都是最多釣到四十條魚
[00:02:24.000 --> 00:02:26.000]  四十條魚要養四百人
[00:02:26.000 --> 00:02:28.000]  真是不可能
[00:02:28.000 --> 00:02:31.000]  於是有個智慧的人就告訴他
