
[00:00:00.000 --> 00:00:05.000]  主要讓我們更多的來看,什麼是「愛」
[00:00:05.000 --> 00:00:08.000]  最妙的道,非凡的愛
[00:00:08.000 --> 00:00:10.000]  為什麼要定這個題目呢?
[00:00:10.000 --> 00:00:12.000]  什麼是最妙的道呢?
[00:00:12.000 --> 00:00:15.000]  保羅他在格林多前述十二章三十一節
[00:00:15.000 --> 00:00:20.000]  他就指出了,他提供一個最妙的道
[00:00:20.000 --> 00:00:22.000]  最妙的道,什麼是最妙?
[00:00:22.000 --> 00:00:26.000]  其實就是Excellent,就是非凡的意思
[00:00:26.000 --> 00:00:30.000]  那道呢,不是講道的道
[00:00:30.000 --> 00:00:32.000]  這個道呢,是道路的道
[00:00:32.000 --> 00:00:35.000]  意思就是,它是一條可以走的路
[00:00:35.000 --> 00:00:38.000]  那什麼路呢?就是愛
[00:00:38.000 --> 00:00:40.000]  所以我今天題目很簡單
[00:00:40.000 --> 00:00:44.000]  這個訊息我想大家對愛的真諦都非常的認識
[00:00:44.000 --> 00:00:47.000]  但我們需要真的是回到聖經裡面
[00:00:47.000 --> 00:00:49.000]  愛的真諦大家都唱過
[00:00:49.000 --> 00:00:53.000]  但是我們怎麼樣真的把愛活出來呢?
[00:00:53.000 --> 00:00:55.000]  讓我們一起來禱告,我們來禱告
[00:00:55.000 --> 00:00:57.000]  親愛的天父上帝,我們來到你面前
[00:00:57.000 --> 00:00:59.000]  主啊,打開你的話語
[00:00:59.000 --> 00:01:02.000]  主啊,這是我們再也熟悉不過的一段經文
[00:01:02.000 --> 00:01:07.000]  主啊,主啊,但是愛怎麼樣能夠落實在我們生命裡面呢?
[00:01:07.000 --> 00:01:10.000]  主啊,從你聖靈今天,真理的聖靈在我們當中運行
[00:01:10.000 --> 00:01:13.000]  主啊,叫我們看見你話語裡面的寶貴
[00:01:13.000 --> 00:01:15.000]  讓我們在基督耶穌裡面
[00:01:15.000 --> 00:01:19.000]  主啊,認識愛,也能夠活出愛
[00:01:19.000 --> 00:01:23.000]  更重要的是,我們享受與弟兄姊妹愛的關係
[00:01:23.000 --> 00:01:25.000]  與神的關係
[00:01:25.000 --> 00:01:29.000]  請聽我們的禱告,奉靠耶穌基督,寶貴得勝的名
[00:01:29.000 --> 00:01:31.000]  Amen
[00:01:31.000 --> 00:01:33.000]  川普總統當選了
[00:01:33.000 --> 00:01:36.000]  想問大家,如果你是他的幕僚,是他的好朋友
[00:01:36.000 --> 00:01:40.000]  你要送什麼禮物給他呢?
[00:01:40.000 --> 00:01:42.000]  聖經
[00:01:42.000 --> 00:01:46.000]  還有呢,ChairGPT跟我回答的,他真的是聖經
[00:01:46.000 --> 00:01:51.000]  我想說,哇,這個機器人學乖了
[00:01:51.000 --> 00:01:54.000]  他可能知道我常常問他有關於聖經的問題
[00:01:54.000 --> 00:01:58.000]  他竟然就回答我,送他聖經
[00:01:58.000 --> 00:02:00.000]  你們想送他什麼?
[00:02:00.000 --> 00:02:02.000]  他最缺少的是什麼?
