
[00:00:00.000 --> 00:00:06.500]  我想說,其實我們每一天由睡醒到再次睡覺
[00:00:06.500 --> 00:00:09.000]  中間可能有十多個小時
[00:00:09.000 --> 00:00:12.000]  其實這十多個小時裡
[00:00:12.000 --> 00:00:16.000]  你覺不覺得我們在接收很多訊息?
[00:00:16.000 --> 00:00:20.000]  從你一睜開眼,可能你眼睛已經看到東西
[00:00:20.000 --> 00:00:22.000]  你耳朵開始聽到東西
[00:00:22.000 --> 00:00:24.500]  然後你開始跟家人互動
[00:00:24.500 --> 00:00:29.000]  然後我們更加慣常的,很快就開始用手機
[00:00:29.000 --> 00:00:35.000]  然後就開發80個WhatsApp訊息
[00:00:35.000 --> 00:00:37.000]  聽聞80個是少的
[00:00:37.000 --> 00:00:40.000]  可能隔一晚有200多個
[00:00:40.000 --> 00:00:48.000]  我盡量保持自己這些訊息越少越好
[00:00:48.000 --> 00:00:55.000]  然後你回去可能工作,在很多不同的場所
[00:00:55.000 --> 00:00:58.000]  你會繼續接收很多訊息
[00:00:58.000 --> 00:01:03.000]  但是鄧小慧,你在這十多個小時裡
[00:01:03.000 --> 00:01:05.000]  你接收這麼多訊息
[00:01:05.000 --> 00:01:08.000]  其實你有沒有分辨過這些訊息?
[00:01:08.000 --> 00:01:11.000]  這些訊息對我們有什麼影響?
[00:01:11.000 --> 00:01:14.000]  其實他說的話是真是假?
[00:01:14.000 --> 00:01:16.000]  我不知道我們有沒有分辨
[00:01:16.000 --> 00:01:19.000]  這是第一,我想大家想一下
[00:01:19.000 --> 00:01:22.000]  第二,作為信耶穌的人
[00:01:22.000 --> 00:01:27.000]  我相信這裡九成九的人都是信耶穌
[00:01:27.000 --> 00:01:30.000]  其實我們整天裡面
[00:01:30.000 --> 00:01:36.000]  你有沒有分辨有多少訊息是主跟你說的?
[00:01:36.000 --> 00:01:38.000]  是主跟你互動中
[00:01:38.000 --> 00:01:44.000]  是祂透過某些情況、某些媒介
[00:01:44.000 --> 00:01:47.000]  去將祂的訊息告訴你
[00:01:47.000 --> 00:01:51.000]  再說,其實有多少時間
[00:01:51.000 --> 00:01:54.000]  我們在清醒的狀態裡
[00:01:54.000 --> 00:01:59.000]  我們是在尋求主的心意呢?
[00:01:59.000 --> 00:02:01.000]  這一連串的問題
[00:02:01.000 --> 00:02:03.000]  對於我們信耶穌的人來說
[00:02:03.000 --> 00:02:05.000]  我覺得是值得我們去想的
[00:02:05.000 --> 00:02:06.000]  為什麼這樣說呢?
[00:02:06.000 --> 00:02:08.000]  就是今天很想跟大家分享
[00:02:08.000 --> 00:02:13.000]  我們這一季都在說「活水湧流」
[00:02:13.000 --> 00:02:16.000]  這個「活水」當然是在說聖靈
[00:02:16.000 --> 00:02:18.000]  但是除了聖靈
[00:02:18.000 --> 00:02:20.000]  「活水湧流」在我們生命裡做什麼呢?
[00:02:20.000 --> 00:02:22.000]  就是我們要明白主的心意
