
[00:00:00.000 --> 00:00:04.600]  剛才聽到這個故事
[00:00:04.600 --> 00:00:08.800]  講到耶穌基督在伯大尼這個地方的遭遇
[00:00:08.800 --> 00:00:11.600]  就講到耶穌在伯大尼這麼一個遭遇
[00:00:11.600 --> 00:00:16.180]  如果你翻到《馬可福音》第十四章的時候
[00:00:16.180 --> 00:00:19.020]  你如果翻到《馬可福音》十四章的時候
[00:00:19.020 --> 00:00:20.680]  當這個故事完了之後
[00:00:20.680 --> 00:00:22.180]  當這個故事完了以後
[00:00:22.180 --> 00:00:26.880]  你馬上就會看到接下來馬可就講述到猶大出賣耶穌
[00:00:26.880 --> 00:00:29.380]  馬可馬上就提到猶大出賣耶穌
[00:00:29.380 --> 00:00:32.680]  和門徒和耶穌一起過這個雨節
[00:00:32.680 --> 00:00:36.400]  門徒和耶穌一同過雨夜節
[00:00:36.400 --> 00:00:39.800]  如果大家知道耶穌和門徒過雨節的地方
[00:00:39.800 --> 00:00:43.300]  如果大家知道耶穌和門徒過雨夜節的地方
[00:00:43.300 --> 00:00:44.060]  在哪裡?
[00:00:44.060 --> 00:00:45.800]  在什麼地方?
[00:00:45.800 --> 00:00:46.760]  耶路撒冷
[00:00:46.760 --> 00:00:48.060]  在耶路撒冷
[00:00:48.060 --> 00:00:50.740]  但是還沒有進入耶路撒冷之前
[00:00:50.740 --> 00:00:53.400]  耶穌停了一個地方叫伯大尼
[00:00:53.400 --> 00:00:55.100]  在沒有進入耶路撒冷之前
[00:00:55.100 --> 00:00:57.340]  祂停留了一個地方叫伯大尼
[00:00:57.340 --> 00:01:02.280]  即是說在耶穌還沒有上十字架之前
[00:01:02.280 --> 00:01:04.220]  在耶穌還沒有上十字架之前
[00:01:04.220 --> 00:01:06.920]  除了講到耶路撒冷上十字架
[00:01:06.920 --> 00:01:09.020]  除了在耶路撒冷上十字架
[00:01:09.020 --> 00:01:12.400]  祂之前是停了最後一個地方就是伯大尼
[00:01:12.400 --> 00:01:15.200]  祂停留最後一個地方稱作伯大尼
[00:01:15.200 --> 00:01:17.160]  伯大尼這個地方
[00:01:17.160 --> 00:01:19.240]  和耶路撒冷大概有多遠呢?
[00:01:19.240 --> 00:01:22.740]  大家知道伯大尼和耶路撒冷大約有多遠呢?
[00:01:22.740 --> 00:01:25.900]  大概是三個公里
[00:01:25.900 --> 00:01:27.240]  大概三公里左右
[00:01:27.240 --> 00:01:28.080]  即是很近了
[00:01:28.080 --> 00:01:29.480]  非常非常近
[00:01:29.480 --> 00:01:32.420]  不需要走路走很久都會到
[00:01:32.420 --> 00:01:34.420]  不需要走路很久就可以到
[00:01:34.420 --> 00:01:37.880]  但是耶穌偏偏祂就不走進耶路撒冷
[00:01:37.880 --> 00:01:38.960]  就停在這個地方
[00:01:38.960 --> 00:01:42.920]  耶穌就是偏偏不走進耶路撒冷
[00:01:42.920 --> 00:01:45.100]  而停留在這個地方
[00:01:45.100 --> 00:01:47.200]  因為伯大尼這個地方
[00:01:47.200 --> 00:01:49.800]  其實耶穌對這個地方很有感情
[00:01:49.800 --> 00:01:53.540]  伯大尼這個地方對耶路撒冷非常有感情
[00:01:53.540 --> 00:01:55.900]  耶穌在祂自己的家鄉是甚麼?
[00:01:55.900 --> 00:01:56.640]  拿撒勒
[00:01:56.640 --> 00:01:58.380]  祂自己的家鄉是拿撒勒
[00:01:58.380 --> 00:02:01.040]  但是拿撒勒對耶穌沒有甚麼感情
[00:02:01.040 --> 00:02:03.940]  拿撒勒對耶穌來講沒有甚麼感情
