
[00:00:00.000 --> 00:00:02.000]  平姐妹平安
[00:00:02.000 --> 00:00:06.720]  這個經文我相信大家非常熟悉
[00:00:06.720 --> 00:00:08.720]  歌詞也能唱
[00:00:08.720 --> 00:00:12.460]  非勢力 非權能
[00:00:12.460 --> 00:00:15.300]  似雪乃冚 我的靈聖師
[00:00:15.300 --> 00:00:19.220]  基本上可能由兒童的階段
[00:00:19.220 --> 00:00:24.760]  或者是由你教兒童書學的階段
[00:00:24.760 --> 00:00:29.880]  我們已經會接觸到這個故事
[00:00:29.880 --> 00:00:36.420]  這個故事繼續延伸我們嘗試從使徒行傳
[00:00:36.420 --> 00:00:40.400]  來看上帝對我們的一些提醒
[00:00:40.400 --> 00:00:45.600]  究竟這個故事是想帶出甚麼訊息呢
[00:00:45.600 --> 00:00:51.820]  如果它是一個 單單是一個神跡的彰顯
[00:00:51.820 --> 00:00:57.660]  OK 即是說 原來被聖靈充滿的使徒
[00:00:57.660 --> 00:01:02.140]  他走過街口 見到有人跛了
[00:01:02.140 --> 00:01:04.860]  供主的名 他就起來了
[00:01:04.860 --> 00:01:08.700]  那又跟我們有甚麼關係呢
[00:01:08.700 --> 00:01:11.760]  如果你說 這個經文是
[00:01:11.760 --> 00:01:15.740]  我們很熟悉的 使徒行傳一定是有講一章八節
[00:01:15.740 --> 00:01:17.740]  就是福音慢慢傳開
[00:01:17.740 --> 00:01:21.900]  這裡就是福音傳開了
[00:01:21.900 --> 00:01:27.420]  那又與我們何干呢
[00:01:27.420 --> 00:01:31.260]  我想先看看這段經文的
[00:01:31.260 --> 00:01:35.740]  大約時間的處境 或者背景
[00:01:35.740 --> 00:01:39.580]  在第一章的時候 講的那班十二使徒
[00:01:39.580 --> 00:01:42.220]  以至是中門徒 很失落 很徬徨
[00:01:42.220 --> 00:01:46.300]  跟著主的顯現 頒佈大使命 走了去
[00:01:46.300 --> 00:01:52.380]  然後他們重新選立取締的第十二使徒
[00:01:52.380 --> 00:01:55.340]  然後第二章 聖靈降臨
[00:01:55.340 --> 00:01:59.260]  他們得著很大的能力 講方言
[00:01:59.260 --> 00:02:01.820]  接著有人說他醉 醉完之後就說
[00:02:01.820 --> 00:02:04.940]  我解釋給你聽 我們不是醉 我們做甚麼呢
[00:02:04.940 --> 00:02:07.340]  那裡是第一個偉大的講章
[00:02:07.340 --> 00:02:09.420]  三千人信主 即是說
[00:02:09.420 --> 00:02:13.660]  去到第三章這個時候
[00:02:13.660 --> 00:02:19.900]  彼得已經是帶領著三千弟子
