
[00:00:00.000 --> 00:00:04.360]  今日我哋分享嘅題目係面對試探
[00:00:04.360 --> 00:00:09.240]  唔知道大家有冇聽過有啲人喺佢高峰得意嘅時候
[00:00:09.240 --> 00:00:15.000]  因為面對誘惑同埋試探然後跌倒嘅呢
[00:00:15.000 --> 00:00:17.000]  美國前總統克林頓
[00:00:17.000 --> 00:00:22.040]  佢因為同白宮嘅女實習生發生咗不當嘅關係
[00:00:22.040 --> 00:00:26.440]  佢最初嘅嘗試去否認但係最後被人揭發
[00:00:26.440 --> 00:00:29.960]  佢被控係妨礙司法公正
[00:00:29.960 --> 00:00:32.320]  雖然最後呢冇被定罪
[00:00:32.320 --> 00:00:38.480]  但佢都成為咗美國史上第二位被彈劾嘅總統
[00:00:38.480 --> 00:00:42.040]  另外呢係著名嘅高爾夫球手Tiger Woods活屎
[00:00:42.040 --> 00:00:44.920]  佢喺佢呢係事業最高峰嘅時候
[00:00:44.920 --> 00:00:49.640]  喺2009年呢因為多宗嘅婚外情被揭發
[00:00:49.640 --> 00:00:51.720]  佢嘅形象即時插水
[00:00:51.720 --> 00:00:55.440]  嗰啲贊助商呢亦都紛紛嘅撤資
[00:00:55.440 --> 00:00:58.160]  太太亦都呢同佢離婚
[00:00:58.160 --> 00:01:01.720]  佢喺度呢係要退出呢個高爾夫球界
[00:01:01.720 --> 00:01:06.040]  佢後來公開道歉同埋呢去進入療養院
[00:01:06.040 --> 00:01:09.800]  之後呢佢好努力去重建佢嘅人生
[00:01:09.800 --> 00:01:13.280]  2019年呢贏得大滿貫
[00:01:13.280 --> 00:01:15.480]  而我哋睇返我哋香港嘅新聞
[00:01:15.480 --> 00:01:18.200]  我哋都會有一啲呢發現喺新聞裏面
[00:01:18.200 --> 00:01:22.080]  有一啲人喺佢嘅工作崗位裏面受試探
[00:01:22.080 --> 00:01:24.560]  而跌倒犯罪嘅新聞
[00:01:24.560 --> 00:01:29.520]  有一位個老師佢本來呢係事業家庭非常嘅美滿
[00:01:29.520 --> 00:01:31.960]  但係因為生活嘅壓力爆煲
[00:01:31.960 --> 00:01:33.760]  佢染上咗賭癮
[00:01:33.760 --> 00:01:35.640]  而為咗還賭債呢
[00:01:35.640 --> 00:01:38.640]  佢就用誠意金嘅名義呢
[00:01:38.640 --> 00:01:41.320]  向一啲家長呃咗70幾萬
[00:01:41.320 --> 00:01:43.840]  佢身邊呢係被定罪入獄
[00:01:43.840 --> 00:01:46.360]  但係呢佢嘅丈夫對佢不離不棄
[00:01:46.360 --> 00:01:48.800]  之後呢佢努力去悔改
[00:01:48.800 --> 00:01:51.320]  公開呢去分享佢嘅經歷
[00:01:51.320 --> 00:01:55.080]  亦都呢係提醒大家要遠離賭博
[00:01:55.080 --> 00:01:58.280]  我哋都見過有一啲呢好出名嘅補習老師
[00:01:58.280 --> 00:02:02.200]  佢呢透過手機同一啲考評局嘅職員呢
[00:02:02.200 --> 00:02:06.920]  去修法呢一啲呢係問憑試嘅保密嘅試題
[00:02:06.920 --> 00:02:09.840]  而最後呢有一位好出名嘅補習老師
[00:02:09.840 --> 00:02:11.520]  同埋一位主考員呢
[00:02:11.520 --> 00:02:16.840]  被裁定串謀公職人員行為失當罪成
[00:02:16.840 --> 00:02:18.600]  今日呢我哋會一齊呢去睇
[00:02:18.600 --> 00:02:22.200]  老家福音四章一至十三節呢段嘅經文
[00:02:22.200 --> 00:02:24.120]  其實如果我哋睇完經文之前
[00:02:24.120 --> 00:02:26.760]  如果我哋記得返第三章嘅時候呢
[00:02:26.760 --> 00:02:31.280]  其實嗰度呢係講到呢係耶穌受洗嘅記載
[00:02:31.280 --> 00:02:34.680]  第三章嗰度講到當耶穌受了洗
[00:02:34.680 --> 00:02:37.760]  佢正禱告嘅時候天就開了
[00:02:37.760 --> 00:02:40.640]  聖靈降臨在他身上
[00:02:40.640 --> 00:02:41.760]  唔單止係咁喎
[00:02:41.760 --> 00:02:47.360]  仲有聲音從天上來話呢個係我嘅愛子
[00:02:47.360 --> 00:02:48.840]  我喜悅你
[00:02:48.840 --> 00:02:50.800]  呢個時候呢都可以話呢係
[00:02:50.800 --> 00:02:53.760]  耶穌生命靈命其中一個高峰呀
[00:02:53.760 --> 00:02:55.440]  佢接受完洗禮之後呢
[00:02:55.440 --> 00:02:56.880]  聖靈充滿
[00:02:56.880 --> 00:03:00.240]  並且呢係神同佢嘅關係好親密
[00:03:00.240 --> 00:03:02.480]  話呢個呢係我嘅愛子
[00:03:02.480 --> 00:03:05.880]  但當我哋鏡頭一轉去到第四章嘅時候呢
[00:03:05.880 --> 00:03:06.960]  聖經話畀我哋聽
[00:03:06.960 --> 00:03:09.360]  耶穌被聖靈充滿
[00:03:09.360 --> 00:03:11.440]  從約旦賀回來
[00:03:11.440 --> 00:03:14.160]  聖靈引佢去到曠野
[00:03:14.160 --> 00:03:18.000]  四十日受魔鬼的試探
[00:03:18.000 --> 00:03:20.960]  那些日子沒有吃什麼
[00:03:20.960 --> 00:03:22.480]  日子滿了
[00:03:22.480 --> 00:03:24.320]  他就餓了
[00:03:24.320 --> 00:03:28.840]  我哋今日呢一齊喺耶穌被試探嘅經文裏面去睇下
[00:03:28.840 --> 00:03:34.240]  究竟畀我哋嘅生命又有啲乜嘢嘅提醒呢
[00:03:34.240 --> 00:03:36.120]  今日呢分享嘅第一點
[00:03:36.120 --> 00:03:39.520]  係聖過貧乏嘅試探
[00:03:39.520 --> 00:03:42.720]  我哋一齊呢係睇路加福音第三節第四節
[00:03:42.720 --> 00:03:43.520]  我哋一齊度好唔好
[00:03:43.520 --> 00:03:44.760]  一二三
[00:03:44.760 --> 00:03:46.720]  魔鬼對佢說
[00:03:46.720 --> 00:03:49.160]  你若是神的兒子
[00:03:49.160 --> 00:03:53.320]  可以吩咐這塊石頭變為食物
