
[00:00:00.000 --> 00:00:06.800]  我不知道大家有沒有曾經落過一些很絕望的處境當中
[00:00:06.800 --> 00:00:11.300]  我曾經收過一個電郵
[00:00:11.300 --> 00:00:14.500]  是其中一個會友發給我的
[00:00:14.500 --> 00:00:18.700]  我將其中部分的內容想跟大家分享
[00:00:18.700 --> 00:00:21.700]  這裡這樣說
[00:00:21.700 --> 00:00:23.100]  Pastor Chiu
[00:00:23.100 --> 00:00:28.100]  非常感謝你和師母花時間來幫助我們
[00:00:29.100 --> 00:00:31.200]  今晚協談之後
[00:00:31.200 --> 00:00:34.000]  我有幾件事想和你分享
[00:00:34.000 --> 00:00:38.500]  Michael的說話令我感到十分十分的痛
[00:00:38.500 --> 00:00:44.400]  但你說他可能是不知道應該用什麼字眼去表達
[00:00:44.400 --> 00:00:47.400]  但我知道他是認真的
[00:00:47.400 --> 00:00:52.500]  我和你們會面之後崩潰了
[00:00:52.500 --> 00:00:58.500]  我不知道我是否可以繼續面對這個情況
[00:01:00.000 --> 00:01:02.600]  這幾年我有抑鬱症
[00:01:02.600 --> 00:01:07.700]  我覺得這個婚姻好像正在摧毀我
[00:01:07.700 --> 00:01:10.800]  我知道上帝計劃一切
[00:01:10.800 --> 00:01:14.800]  但這個關係實在令我吃不消
[00:01:14.800 --> 00:01:18.200]  我只想做個正常快樂的人
[00:01:18.200 --> 00:01:22.100]  我又非常努力地保持正常
[00:01:22.100 --> 00:01:25.300]  但是我不開心
[00:01:25.300 --> 00:01:28.700]  我真的很想擺脫這個關係
[00:01:30.000 --> 00:01:31.300]  我所聽到的是
[00:01:31.300 --> 00:01:33.300]  他會愛我
[00:01:33.300 --> 00:01:36.700]  如果我做1、2、3、4
[00:01:36.700 --> 00:01:41.100]  我知道我們都是人
[00:01:41.100 --> 00:01:43.900]  我們有人的局限
[00:01:43.900 --> 00:01:48.800]  但我不知道應該怎樣繼續前行
[00:01:48.800 --> 00:01:55.600]  我不知道我是否還可以繼續接受輔導
[00:01:55.600 --> 00:01:58.700]  請你只是為我祈禱
[00:01:59.600 --> 00:02:07.200]  我不知道這個電郵會不會引起我們當中某一些弟兄姊妹的共鳴
[00:02:07.200 --> 00:02:11.000]  因為我發覺其實今天在很多婚姻裏面
[00:02:11.000 --> 00:02:15.200]  我相信這個不是美國弟兄姊妹的專利
[00:02:15.200 --> 00:02:16.900]  無論你在哪裏
[00:02:16.900 --> 00:02:20.300]  很多人的婚姻都出現很多問題
[00:02:20.300 --> 00:02:22.500]  在我教育當中
[00:02:22.500 --> 00:02:25.200]  我要處理很多這些問題
[00:02:25.900 --> 00:02:29.400]  這是其中我正在輔導的一個姐妹
[00:02:29.400 --> 00:02:32.500]  但從她的電郵當中
[00:02:32.500 --> 00:02:33.800]  我相信你會聽到
[00:02:33.800 --> 00:02:39.000]  她對她的婚姻關係感到完全的絕望
[00:02:39.000 --> 00:02:44.700]  她發覺她不能夠繼續維持這個婚姻
[00:02:44.700 --> 00:02:51.200]  我相信對自己的婚姻關係感到絕望
[00:02:51.200 --> 00:02:55.200]  只是人生我們經歷的絕望處境當中
[00:02:55.900 --> 00:02:56.900]  其中一天
[00:02:56.900 --> 00:03:00.400]  事實上我相信我們對生活的前景
[00:03:00.400 --> 00:03:02.900]  年輕人找工作
[00:03:02.900 --> 00:03:07.300]  有很多人對生兒育女都感到絕望
[00:03:07.300 --> 00:03:09.700]  特別生兒育女在我們那邊
[00:03:09.700 --> 00:03:13.100]  很多專業的弟兄姊妹想生但不能生
[00:03:13.100 --> 00:03:16.900]  拖下一年、兩年、五年、十年、十五年
[00:03:16.900 --> 00:03:19.700]  另外有很多人我相信
[00:03:19.700 --> 00:03:23.700]  對買屋都感到絕望
[00:03:24.600 --> 00:03:30.300]  我們在三藩市剛剛才討論過這個問題
[00:03:30.300 --> 00:03:33.200]  如果弟兄姊妹要靠自己做工
[00:03:33.200 --> 00:03:34.700]  這是電視台的訪問
[00:03:34.700 --> 00:03:38.200]  靠自己做工去儲首期根本是不可能的
[00:03:38.200 --> 00:03:39.700]  除非父母幫忙
[00:03:39.700 --> 00:03:42.200]  或者你有股票上市了
[00:03:42.200 --> 00:03:43.500]  那你就可以有錢
[00:03:43.500 --> 00:03:48.000]  有機會去付下單、投款
[00:03:48.000 --> 00:03:51.100]  我剛剛下機沒多久來到香港
[00:03:52.600 --> 00:03:54.800]  那些小價樓是七百萬
[00:03:54.800 --> 00:03:58.300]  我聽到真的難以想像
[00:03:58.300 --> 00:04:00.000]  差不多一百萬美金
[00:04:00.000 --> 00:04:00.700]  大家知不知道
[00:04:00.700 --> 00:04:05.600]  在某些地方美國可以買個宮殿
[00:04:05.600 --> 00:04:08.200]  但在香港是小價樓
[00:04:08.200 --> 00:04:10.000]  七百萬以下的
[00:04:10.000 --> 00:04:12.900]  投款要二百八十萬
[00:04:12.900 --> 00:04:16.000]  很多人覺得什麼時候才能上車
[00:04:16.000 --> 00:04:19.200]  上車感到很絕望
[00:04:19.200 --> 00:04:21.400]  因為似乎是一個天文數字
[00:04:21.900 --> 00:04:25.800]  賺到的錢和樓價升幅的差距
[00:04:25.800 --> 00:04:27.600]  是越來越大
[00:04:27.600 --> 00:04:29.600]  鴻溝越來越深
[00:04:29.600 --> 00:04:33.600]  我相信我們人生當中
[00:04:33.600 --> 00:04:35.100]  無論你什麼年紀
[00:04:35.100 --> 00:04:36.900]  當然你年紀越大的話
