
[00:00:00.000 --> 00:00:03.000]  昨晚就是中秋節
[00:00:03.000 --> 00:00:07.000]  在這裡補祝大家中秋節快樂
[00:00:07.000 --> 00:00:12.000]  昨晚大家慶祝今天早上這麼早回來教會
[00:00:12.000 --> 00:00:16.000]  大家都很認真追求 都很感恩
[00:00:16.000 --> 00:00:19.000]  教會在兩年多之前
[00:00:19.000 --> 00:00:24.000]  確立了一個異象 四個使命
[00:00:24.000 --> 00:00:28.000]  大家記不記得這一個異象
[00:00:28.000 --> 00:00:32.000]  四個使命的內容是甚麼
[00:00:32.000 --> 00:00:34.000]  提一提大家 異象是甚麼
[00:00:34.000 --> 00:00:38.000]  建立生生不息的教會
[00:00:38.000 --> 00:00:44.000]  我們的使命宣言 就是一起讀不如
[00:00:44.000 --> 00:00:50.000]  優化屬靈土壤 倍增衛生門徒
[00:00:50.000 --> 00:00:56.000]  回應世界轉變 擴展主的國度
[00:00:56.000 --> 00:01:04.000]  這些不是口號 是我們教會發展的方向
[00:01:04.000 --> 00:01:06.000]  我們的牧養 我們的侍功
[00:01:06.000 --> 00:01:10.000]  都是朝著這些方向來發展
[00:01:10.000 --> 00:01:15.000]  所以我們的講壇訊息亦都會配合
[00:01:15.000 --> 00:01:21.000]  我們今年上半年的主題就是回應世界轉變
[00:01:21.000 --> 00:01:30.000]  下半年 現在已經九月 針對使命就是優化屬靈土壤
[00:01:30.000 --> 00:01:37.000]  唐主任李牧師亦都將我們講壇的訊息加以編排
[00:01:37.000 --> 00:01:40.000]  下半年我們就是講以忽所書
[00:01:40.000 --> 00:01:46.000]  他就將以忽所書每一段編排 按照主題
[00:01:46.000 --> 00:01:52.000]  我們本堂的教務同工就會按照編排講解這本書
[00:01:52.000 --> 00:01:56.000]  由於以忽所書是一本比較短的書信
[00:01:56.000 --> 00:02:02.000]  所以我們差不多每個同工一段接著一段
[00:02:02.000 --> 00:02:05.000]  連貫性都是很強的
[00:02:05.000 --> 00:02:08.000]  我不知道大家有沒有追劇
[00:02:08.000 --> 00:02:15.000]  我們看劇時就會發覺 除非你看第一集
[00:02:15.000 --> 00:02:17.000]  否則由第二集開始看
[00:02:17.000 --> 00:02:20.000]  你開始的時候都是要回帶
[00:02:20.000 --> 00:02:25.000]  總是會將上一集的最後一小部分重播
[00:02:25.000 --> 00:02:29.000]  目的就是幫助我們去記憶上一集講什麼
[00:02:29.000 --> 00:02:32.000]  有時你連續幾集這樣看
[00:02:32.000 --> 00:02:35.000]  你就會覺得那些回帶很多餘
[00:02:35.000 --> 00:02:41.000]  我希望我們聽神的說話或者看聖經
[00:02:41.000 --> 00:02:45.000]  會有一種渴望的心 追著下去
[00:02:45.000 --> 00:02:47.000]  想看看神對我們說什麼
[00:02:47.000 --> 00:02:50.000]  我希望我們都有這樣的心態
[00:02:50.000 --> 00:02:56.000]  為了幫助大家記憶上一個星期的講道訊息
[00:02:56.000 --> 00:02:58.000]  想考考大家
[00:02:58.000 --> 00:03:02.000]  記不記得上個星期哪位同工講道
[00:03:02.000 --> 00:03:09.000]  陳偉銓傳到Wilson講道的講題是什麼
[00:03:09.000 --> 00:03:11.000]  這麼厲害
[00:03:11.000 --> 00:03:14.000]  合一的群體 合二為一的群體
[00:03:14.000 --> 00:03:18.000]  主題內容是什麼 講合一
[00:03:18.000 --> 00:03:20.000]  大家都記得很清楚
[00:03:20.000 --> 00:03:23.000]  證明大家聽到很認真
[00:03:23.000 --> 00:03:26.000]  講道的人講得清楚 聽道的人也認真
[00:03:26.000 --> 00:03:28.000]  很感恩
[00:03:28.000 --> 00:03:30.000]  問了大家幾個問題
[00:03:30.000 --> 00:03:32.000]  大家可能都有少少緊張
[00:03:32.000 --> 00:03:35.000]  為了緩和大家緊張的氣氛
[00:03:35.000 --> 00:03:37.000]  我跟大家玩玩
[00:03:37.000 --> 00:03:39.000]  這個遊戲叫「爪不同」
[00:03:39.000 --> 00:03:41.000]  我相信很多人都玩過
[00:03:41.000 --> 00:03:44.000]  這裡有幾隻獅子
[00:03:44.000 --> 00:03:49.000]  看看哪隻獅子與眾不同
[00:03:49.000 --> 00:03:51.000]  厲害 右下角
