
[00:00:00.000 --> 00:00:02.000]  大英姐妹早晨
[00:00:02.000 --> 00:00:06.000]  願神的恩惠常與你們同在
[00:00:06.000 --> 00:00:14.000]  基督徒很習慣一個嚴厲的上帝
[00:00:14.000 --> 00:00:19.000]  就很不習慣一個搞笑的上帝
[00:00:19.000 --> 00:00:22.000]  如果上帝扮法官
[00:00:22.000 --> 00:00:25.000]  信徒覺得很自然
[00:00:25.000 --> 00:00:29.000]  如果上帝扮小丑
[00:00:29.000 --> 00:00:32.000]  行一步 跌兩步
[00:00:32.000 --> 00:00:35.000]  信徒就會覺得格格不入
[00:00:35.000 --> 00:00:39.000]  靈修大師盧雲寫了一本小書
[00:00:39.000 --> 00:00:43.000]  書名叫做《羅馬城的小丑戲》
[00:00:43.000 --> 00:00:45.000]  中文翻譯
[00:00:45.000 --> 00:00:48.000]  說到有一次
[00:00:48.000 --> 00:00:52.000]  盧雲住在羅馬一段較為長的時間
[00:00:52.000 --> 00:00:57.000]  在這座天主教總部所在的城市裡
[00:00:57.000 --> 00:01:00.000]  盧雲參觀了許多宏偉的教堂
[00:01:00.000 --> 00:01:03.000]  也見過許多教會的高層
[00:01:03.000 --> 00:01:09.000]  然而他就在這本小書的前言裡這樣說
[00:01:09.000 --> 00:01:11.000]  羅馬這個大城市
[00:01:11.000 --> 00:01:14.000]  就好像一個大的馬戲團
[00:01:14.000 --> 00:01:16.000]  最吸引他的
[00:01:16.000 --> 00:01:19.000]  不是那些馴獸師或者空中飛人
[00:01:19.000 --> 00:01:21.000]  而是小丑
[00:01:21.000 --> 00:01:23.000]  在這個馬戲團裡
[00:01:23.000 --> 00:01:30.000]  那些馴獸師或空中飛人
[00:01:30.000 --> 00:01:34.000]  這些人本領非常高強
[00:01:34.000 --> 00:01:43.000]  能夠不斷製造種種精神的緊張
[00:01:43.000 --> 00:01:45.000]  看著他們的表演
[00:01:45.000 --> 00:01:48.000]  嘩 好緊張 好緊張
[00:01:48.000 --> 00:01:49.000]  唯有小丑
[00:01:49.000 --> 00:01:54.000]  卻讓人在緊張之中綻放笑容
[00:01:54.000 --> 00:01:55.000]  就是這些笑容
[00:01:55.000 --> 00:02:00.000]  讓平凡的人在困局裡不失希望
[00:02:00.000 --> 00:02:03.000]  今天我們看《以斯帖記》
[00:02:03.000 --> 00:02:06.000]  基督徒習慣把《以斯帖記》
[00:02:06.000 --> 00:02:10.000]  看成一個很嚴肅的歷史作品
[00:02:10.000 --> 00:02:12.000]  但是在《希伯來聖經》裡
