
[00:00:00.000 --> 00:00:03.000]  我們祈禱,天父,我們仰望祢
[00:00:03.000 --> 00:00:08.000]  我們求祢來開我們的心指教我們
[00:00:08.000 --> 00:00:15.000]  將今日聖經所要我們聽的訊息放在我們的心裏
[00:00:15.000 --> 00:00:19.000]  求聖靈賜恩典給我們
[00:00:19.000 --> 00:00:23.000]  讓我們能夠經歷祢的恩典、祢的教導
[00:00:23.000 --> 00:00:26.000]  我們這樣祈禱奉耶穌基督的聖名
[00:00:29.000 --> 00:00:33.000]  傳道書的作者
[00:00:33.000 --> 00:00:36.000]  我們相信是索羅門
[00:00:36.000 --> 00:00:39.000]  稍後有經文會給更清楚的提示
[00:00:39.000 --> 00:00:44.000]  在書裏他自稱做傳道者
[00:00:44.000 --> 00:00:48.000]  這個傳道者一開口說話
[00:00:48.000 --> 00:00:53.000]  他馬上說人生是毫無意義的
[00:00:53.000 --> 00:00:57.000]  我們人所做的一切都是沒有價值、沒有目的的
[00:00:57.000 --> 00:01:00.000]  因為結果是徒勞無功
[00:01:00.000 --> 00:01:06.000]  又是因為結果所有人都要離去
[00:01:06.000 --> 00:01:11.000]  相比之下,這個人所住的大地
[00:01:11.000 --> 00:01:14.000]  卻是好像永遠長存一樣
[00:01:14.000 --> 00:01:17.000]  因為一代一代過去,地仍然在這裏
[00:01:17.000 --> 00:01:20.000]  任何轉變都好,地仍然在這裏
[00:01:20.000 --> 00:01:24.000]  地好像是永存
[00:01:24.000 --> 00:01:29.000]  傳道者他見到日出日落周而復始
[00:01:29.000 --> 00:01:33.000]  他見到江河的水周而復始
[00:01:33.000 --> 00:01:36.000]  不斷循環不斷流入海裏
[00:01:36.000 --> 00:01:40.000]  他見到一年四季
[00:01:40.000 --> 00:01:44.000]  氣候轉變、風向轉變、年年如是
[00:01:44.000 --> 00:01:50.000]  但是人就一去不返
[00:01:50.000 --> 00:01:56.000]  他是慨嘆人生是短暫
[00:01:56.000 --> 00:01:59.000]  他慨嘆人生是多麼不完美
[00:01:59.000 --> 00:02:01.000]  為什麼看不到盡頭呢?
[00:02:01.000 --> 00:02:04.000]  為什麼看不到地的盡頭呢?
[00:02:04.000 --> 00:02:10.000]  或者看不到大地有盡頭
[00:02:10.000 --> 00:02:14.000]  或者看到所有事情的終結
[00:02:14.000 --> 00:02:17.000]  看不到,人是很不完美
[00:02:17.000 --> 00:02:20.000]  人的能力有限
[00:02:20.000 --> 00:02:27.000]  人在世的生命有限
[00:02:27.000 --> 00:02:34.000]  背後傳道者其實渴求有永生
[00:02:34.000 --> 00:02:39.000]  但是他當時並未有神的啟示永生之道
[00:02:39.000 --> 00:02:42.000]  他不知道人的生命在耶穌基督裏
[00:02:42.000 --> 00:02:46.000]  其實是永恆的
[00:02:46.000 --> 00:02:48.000]  我問大家
[00:02:48.000 --> 00:02:50.000]  大家明不明白或者看不看到
[00:02:50.000 --> 00:02:55.000]  永恆的生命對我們人究竟有什麼意義
[00:02:55.000 --> 00:02:59.000]  究竟有多重要
[00:02:59.000 --> 00:03:03.000]  這個問題我一會兒再和大家說
[00:03:03.000 --> 00:03:05.000]  不過我先告訴大家
[00:03:05.000 --> 00:03:10.000]  永生對我們人的重要性是非常之重大
[00:03:10.000 --> 00:03:12.000]  有重大的意義
[00:03:12.000 --> 00:03:14.000]  一會兒再和大家說
[00:03:14.000 --> 00:03:20.000]  如果所羅門王知道我們所知道的永生之道
[00:03:20.000 --> 00:03:24.000]  我相信他一定會改寫這個傳道書
[00:03:24.000 --> 00:03:27.000]  他一定不會寫得那麼消極
[00:03:27.000 --> 00:03:30.000]  當然他不是完全消極
[00:03:30.000 --> 00:03:33.000]  他稍後都會提到回到神那裏
[00:03:33.000 --> 00:03:35.000]  就會成功
[00:03:35.000 --> 00:03:37.000]  另一方面
[00:03:37.000 --> 00:03:39.000]  正正因為所羅門
[00:03:39.000 --> 00:03:43.000]  他用人的角度來尋找人生意義
[00:03:43.000 --> 00:03:50.000]  這樣就會令到我們世人都能夠起共鳴
[00:03:50.000 --> 00:03:53.000]  因為他所提那些各樣的問題
[00:03:53.000 --> 00:03:58.000]  我們同樣是看到那些問題
[00:03:58.000 --> 00:04:01.000]  不過當然沒有他那麼深刻
[00:04:01.000 --> 00:04:10.000]  當所羅門所提起的人生的問題
[00:04:10.000 --> 00:04:17.000]  亦都激起我們人同樣會有一個渴求的心
[00:04:17.000 --> 00:04:21.000]  去神那裏尋找人生意義
[00:04:21.000 --> 00:04:24.000]  這樣對信了主的人
[00:04:24.000 --> 00:04:31.000]  亦都會令到我們更加珍惜我們所得到的永生
[00:04:31.000 --> 00:04:37.000]  我們所得到的永生是非常之可貴
[00:04:38.000 --> 00:04:41.000]  今日我就同大家繼續去講
[00:04:41.000 --> 00:04:49.000]  這個傳道者怎樣透過觀察個人的人生經歷
[00:04:49.000 --> 00:04:53.000]  和人類整體即是歷史方面
[00:04:53.000 --> 00:04:59.000]  即是每一個人所做的所言所行
[00:04:59.000 --> 00:05:02.000]  來去尋找人生意義
[00:05:02.000 --> 00:05:05.000]  不過經文告訴我們
[00:05:05.000 --> 00:05:09.000]  傳道者說結果他都是找不到
[00:05:09.000 --> 00:05:13.000]  結果他都是徒勞無功
[00:05:13.000 --> 00:05:17.000]  傳道者他在這個階段
[00:05:17.000 --> 00:05:26.000]  他只能夠講出那種徒勞是神安排給人的
[00:05:26.000 --> 00:05:31.000]  是給人一個極重的擔子
[00:05:31.000 --> 00:05:34.000]  但是很感謝神
