
[00:00:00.000 --> 00:00:02.920]  這本新書今年才出版
[00:00:02.920 --> 00:00:03.760]  是美國出版的
[00:00:03.760 --> 00:00:07.720]  叫《All Joy and No Fun. The Paradox of Modern Parenthood》
[00:00:07.720 --> 00:00:10.440]  暫時未有中文翻譯
[00:00:10.440 --> 00:00:12.240]  不過暫時姑且翻譯
[00:00:12.240 --> 00:00:14.760]  叫《只有喜悅,沒有樂趣》
[00:00:14.760 --> 00:00:18.720]  為人父母可憐,但又幸福
[00:00:18.720 --> 00:00:23.640]  講到新嬰兒對父母生命的影響
[00:00:23.640 --> 00:00:25.960]  這本書是講到新嬰兒對父母生命的影響
[00:00:25.960 --> 00:00:29.720]  包括婚姻、工作、生活習慣
[00:00:29.720 --> 00:00:31.720]  興趣、社交
[00:00:31.720 --> 00:00:33.640]  甚至是自我形象
[00:00:33.640 --> 00:00:39.600]  以往我們都會講到父母會模造新嬰兒的生命
[00:00:39.600 --> 00:00:42.880]  但其實新嬰兒也在模造父母的生命
[00:00:42.880 --> 00:00:46.680]  不知道各位家長同不同意
[00:00:46.680 --> 00:00:47.800]  書裏提及
[00:00:47.800 --> 00:00:49.880]  如果你要做自己的主人
[00:00:49.880 --> 00:00:53.200]  就不要做別人的父母了
[00:00:53.200 --> 00:00:55.160]  所以決定為人父母
[00:00:55.160 --> 00:00:56.960]  就要做好心理準備
[00:00:56.960 --> 00:00:58.720]  要付出代價
[00:00:58.720 --> 00:01:00.640]  要時時掛心而慮
[00:01:00.640 --> 00:01:03.400]  所謂牽腸掛肚
[00:01:03.400 --> 00:01:04.720]  另外他也提到
[00:01:04.720 --> 00:01:07.840]  為人父母會令人學懂謙卑
[00:01:07.840 --> 00:01:11.160]  因為為人父母是一個謙卑的過程
[00:01:11.160 --> 00:01:14.080]  父母會從一個很熟悉
[00:01:14.080 --> 00:01:17.240]  安書的自我中心的世界
[00:01:17.240 --> 00:01:24.720]  遷移到一個以孩子為中心的天地
[00:01:24.720 --> 00:01:26.440]  剛才主席跟我們讀出的經文
[00:01:26.440 --> 00:01:29.200]  《哥羅西書》第三章二十三節
[00:01:29.200 --> 00:01:30.520]  一上文下理
[00:01:30.520 --> 00:01:33.360]  其實是講到僕人對主人的關係
[00:01:33.360 --> 00:01:34.960]  或者僕人的工作態度
[00:01:34.960 --> 00:01:37.600]  僕人的本分
[00:01:37.600 --> 00:01:40.000]  《哥羅西書》三章二十三節
