
[00:00:00.000 --> 00:00:05.000]  今天的經文是路加福音記載的主禱文
[00:00:05.000 --> 00:00:09.000]  與馬太福音的記載大致相同
[00:00:09.000 --> 00:00:12.000]  但亦有很大不同的地方
[00:00:12.000 --> 00:00:17.000]  不同的地方是在主禱文之後的經文
[00:00:17.000 --> 00:00:23.000]  先讓我介紹今天路加福音一至十三節的分段
[00:00:23.000 --> 00:00:29.000]  第一節是門徒要求主耶穌教他們禱告
[00:00:29.000 --> 00:00:34.000]  第二至第四節的三節經文是主禱文的內容
[00:00:34.000 --> 00:00:40.000]  第五至第八節是耶穌說了一個比喻
[00:00:40.000 --> 00:00:44.000]  是鼓勵門徒要恆心禱告
[00:00:44.000 --> 00:00:51.000]  然後第九至第十節是主耶穌應許禱告的會得到應運
[00:00:51.000 --> 00:00:59.000]  十一至十三節天父說天父會將好的東西聖靈賜給向祂祈求的人
[00:00:59.000 --> 00:01:02.000]  我相信在這段經文裏
[00:01:02.000 --> 00:01:07.000]  比較難明白的是第九至第十節的應許
[00:01:07.000 --> 00:01:12.000]  所以今天的題目是「祈求的就得到?」
[00:01:12.000 --> 00:01:14.000]  後面有個問號
[00:01:14.000 --> 00:01:16.000]  是不是這樣呢?
[00:01:16.000 --> 00:01:21.000]  我們要弄清楚這是一個問題而不是一個陳述性的句子
[00:01:21.000 --> 00:01:23.000]  告訴大家「你祈求就得到」
[00:01:23.000 --> 00:01:25.000]  我沒有這樣說
[00:01:25.000 --> 00:01:27.000]  聖經是這樣說
[00:01:27.000 --> 00:01:32.000]  但是我們要了解嘗試去理解究竟耶穌在說什麼
[00:01:32.000 --> 00:01:37.000]  是不是真的無論我們祈求什麼都會得到
[00:01:37.000 --> 00:01:42.000]  我記得很多年前我們在主日下午辦國語堂的時候
[00:01:42.000 --> 00:01:47.000]  有一次有位新朋友來參加我們的崇拜
[00:01:47.000 --> 00:01:51.000]  我們崇拜完之後有聚餐和茶經
[00:01:51.000 --> 00:01:55.000]  我想當日茶經的經文是《馬太福音》第七章
[00:01:55.000 --> 00:01:58.000]  那裏同樣記載了耶穌這一句說話
[00:01:58.000 --> 00:02:01.000]  「凡祈求的就得到」
[00:02:01.000 --> 00:02:05.000]  那位新朋友看到這句說話
[00:02:05.000 --> 00:02:07.000]  他馬上問了一個問題
[00:02:07.000 --> 00:02:09.000]  「是不是真的?」
[00:02:09.000 --> 00:02:14.000]  「耶穌厲害,比王大仙更加靈驗」
[00:02:14.000 --> 00:02:18.000]  我忘記了當時怎樣回答他
[00:02:18.000 --> 00:02:20.000]  不過因為這個問題
[00:02:20.000 --> 00:02:23.000]  使我要更加仔細地思考
[00:02:23.000 --> 00:02:27.000]  究竟耶穌說的是什麼意思
[00:02:27.000 --> 00:02:32.000]  如果弟兄姊妹對這個應許都感到有些困惑
[00:02:32.000 --> 00:02:36.000]  我希望我想到的答案可以幫到你
[00:02:36.000 --> 00:02:39.000]  我們先來思考這段經文
[00:02:39.000 --> 00:02:42.000]  首章一節就是當時的場景
[00:02:42.000 --> 00:02:45.000]  耶穌在一個地方禱告
[00:02:45.000 --> 00:02:47.000]  在什麼地方我們不知道
[00:02:47.000 --> 00:02:49.000]  但是在四本福音書裏面
[00:02:49.000 --> 00:02:53.000]  我們看到路加其實很注意主耶穌的禱告
[00:02:53.000 --> 00:03:01.000]  門徒可能對耶穌的禱告有很深刻的印象
[00:03:01.000 --> 00:03:04.000]  所以這一次耶穌祈禱完之後
[00:03:04.000 --> 00:03:09.000]  門徒就要求耶穌教他們祈禱
[00:03:09.000 --> 00:03:11.000]  於是耶穌就教他們祈禱
[00:03:11.000 --> 00:03:13.000]  在第二節到第四節
[00:03:13.000 --> 00:03:15.000]  就是我們很熟悉的主禱文
[00:03:15.000 --> 00:03:20.000]  但是比我們常用的主禱文短了一點
[00:03:20.000 --> 00:03:26.000]  原因是我們經常用的主禱文是採自馬太福音
[00:03:26.000 --> 00:03:28.000]  可能有人會問
[00:03:28.000 --> 00:03:32.000]  既然都是耶穌的教導
[00:03:32.000 --> 00:03:37.000]  為什麼路加福音和馬太福音不是完全一樣呢?
[00:03:37.000 --> 00:03:38.000]  簡單來說
[00:03:38.000 --> 00:03:46.000]  其實福音書的原始資料都是從門徒的記憶裏面來的
[00:03:46.000 --> 00:03:52.000]  當時2000年前主耶穌傳到時代是沒有錄音機的
[00:03:52.000 --> 00:03:57.000]  所以內容不是直接出自耶穌的口
[00:03:57.000 --> 00:04:00.000]  而福音書是在不同的時候寫的
[00:04:00.000 --> 00:04:02.000]  最早的福音書
[00:04:02.000 --> 00:04:04.000]  很多神學家認為是馬可福音
[00:04:04.000 --> 00:04:07.000]  都已經是耶穌復活之後
[00:04:07.000 --> 00:04:09.000]  二、三十年才寫的
[00:04:09.000 --> 00:04:14.000]  故此幾本的福音書內容有些少出入
[00:04:14.000 --> 00:04:17.000]  可以說是在所難免
[00:04:17.000 --> 00:04:21.000]  但是這個不影響福音書的可信性
[00:04:21.000 --> 00:04:26.000]  反而是增加了福音書的可信性
[00:04:26.000 --> 00:04:27.000]  為什麼呢?
[00:04:27.000 --> 00:04:30.000]  有一位神學家李思敬博士
[00:04:30.000 --> 00:04:35.000]  他現在是香港中國神學研究院的院長
[00:04:35.000 --> 00:04:40.000]  不過他以前曾經在香港的廉政公署做過工
[00:04:40.000 --> 00:04:42.000]  他解釋
[00:04:42.000 --> 00:04:47.000]  他說如果有幾個人來給口供
[00:04:47.000 --> 00:04:53.000]  而幾個人的口供完全是統一口徑
[00:04:53.000 --> 00:04:54.000]  完全一致
[00:04:54.000 --> 00:04:56.000]  一點出入都沒有
[00:04:56.000 --> 00:04:59.000]  不可信
[00:04:59.000 --> 00:05:01.000]  反而是不可信
[00:05:01.000 --> 00:05:05.000]  這幾個人一定是事前夾好口供
[00:05:05.000 --> 00:05:07.000]  所以才會全部一樣
[00:05:07.000 --> 00:05:10.000]  一點漏洞都沒有
[00:05:10.000 --> 00:05:12.000]  因此在福音書上
[00:05:12.000 --> 00:05:14.000]  在同一件事件上
[00:05:14.000 --> 00:05:16.000]  有些些微的出入
[00:05:16.000 --> 00:05:17.000]  不是重點的出入
[00:05:17.000 --> 00:05:18.000]  些微的出入
[00:05:18.000 --> 00:05:22.000]  反而是增強了主要內容的可信性
[00:05:22.000 --> 00:05:26.000]  由於我們是在路加福音
[00:05:26.000 --> 00:05:29.000]  我們就思想路加在這裡想傳達的訊息
[00:05:29.000 --> 00:05:31.000]  首先我也簡單介紹一下
[00:05:31.000 --> 00:05:34.000]  在二至四節的圖文
[00:05:34.000 --> 00:05:36.000]  我們先留意一下
[00:05:36.000 --> 00:05:40.000]  觀察一下這段圖文的一些特色
[00:05:40.000 --> 00:05:43.000]  特色就是那裡的代名詞
[00:05:43.000 --> 00:05:46.000]  全部都是眾數的代名詞
[00:05:46.000 --> 00:05:48.000]  比如說你們我們
[00:05:48.000 --> 00:05:50.000]  都是眾數的代名詞
[00:05:50.000 --> 00:05:54.000]  主耶穌教會在門徒一個集體的禱告
[00:05:54.000 --> 00:05:58.000]  是最適合用來做公禱用的
[00:05:58.000 --> 00:06:00.000]  一個人祈禱的時候
[00:06:00.000 --> 00:06:03.000]  可不可以用這個祈禱文的範本呢?
[00:06:03.000 --> 00:06:05.000]  可以的
[00:06:05.000 --> 00:06:07.000]  但是我們就不要照背了
[00:06:07.000 --> 00:06:11.000]  我們要將那些眾數代名詞改為做單數
[00:06:11.000 --> 00:06:13.000]  自己祈禱的時候就不要說
[00:06:13.000 --> 00:06:14.000]  賜給我們
[00:06:14.000 --> 00:06:16.000]  用飲食饒恕我們的罪
[00:06:16.000 --> 00:06:18.000]  改一改吧
[00:06:18.000 --> 00:06:21.000]  改為賜給我每天需要的飲食
[00:06:21.000 --> 00:06:24.000]  饒恕我的罪
[00:06:24.000 --> 00:06:27.000]  然後第二節一開始的時候
[00:06:27.000 --> 00:06:30.000]  就是稱呼上帝為父親
[00:06:30.000 --> 00:06:35.000]  中文的翻譯其實比較文雅
[00:06:35.000 --> 00:06:39.000]  很多學者認為耶穌原來說的話
[00:06:39.000 --> 00:06:41.000]  是阿爸的
[00:06:41.000 --> 00:06:43.000]  直接稱呼他為阿爸
[00:06:43.000 --> 00:06:46.000]  因為耶穌當時不是說希臘話的
[00:06:46.000 --> 00:06:49.000]  他應該是說阿蘭話的
[00:06:49.000 --> 00:06:53.000]  阿蘭話叫爸爸就阿爸
[00:06:53.000 --> 00:06:57.000]  有點像我們廣東話一樣的阿爸
[00:06:57.000 --> 00:07:01.000]  阿爸是一個關係性的稱呼
[00:07:01.000 --> 00:07:04.000]  我不知道大家跟父親的關係怎麼樣
[00:07:04.000 --> 00:07:07.000]  如果你跟父親聊天的時候
[00:07:07.000 --> 00:07:09.000]  不是有爭執的時候
[00:07:09.000 --> 00:07:10.000]  叫一聲阿爸
[00:07:10.000 --> 00:07:14.000]  會不會有一種親情的感覺呢?
[00:07:14.000 --> 00:07:17.000]  作為一個人我們只有一位
