
[00:00:00.000 --> 00:00:09.600]  我相信每個人都很願意得著福氣、財富、豐裕、身體健康、家庭幸福、生活快樂
[00:00:09.600 --> 00:00:12.500]  我想每個人都很樂意得到的,是不是?
[00:00:12.500 --> 00:00:16.000]  甚至長壽,我們都很想得到
[00:00:16.000 --> 00:00:20.700]  最近日本這個厚生勞動省出了一個報告
[00:00:20.700 --> 00:00:26.200]  就是說全球平均壽命最長的壽命是多少?
[00:00:26.200 --> 00:00:30.200]  就是全球平均壽命最長
[00:00:30.200 --> 00:00:33.200]  你猜是哪個國家,或者哪個地方?
[00:00:33.200 --> 00:00:34.700]  原來我們是香港
[00:00:34.700 --> 00:00:37.700]  我有時都會想,我們香港一個這麼小的城市
[00:00:37.700 --> 00:00:40.700]  我們的空氣又這麼污濁,是不是?
[00:00:40.700 --> 00:00:44.700]  我們的地方又這麼小,地方又很細小
[00:00:44.700 --> 00:00:49.700]  香港再次成為全球男女最長壽的地區
[00:00:49.700 --> 00:00:54.700]  女士平均的壽命是87.66歲
[00:00:54.700 --> 00:00:58.700]  男士平均的壽命是81.7歲
[00:00:58.700 --> 00:01:01.700]  可能這個都是福氣
[00:01:01.700 --> 00:01:07.700]  如果我們純粹來追求這些福氣的時候
[00:01:07.700 --> 00:01:10.200]  成為我們一生追求的目標
[00:01:10.200 --> 00:01:14.700]  我想這個可能在今天我們看完經文的時候
[00:01:14.700 --> 00:01:19.200]  再一次幫我們校正一個焦點
[00:01:19.200 --> 00:01:21.700]  有人這樣說,無論祈求什麼
[00:01:21.700 --> 00:01:25.700]  只要你把它說出來
[00:01:25.700 --> 00:01:29.700]  然後相信它,然後知取
[00:01:29.700 --> 00:01:34.700]  憑信心用神的名字來宣告那樣東西是你的
[00:01:34.700 --> 00:01:38.200]  神就一定會成就的
[00:01:38.200 --> 00:01:41.200]  Name it and claim it
[00:01:41.200 --> 00:01:46.700]  有人說你播多少種子就會收多少福氣
[00:01:46.700 --> 00:01:51.200]  就是說你捐多少錢,你捐獻多少
[00:01:51.200 --> 00:01:57.200]  神一定會加倍用錢財來報答你
[00:01:57.200 --> 00:02:00.200]  這個正正就是我剛才說的
[00:02:00.200 --> 00:02:04.700]  就是健康與財富的福音
[00:02:04.700 --> 00:02:07.200]  Prosperity Gospel
[00:02:07.200 --> 00:02:10.200]  又或者有另一個名字叫成功神學
[00:02:10.200 --> 00:02:12.200]  或者成功福音
[00:02:12.200 --> 00:02:14.200]  Name it and claim it
[00:02:14.200 --> 00:02:16.700]  你說得出來,你講得出來
[00:02:16.700 --> 00:02:21.700]  你向著神,來到要的時候,神就會成就
[00:02:21.700 --> 00:02:27.200]  又或者有一個名詞叫播種信心神學
