
[00:00:00.000 --> 00:00:05.200]  (主持人:請你讀一次我們今年的教會主題好嗎)
[00:00:05.200 --> 00:00:11.000]  (主持人:剛強壯膽 守主導 擴張警戒 顯大能)
[00:00:11.000 --> 00:00:16.300]  (主持人:上半年我們說 剛強壯膽是一個較容易講的題目來的)
[00:00:16.300 --> 00:00:20.100]  (主持人:為甚麼這樣講呢 因為在我講的較容易的意思)
[00:00:20.100 --> 00:00:22.500]  (主持人:不是我講得難 還是易)
[00:00:22.500 --> 00:00:25.500]  (主持人:而是在弟兄姊妹心靈裏面 你會覺得)
[00:00:25.500 --> 00:00:28.500]  (主持人:剛強壯膽是我的需要來的)
[00:00:28.500 --> 00:00:32.700]  (主持人:但進入到下半年我們講擴張警戒的時候)
[00:00:32.700 --> 00:00:35.000]  (主持人:你就會覺得有所抗拒了)
[00:00:35.000 --> 00:00:37.000]  (主持人:為甚麼呢 大部份人會覺得)
[00:00:37.000 --> 00:00:41.500]  (主持人:牧師我安定繁榮就可以了 是不是)
[00:00:41.500 --> 00:00:43.800]  (主持人:我在青衣村有個單位)
[00:00:43.800 --> 00:00:47.000]  (主持人:有時間買下送 然後落街行下街)
[00:00:47.000 --> 00:00:51.000]  (主持人:子女又聽話 生了個孫出來又乖)
[00:00:51.000 --> 00:00:53.000]  (主持人:這樣就OK的了)
[00:00:53.000 --> 00:00:57.000]  (主持人:我加薪每年都不期望高的)
[00:00:57.000 --> 00:00:59.500]  (主持人:加5%就很理想了)
[00:00:59.500 --> 00:01:02.500]  (主持人:我銀行的戶口)
[00:01:02.500 --> 00:01:05.000]  (主持人:總言之每個月有少少結餘在)
[00:01:05.000 --> 00:01:08.500]  (主持人:夠我洗 夠我病 看醫生OK的了)
[00:01:08.500 --> 00:01:12.000]  (主持人:擴張警戒這些事 我沒那麼大野心)
[00:01:12.000 --> 00:01:16.000]  (主持人:我是很安份的人 大部份基督徒是這樣想的)
[00:01:16.000 --> 00:01:21.000]  (主持人:所以下半年這個題目是相對難講的原因)
[00:01:21.000 --> 00:01:25.000]  (主持人:因為大部份我心靈裏面是抗拒這個題目的)
[00:01:25.000 --> 00:01:29.000]  (主持人:我的頭腦還在聽 但我心是抗拒的)
[00:01:29.000 --> 00:01:32.000]  (主持人:這個才恐怖 人可以同時間進行這樣的事)
[00:01:32.000 --> 00:01:36.000]  (主持人:第二 我發覺這個世代)
[00:01:36.000 --> 00:01:39.000]  (主持人:可能我估計太長了)
[00:01:39.000 --> 00:01:42.500]  (主持人:可能我講到的生涯 過多五年都不能講了)
[00:01:42.500 --> 00:01:45.000]  (主持人:因為我發覺這個世代的人)
[00:01:45.000 --> 00:01:48.000]  (主持人:跟我們的距離實在太遠了)
[00:01:48.000 --> 00:01:51.000]  (主持人:因為每一個人都有自己的小宇宙)
[00:01:51.000 --> 00:01:53.000]  (主持人:每一個人都有自己的定義)
[00:01:53.000 --> 00:01:57.000]  (主持人:每一個人都很自私地去看他自己要看的東西)
[00:01:57.000 --> 00:01:59.000]  (主持人:包括基督徒)
[00:01:59.000 --> 00:02:02.500]  (主持人:所以現在不要只是聽他 因為他是基督徒)
[00:02:02.500 --> 00:02:05.500]  (主持人:因為他是信徒 你就聽他說話)
[00:02:05.500 --> 00:02:10.000]  (主持人:基督徒和非基督徒現在基本上是沒有分別的)
[00:02:10.000 --> 00:02:12.500]  (主持人:每一天都是看動新聞大)
[00:02:12.500 --> 00:02:17.000]  (主持人:他們的價值觀是動新聞洗了他們的腦)
[00:02:17.000 --> 00:02:19.000]  (主持人:動新聞講的東西就是答案)
[00:02:19.000 --> 00:02:22.500]  (主持人:動新聞所提倡的東西就是理想)
[00:02:22.500 --> 00:02:28.500]  (主持人:跟創世紀吃了禁果的結果是沒有分別的)
[00:02:28.500 --> 00:02:32.000]  (主持人:但是我們要看 如果要擴張境界的話)
[00:02:32.000 --> 00:02:36.000]  (主持人:牧師你講的會不會跟我心裡想的不一樣呢)
[00:02:36.000 --> 00:02:41.000]  (主持人:無論是信徒和非信徒 都有一種叫做野心)
[00:02:41.000 --> 00:02:44.000]  (主持人:有一種擴張境界是來自野心的)
[00:02:44.000 --> 00:02:48.000]  (主持人:來自野心的和非來自野心的分別在哪裡呢)
[00:02:48.000 --> 00:02:50.000]  (主持人:不是在結果那裡)
[00:02:50.000 --> 00:02:54.000]  (主持人:因為來自野心的擴張境界和來自上帝旨意的擴張境界)
[00:02:54.000 --> 00:02:57.000]  (主持人:結果都可以是成功的)
[00:02:57.000 --> 00:03:01.000]  (主持人:所以不是在結果那裡 在哪裡可以看得到呢)
[00:03:01.000 --> 00:03:04.500]  (主持人:基本上可以這樣講 又不是說完全不是一個結果)
[00:03:04.500 --> 00:03:08.000]  (主持人:但是原則上好像不是很是的)
[00:03:08.000 --> 00:03:14.500]  (主持人:我們分到的 人的野心的擴張境界是來自私慾的)
[00:03:14.500 --> 00:03:17.000]  (主持人:是我個人想的)
[00:03:17.000 --> 00:03:21.500]  (主持人:第二 使用的過程 方法的過程裡面)
[00:03:21.500 --> 00:03:25.500]  (主持人:最容易分到是來自人的野心呢)
[00:03:25.500 --> 00:03:28.000]  (主持人:還是出自上帝的旨意呢)
