
[00:00:00.000 --> 00:00:05.360]  戴英姿們,我不知道你們有沒有玩過這個遊戲
[00:00:05.360 --> 00:00:07.720]  叫做電腦遊戲
[00:00:07.720 --> 00:00:11.400]  我相信有不少人玩過,對吧?
[00:00:11.400 --> 00:00:14.240]  其實玩法很簡單
[00:00:14.240 --> 00:00:20.000]  那裏有一支棍,前面有一個銅圈
[00:00:20.000 --> 00:00:27.520]  你要做的就是將那個銅圈從一邊帶到另一邊
[00:00:28.200 --> 00:00:30.920]  到達終點就叫做贏
[00:00:30.920 --> 00:00:35.400]  當然,當中還有一個條件
[00:00:35.400 --> 00:00:40.640]  就是你不能夠碰到中間那條銅線,對吧?
[00:00:40.640 --> 00:00:49.400]  當你碰到的時候,可能會有亮燈,可能會有響聲,那就輸了
[00:00:53.160 --> 00:01:01.720]  如果你玩過,我想問一下,有什麼秘訣可以令你可以很順利地從一邊到另一邊?
[00:01:01.720 --> 00:01:07.720]  第一,就是你要知道你去哪裏,有些很複雜,這個非常簡單
[00:01:07.720 --> 00:01:14.280]  第二,就是在過程裏面,轉彎位你就要留意,對吧?
[00:01:14.280 --> 00:01:19.080]  就是要小心一點,對不對?可能要動得慢一點
[00:01:19.960 --> 00:01:26.120]  第三,不要手震,對不對?手震的話,基本上你就玩不到了
[00:01:26.120 --> 00:01:34.040]  你要很專注,不要手震,那麼成功的機會就大一點
[00:01:34.040 --> 00:01:41.160]  我想說,其實作為門徒,我們的信仰生命都是一樣的
[00:01:41.160 --> 00:01:46.760]  我們很需要知道我們去哪裏,我們有個目標是什麼
[00:01:47.560 --> 00:01:55.160]  在這個過程裏面,其實經歷信仰是很真實的
[00:01:55.160 --> 00:02:05.320]  我們需要專注留心,究竟這位主耶穌怎樣帶領著我們前行
[00:02:05.320 --> 00:02:17.000]  以致無論裏面或順或逆,我們都能夠經過,能夠走完我們人生的路程
[00:02:17.640 --> 00:02:18.840]  直至見主面
[00:02:18.840 --> 00:02:24.280]  我今天和大家分享這段經文很短的
[00:02:24.280 --> 00:02:28.920]  約翰福音14章1至3節,只有3節那麼多
[00:02:28.920 --> 00:02:33.560]  開始之前,我也想請大家和我一起讀一讀它
[00:02:33.560 --> 00:02:35.000]  好,預備起
[00:02:35.000 --> 00:02:40.120]  你們心裏不要憂愁,你們信神也當信我
[00:02:40.120 --> 00:02:43.560]  在我父的家裏有許多住處
[00:02:44.120 --> 00:02:51.320]  若是沒有,我就早已告訴你們了,我去原是為你們預備地方去
[00:02:51.320 --> 00:02:58.120]  我若去為你們預備了地方,就必在來接你們到我哪裏去
[00:02:58.120 --> 00:03:01.880]  我在哪裏,叫你們也在哪裏
[00:03:01.880 --> 00:03:10.520]  有人說14章離開主耶穌上十字架只有幾個小時
[00:03:11.000 --> 00:03:15.320]  很短的,如果我們看回前的那麼多
[00:03:15.320 --> 00:03:18.760]  第13章其實是講述甚麼呢?
[00:03:18.760 --> 00:03:25.000]  就是技術島主耶穌為門徒洗腳,可能大家有印象這個篇段
[00:03:25.000 --> 00:03:29.880]  然後他預言自己將要被賣
[00:03:29.880 --> 00:03:39.720]  在這個情況下,他當然說要離開他們
[00:03:40.440 --> 00:03:42.760]  這就是第13章,第33節
