
[00:00:00.000 --> 00:00:02.000]  各位老兄姊妹早晨
[00:00:02.000 --> 00:00:08.000]  很高興能夠和大家繼續思想聖經神的話語
[00:00:08.000 --> 00:00:13.000]  今天講到這個喜樂由你創已經是第三次講
[00:00:13.000 --> 00:00:16.000]  我無意再有第四第五次講
[00:00:16.000 --> 00:00:20.000]  不過考慮會遲些有一個主一學班
[00:00:20.000 --> 00:00:29.000]  我們就會將所有筆記裏面的經文和大家一一分享
[00:00:29.000 --> 00:00:34.000]  我發覺講到如果有聖經講就沒有問題
[00:00:34.000 --> 00:00:40.000]  但如果純粹看書思考怎樣講其實對我來說就很辛苦
[00:00:40.000 --> 00:00:46.000]  所以當有神的話語在看著神的話語去分享訊息的時候
[00:00:46.000 --> 00:00:49.000]  我覺得是真的很開心很喜樂
[00:00:49.000 --> 00:00:54.000]  這個又是我一個很開心快樂歡欣喜樂
[00:00:54.000 --> 00:00:59.000]  總之你用什麼形容詞都好其實時刻來的
[00:00:59.000 --> 00:01:02.000]  大家手裏面我呈現一個副頁
[00:01:02.000 --> 00:01:06.000]  是一個A4紙白色的副頁底面印了
[00:01:06.000 --> 00:01:10.000]  其實應該存份不止這麼少
[00:01:10.000 --> 00:01:13.000]  但我已經派過兩次存份給大家
[00:01:13.000 --> 00:01:16.000]  所以今日我就選擇是一個選擇來的
[00:01:16.000 --> 00:01:19.000]  就不派存份只是印第一版和最後的版
[00:01:19.000 --> 00:01:25.000]  亦因為今日想和大家分享的主要是在最後的版和第一版
[00:01:25.000 --> 00:01:29.000]  首先我想和大家一同去看一看這段經文
[00:01:29.000 --> 00:01:32.000]  這一個副頁的最後那部份先
[00:01:32.000 --> 00:01:33.000]  最後結語先
[00:01:33.000 --> 00:01:38.000]  結語之前的東西現在去到第69點
[00:01:38.000 --> 00:01:42.000]  第69點就是為主而作為主而活
[00:01:42.000 --> 00:01:44.000]  但這個不是最後一點
[00:01:44.000 --> 00:01:51.000]  我會知道我亦知道會繼續有更多經文和大家去分享
[00:01:51.000 --> 00:01:53.000]  首先我們看一看這個結語
[00:01:53.000 --> 00:01:56.000]  可能大家讀完今日讀經
[00:01:56.000 --> 00:01:57.000]  你有少少奇怪
[00:01:57.000 --> 00:02:04.000]  讀這幾節聖經和喜樂由你創和喜樂有什麼關係呢
[00:02:04.000 --> 00:02:08.000]  這個正正是我要和大家去分享解釋的原因
[00:02:08.000 --> 00:02:13.000]  大家看到這個經文是三章十一節和第十四節
[00:02:13.000 --> 00:02:17.000]  首先大家會看到在這裏聖經這樣說
[00:02:17.000 --> 00:02:22.000]  神做萬物神是創造宇宙萬物那一位
[00:02:22.000 --> 00:02:26.000]  這個是很基礎基礎重要的真理
[00:02:26.000 --> 00:02:31.000]  所以我們的聖經第一章第一節創世的第一章第一節是什麼
[00:02:31.000 --> 00:02:34.000]  就是起初神創造天地
[00:02:34.000 --> 00:02:37.000]  起初神創造天地
[00:02:37.000 --> 00:02:44.000]  因為整卷聖經裏面神是透過他的摩西亦是他的代言人
[00:02:44.000 --> 00:02:45.000]  亦是一個先知
