
[00:00:00.000 --> 00:00:10.000]  我今日要同大家講的題目就是叫做最後的出路
[00:00:10.000 --> 00:00:18.000]  那個經文就是路加福音第十八章九到十四節
[00:00:18.000 --> 00:00:27.000]  是大家相當熟悉的法利塞人和瑞利在聖殿的禱告
[00:00:27.000 --> 00:00:31.000]  這個比喻
[00:00:31.000 --> 00:00:36.000]  找到的請聽我讀出來
[00:00:36.000 --> 00:00:40.000]  耶穌向那些仗著自己是義人
[00:00:40.000 --> 00:00:44.000]  藐視別人的設一個比喻
[00:00:44.000 --> 00:00:48.000]  說有兩個人上殿裡去禱告
[00:00:48.000 --> 00:00:53.000]  一個是法利塞人一個是瑞利
[00:00:53.000 --> 00:00:58.000]  法利塞人站著自言自語的禱告說
[00:00:58.000 --> 00:01:05.000]  神啊我感謝你我不像別人勒索不義奸淫
[00:01:05.000 --> 00:01:07.000]  也不像這個瑞利
[00:01:07.000 --> 00:01:11.000]  我一個禮拜禁食兩次
[00:01:11.000 --> 00:01:15.000]  凡我所得的都捐上十分之一
[00:01:15.000 --> 00:01:18.000]  那瑞利遠遠的站著
[00:01:18.000 --> 00:01:23.000]  連舉目望天也不敢指隨著空說
[00:01:23.000 --> 00:01:27.000]  神啊開恩可憐我這個罪人
[00:01:27.000 --> 00:01:28.000]  我告訴你們
[00:01:28.000 --> 00:01:33.000]  這人回家去比那人倒算為二了
[00:01:33.000 --> 00:01:37.000]  因為凡自高的必降為卑
[00:01:37.000 --> 00:01:41.000]  自卑的必升為高
[00:01:41.000 --> 00:01:49.000]  這個比喻是最簡單也是最難明白的一個比喻
[00:01:49.000 --> 00:01:51.000]  它是簡單
[00:01:51.000 --> 00:01:58.000]  因為它所講的所記的都好像是不解自明的
[00:01:58.000 --> 00:02:01.000]  譬如我們看到第九節
[00:02:01.000 --> 00:02:04.000]  就是整個比喻的主題
[00:02:04.000 --> 00:02:12.000]  耶穌向那些仗著自己是義人而藐視別人的
[00:02:12.000 --> 00:02:13.000]  設一個比喻
[00:02:13.000 --> 00:02:15.000]  這個是很容易解的
[00:02:15.000 --> 00:02:20.000]  然後十到十三節就是講到比喻的內容
[00:02:20.000 --> 00:02:23.000]  那個內容基本上就是兩個人的禱告
[00:02:23.000 --> 00:02:25.000]  伯利塞人的禱告
[00:02:25.000 --> 00:02:31.000]  他為兩樣東西為所有來感謝
[00:02:31.000 --> 00:02:33.000]  是沒有祈求的
[00:02:33.000 --> 00:02:36.000]  第二個就是這個瑞利的禱告
[00:02:36.000 --> 00:02:41.000]  一個完全絕望求神憐憫的禱告
[00:02:41.000 --> 00:02:43.000]  也是很清楚
[00:02:43.000 --> 00:02:47.000]  我們一讀就知道他為什麼
[00:02:47.000 --> 00:02:52.000]  然後就是第十四節那個比喻的結論
[00:02:52.000 --> 00:02:55.000]  就是說瑞利被稱為二
[00:02:55.000 --> 00:02:58.000]  伯利塞人就不被稱為二
[00:02:58.000 --> 00:03:01.000]  因為自高的必降卑
[00:03:01.000 --> 00:03:03.000]  自卑的升高
[00:03:03.000 --> 00:03:06.000]  好像是不需要解釋的
[00:03:06.000 --> 00:03:10.000]  為什麼我們說他又是最難明白的呢
[00:03:10.000 --> 00:03:15.000]  原來我們所謂簡單不解自明
[00:03:15.000 --> 00:03:19.000]  是因為在我們裡面對瑞利是一個什麼樣的人
[00:03:19.000 --> 00:03:20.000]  我們有了一個設想
[00:03:20.000 --> 00:03:22.000]  我們自己有了一個幻想
[00:03:22.000 --> 00:03:25.000]  對那個瑞利是一個什麼樣的人
[00:03:25.000 --> 00:03:27.000]  我們又有了一個先入為主的
[00:03:27.000 --> 00:03:30.000]  我們以為的那個了解
[00:03:30.000 --> 00:03:32.000]  所以我們就解釋
[00:03:32.000 --> 00:03:37.000]  因為這個瑞利他自己謙卑
[00:03:37.000 --> 00:03:38.000]  所以被稱為二
[00:03:38.000 --> 00:03:42.000]  而伯利塞人就因為他們的自大
[00:03:42.000 --> 00:03:44.000]  所以就不被稱為二
[00:03:44.000 --> 00:03:48.000]  這個是我們的了解
[00:03:48.000 --> 00:03:54.000]  但是在當日的巴勒斯坦地的猶太人
[00:03:54.000 --> 00:03:56.000]  他聽了這個比喻
[00:03:56.000 --> 00:03:58.000]  他完全不明白耶穌怎麼解釋
[00:03:58.000 --> 00:04:01.000]  為什麼會用伯利塞人
[00:04:01.000 --> 00:04:06.000]  來比喻作一個被棄的人
