
[00:00:00.000 --> 00:00:04.080]  今天的題目叫做「嫁入歷史的神」
[00:00:04.080 --> 00:00:05.880]  很想跟大家看一段很熟悉的經文
[00:00:05.880 --> 00:00:07.360]  是《老交坊》第一章
[00:00:07.360 --> 00:00:10.840]  今天很想用一個闊一點的角度來看
[00:00:10.840 --> 00:00:13.400]  我不知道大家有沒有看過這部電影
[00:00:13.400 --> 00:00:16.640]  台灣的神劇叫做什麼
[00:00:16.640 --> 00:00:18.040]  《想見你》
[00:00:18.040 --> 00:00:19.640]  有誰看過
[00:00:19.640 --> 00:00:21.880]  好像這堂課多一點
[00:00:21.880 --> 00:00:24.720]  今年有韓國版本
[00:00:24.720 --> 00:00:28.360]  叫做《走進你的時間》
[00:00:28.360 --> 00:00:31.080]  我不會很多劇透
[00:00:31.080 --> 00:00:38.040]  話說女主角太掛念她意外死去的男朋友
[00:00:38.040 --> 00:00:40.760]  所以太掛念她的思念
[00:00:40.760 --> 00:00:46.080]  藉著一件事帶她回到20年前的1998年
[00:00:46.080 --> 00:00:50.520]  她的靈魂穿越了另一個女生的身上
[00:00:50.520 --> 00:00:53.360]  但這個女生跟女主角是一模一樣的
[00:00:53.360 --> 00:00:56.520]  是一個中學的女生
[00:00:56.520 --> 00:01:00.080]  同一年代在學校裡
[00:01:00.080 --> 00:01:04.680]  她遇到跟她男朋友一模一樣的一個男生
[00:01:04.680 --> 00:01:07.320]  當然那個男生不認識她
[00:01:07.320 --> 00:01:14.440]  說到他們穿越時發生的愛情故事很浪漫
[00:01:14.440 --> 00:01:20.120]  後來又說到那個男生在未來找回這個女生
[00:01:20.120 --> 00:01:24.240]  走進你的時間會覺得很浪漫
[00:01:24.240 --> 00:01:27.960]  愛情很想見你,無論如何都要穿越
[00:01:27.960 --> 00:01:32.520]  去回過去,去未來
[00:01:32.520 --> 00:01:35.440]  都是為了想見你幾面
[00:01:35.440 --> 00:01:36.960]  想見多幾面
[00:01:36.960 --> 00:01:39.360]  我們看的時候覺得很浪漫
[00:01:39.360 --> 00:01:40.840]  有沒有覺得很浪漫?
[00:01:40.840 --> 00:01:42.680]  覺得很浪漫,雖然很燒腦
[00:01:42.680 --> 00:01:46.160]  不是很多層宇宙
[00:01:46.160 --> 00:01:47.160]  但覺得很浪漫
[00:01:47.160 --> 00:01:51.640]  如果有一個男朋友這樣來穿越找我
[00:01:51.640 --> 00:01:55.920]  或者有一個女朋友這樣想著我穿越來找我
[00:01:55.920 --> 00:01:58.880]  我真的會覺得很浪漫
[00:01:58.880 --> 00:02:00.520]  但當我預備這篇信息的時候
[00:02:00.520 --> 00:02:01.320]  上帝告訴我
[00:02:01.320 --> 00:02:04.720]  你知不知道這個穿越是發生了的
[00:02:04.720 --> 00:02:06.760]  是真的神劇
[00:02:06.760 --> 00:02:10.800]  是真的神在聖經裡說給我們聽真實的事
[00:02:10.800 --> 00:02:14.160]  就是上帝想見我們
[00:02:14.160 --> 00:02:19.760]  上帝化身為人,降身為人來見我們
[00:02:19.760 --> 00:02:24.080]  不只是見我們,更加是為我們贖罪
[00:02:24.080 --> 00:02:26.120]  我覺得更加感動
[00:02:26.120 --> 00:02:27.600]  上帝化身為人
[00:02:27.600 --> 00:02:30.760]  他不是跳下來就變三十歲的耶穌
[00:02:30.760 --> 00:02:34.440]  然後呼召十二個門徒搞三年就搞定了
[00:02:34.440 --> 00:02:36.080]  釘十字架而已
[00:02:36.080 --> 00:02:37.040]  耶穌不是
[00:02:37.040 --> 00:02:39.880]  耶穌來到這個世界是化身為什麼?
[00:02:39.880 --> 00:02:41.520]  一個胚胎
[00:02:41.520 --> 00:02:43.560]  在瑪利亞的肚子裡
[00:02:43.560 --> 00:02:47.480]  十個月,媽媽十月懷胎
[00:02:47.480 --> 00:02:51.680]  然後耶穌也要經歷奶尿
[00:02:51.680 --> 00:02:55.040]  會經歷學說話、喝奶
[00:02:55.040 --> 00:02:57.080]  經歷要走路
[00:02:57.080 --> 00:02:59.760]  經歷要上學
[00:02:59.760 --> 00:03:04.480]  經歷要去聖殿聽律法
[00:03:04.480 --> 00:03:08.240]  然後耶穌經歷過三十年
[00:03:08.240 --> 00:03:10.520]  然後三十歲才出道
[00:03:10.520 --> 00:03:11.840]  如果我是耶穌
[00:03:11.840 --> 00:03:13.080]  可能我覺得簡單一點
[00:03:13.080 --> 00:03:14.680]  我跳下來就是三十歲
[00:03:14.680 --> 00:03:17.600]  然後馬上出道開工
[00:03:17.600 --> 00:03:21.040]  但是這個愛情故事真的很浪漫
[00:03:21.040 --> 00:03:27.240]  這個穿越上帝介入歷史
[00:03:27.240 --> 00:03:28.880]  當上帝介入歷史的時候
[00:03:28.880 --> 00:03:31.440]  正是那段歷史最黑暗的時候
[00:03:31.440 --> 00:03:35.160]  耶穌降臨的時候是黑暗的時代
