
[00:00:00.000 --> 00:00:08.860]  跟你旁邊說我們在這裡敬拜真好
[00:00:08.860 --> 00:00:15.540]  好 再問你旁邊一下 上禮拜講什麼
[00:00:15.540 --> 00:00:23.480]  上禮拜講什麼 信基督守律法
[00:00:23.480 --> 00:00:27.980]  你們有沒有看過連續劇 有沒有 看過吧
[00:00:27.980 --> 00:00:33.360]  看完這一集之後 今天看完 明天怎麼樣
[00:00:33.360 --> 00:00:36.500]  再看 是不是
[00:00:36.500 --> 00:00:40.100]  喜不喜歡看連續劇
[00:00:40.100 --> 00:00:44.640]  沒關係 你這時候講喜歡OK的 OK
[00:00:44.640 --> 00:00:46.960]  你曾經喜歡過吧 是不是
[00:00:46.960 --> 00:00:50.940]  我們都巴不得趕快看下一集 是不是
[00:00:50.940 --> 00:00:56.140]  是嗎 好 所以今天是下一集
[00:00:56.140 --> 00:01:03.520]  好沒 跟你旁邊說上帝要跟你說話
[00:01:03.520 --> 00:01:14.820]  上個禮拜 我們講到信基督 versus 綠法
[00:01:14.820 --> 00:01:21.340]  十六、十七節 十六、十七節裡面講到的
[00:01:21.340 --> 00:01:28.740]  其實在十六一直到十九節到今天的
[00:01:28.740 --> 00:01:33.980]  它裡面有兩個不可 不可讓
[00:01:33.980 --> 00:01:39.880]  那麼第一個就是我們上禮拜講的不可讓 什麼呢
[00:01:39.880 --> 00:01:43.980]  它提到說不可以讓這些守安息日
[00:01:43.980 --> 00:01:47.640]  這些日子 節期 是不是
[00:01:47.640 --> 00:01:53.140]  基督徒到底可不可以吃豬血糕呢
[00:01:53.140 --> 00:01:55.580]  基督徒是不是應該要守安息日呢
[00:01:55.580 --> 00:01:58.060]  還是要守主日 有沒有
[00:01:58.060 --> 00:02:04.840]  不可以讓這一些的律法的 刑事的主義
[00:02:04.840 --> 00:02:11.300]  來使得我們忽略了信靠這位耶穌基督
[00:02:11.300 --> 00:02:16.180]  今天接著 在各路西書第二章十八、十九節
[00:02:16.180 --> 00:02:21.300]  它又講到不可讓人因著故意謙虛和敬拜天使
[00:02:21.300 --> 00:02:24.260]  就奪去你們的獎賞
[00:02:24.260 --> 00:02:25.500]  這裡在講什麼呢
[00:02:25.500 --> 00:02:29.620]  這裡要對付的是另外一個
[00:02:29.620 --> 00:02:32.300]  就是很多時候 你看這裡
[00:02:32.300 --> 00:02:35.500]  講到自己至高至大 對不對
[00:02:35.500 --> 00:02:38.780]  所以呢 保羅提醒我們
[00:02:38.780 --> 00:02:42.420]  我們不要依靠我們自己所擁有的
[00:02:42.420 --> 00:02:44.540]  所經歷的 所看到的
[00:02:44.540 --> 00:02:50.020]  特別他在這裡要對付的是神秘主義
[00:02:50.020 --> 00:02:53.760]  你說什麼是神秘主義 等一下我會說明
[00:02:53.760 --> 00:02:56.020]  這跟我們有什麼關係呢
[00:02:56.020 --> 00:03:00.900]  你會發現今天在教會裡面有兩個主流
[00:03:00.900 --> 00:03:02.860]  一個是什麼呢
[00:03:02.860 --> 00:03:07.140]  一個就是律法主義 一個就是刑事主義 有沒有
[00:03:07.140 --> 00:03:10.420]  很多教會守著它的傳統
[00:03:10.420 --> 00:03:12.780]  還不能講它是聖經的話
[00:03:12.780 --> 00:03:16.340]  守著傳統 守著它的這些的形式
[00:03:16.340 --> 00:03:22.340]  守著它所謂的這一個教派的一些的教規
[00:03:22.340 --> 00:03:25.220]  所以漸漸的信仰裡面
[00:03:25.220 --> 00:03:29.060]  不再是依靠基督了 靠什麼
[00:03:29.060 --> 00:03:34.060]  靠著一套的形式 靠著一套的做法
[00:03:34.060 --> 00:03:38.180]  這個是上個禮拜我們講到
[00:03:38.180 --> 00:03:41.300]  這個保羅要我們小心的
[00:03:41.300 --> 00:03:46.460]  今天另外一個教會的一個可以說是極端是什麼呢
[00:03:46.460 --> 00:03:53.580]  就是強調你要有特殊的 或者是你要有特殊的經驗
[00:03:53.580 --> 00:03:56.300]  或者你要去感受到什麼
[00:03:56.300 --> 00:03:58.120]  特別在這個後現代社會
[00:03:58.120 --> 00:04:03.540]  這個也是非常吸引人的 是吧
[00:04:03.540 --> 00:04:07.340]  所以保羅說不可以教人因著故意謙虛和敬拜天使
[00:04:07.340 --> 00:04:10.500]  什麼叫做故意謙虛啊
[00:04:10.500 --> 00:04:12.180]  敬拜天使
[00:04:12.180 --> 00:04:15.380]  故意謙虛啊 簡單的說就是假謙虛了
[00:04:15.380 --> 00:04:23.980]  跟你旁邊說不要假謙虛啊
[00:04:23.980 --> 00:04:26.500]  在英文聖經的NASB版本裡面
[00:04:26.500 --> 00:04:36.980]  它提到說這些人他們是喜歡delighting in false humility
[00:04:36.980 --> 00:04:43.340]  他們喜歡在那個假的謙卑的裡面
[00:04:43.340 --> 00:04:48.260]  你說我本來就是這樣子 我沒有假謙卑
[00:04:48.260 --> 00:04:52.860]  我就是這樣子 是不是
[00:04:52.860 --> 00:04:56.260]  那就叫驕傲
[00:04:56.260 --> 00:04:58.980]  可是今天在教會裡面我們都知道謙卑很重要
[00:04:58.980 --> 00:05:01.340]  是不是 謙卑是美德 是不是
[00:05:01.340 --> 00:05:03.060]  在教會裡面我們鼓勵說
[00:05:03.060 --> 00:05:05.140]  哎呀 你要驕傲 你要自高自大 有沒有
[00:05:05.140 --> 00:05:11.780]  沒有 但是格洛西教會所面臨到的這個異端
[00:05:11.780 --> 00:05:14.220]  他們就是故意謙虛
[00:05:14.220 --> 00:05:16.860]  但是其實故意謙虛跟什麼有關係呢
[00:05:16.860 --> 00:05:19.740]  跟敬拜天使有關係
