
[00:00:00.000 --> 00:00:02.500]  很光榮大家能夠一齊來到《勁拜》
[00:00:02.500 --> 00:00:06.100]  我們繼續我們一個七教會書信的系列,好嗎?
[00:00:06.100 --> 00:00:10.800]  我們打開去到啟示錄的第二章,十八節開始
[00:00:10.800 --> 00:00:13.100]  我們這次看到第四封信了
[00:00:13.100 --> 00:00:15.600]  如果你記得我們看了三封信
[00:00:15.600 --> 00:00:21.600]  這三封信是寄給當時這個路線裡面頭三戶的教會
[00:00:21.600 --> 00:00:24.900]  由以忽所到史梅那到別加摩
[00:00:24.900 --> 00:00:26.500]  這次我們看第四封
[00:00:26.500 --> 00:00:30.900]  就是推瓦推拉,譯做推瓦推拉的一個城市
[00:00:30.900 --> 00:00:32.900]  所以就是內陸了一點
[00:00:32.900 --> 00:00:36.400]  這個地方原來看它的背景的時候
[00:00:36.400 --> 00:00:41.600]  你就發現是一個製衣紡織業很興旺的一個地方
[00:00:41.600 --> 00:00:48.500]  就是出產布料、皮革、LV手袋、打鐵的地方等等
[00:00:48.500 --> 00:00:52.900]  一個工業的城市,當時是一個很重要的一個城鎮
[00:00:52.900 --> 00:00:57.600]  如果你看一下《史郎行傳》的話,有提過這個地方
[00:00:57.600 --> 00:00:59.100]  十六章第十四節
[00:00:59.100 --> 00:01:03.600]  那裡說到保羅和他的宣教隊伍離開了今天的土耳其
[00:01:03.600 --> 00:01:07.700]  然後他們去了對面,今天所謂馬其頓的地方
[00:01:07.700 --> 00:01:11.400]  或者希臘半島上面那個地方
[00:01:11.400 --> 00:01:13.000]  在這裡說到保羅有什麼遭遇呢?
[00:01:13.000 --> 00:01:19.100]  他說看到來到菲律賓有一個賣紫色布的婦人
[00:01:19.100 --> 00:01:23.800]  她的名字叫做呂底亞,是推瓦推拉城的人
[00:01:23.800 --> 00:01:25.800]  提到推瓦推拉城的人
[00:01:25.800 --> 00:01:28.800]  所以這個呂底亞又離開了她本城
[00:01:28.800 --> 00:01:31.500]  然後他就去了菲律賓這個地方
[00:01:31.500 --> 00:01:35.800]  他就遇見保羅,然後他就聽見福音
[00:01:35.800 --> 00:01:39.500]  他再聽著保羅所說的福音
[00:01:39.500 --> 00:01:43.700]  主就開道他心,洗他流心來聽保羅所說的話
[00:01:43.700 --> 00:01:45.200]  然後他就信了主了
[00:01:45.200 --> 00:01:50.900]  所以他變成了第一個所謂在歐洲信主的一個信徒
[00:01:50.900 --> 00:01:53.700]  然後講到十八章的時候
[00:01:53.700 --> 00:01:58.500]  又講到保羅其他的遭遇,講到他們
[00:01:58.500 --> 00:01:59.600]  他們是誰?
[00:01:59.600 --> 00:02:05.500]  就是在本身羅馬京城住的一對夫婦
[00:02:05.500 --> 00:02:10.000]  叫做伯居拉和伯基拉
[00:02:10.000 --> 00:02:13.000]  他們就離開了羅馬,因為被人趕走了
[00:02:13.000 --> 00:02:16.000]  當時排油的緣故,他們就去了多倫多
[00:02:16.000 --> 00:02:21.200]  不是多倫多,是哥倫多
[00:02:21.200 --> 00:02:25.100]  哥倫多就去了那裡,本事是什麼?
[00:02:25.100 --> 00:02:29.200]  他們是製造帳篷的,就是和布料有關
[00:02:29.200 --> 00:02:33.700]  以前那些圓形的羅馬劇場是有遮蔭的
[00:02:33.700 --> 00:02:35.600]  有些帳篷的
[00:02:35.600 --> 00:02:38.300]  所以他們可能就是做這方面
[00:02:38.300 --> 00:02:41.000]  製造帳篷為業的
[00:02:41.000 --> 00:02:45.200]  保羅就和他們同業,就和他們同住
[00:02:45.200 --> 00:02:47.400]  一同去做工
[00:02:47.400 --> 00:02:51.500]  拜託,保羅都是所謂織帳篷,tent maker
[00:02:51.500 --> 00:02:54.300]  可能他也是做這方面的工作
[00:02:54.300 --> 00:02:57.900]  因為那時候他可能支持不夠,或者經濟不夠
[00:02:57.900 --> 00:03:03.200]  很多時候他就要做一些帳篷的生意,或者帳篷的工作
[00:03:03.200 --> 00:03:06.900]  或者織帳篷,或者去做一些布料的工作
[00:03:06.900 --> 00:03:10.200]  以致support他繼續能夠將福音傳開
[00:03:10.200 --> 00:03:12.000]  說到這個推瓦推拉
[00:03:12.000 --> 00:03:16.900]  這些第四封信就是寫給在推瓦推拉裡面的人
[00:03:16.900 --> 00:03:18.500]  說些什麼呢?
[00:03:18.500 --> 00:03:22.300]  開頭那一節,第二章第十八節
[00:03:22.300 --> 00:03:24.700]  我們說過這些書信都有那個格式
[00:03:24.700 --> 00:03:27.100]  首先耶穌怎樣自稱自己
[00:03:27.100 --> 00:03:30.300]  一個死而復活的耶穌,一個萬世之主
[00:03:30.300 --> 00:03:32.000]  他怎樣去介紹自己
[00:03:32.000 --> 00:03:34.900]  然後他就說,我知道你們的情況
[00:03:34.900 --> 00:03:36.700]  你知道你們教會的情況
[00:03:36.700 --> 00:03:40.700]  然後他會作出不同的評價等等
[00:03:40.700 --> 00:03:42.800]  然後去勸告他們
[00:03:42.800 --> 00:03:44.600]  所以這裡開始的時候,二章十八節
[00:03:44.600 --> 00:03:47.800]  他說你要寫信給推瓦推拉教會的使者
[00:03:47.800 --> 00:03:49.400]  寫給整個教會
[00:03:49.400 --> 00:03:52.500]  他說上帝的兒子,神的兒子
[00:03:52.500 --> 00:03:59.900]  那位眼睛如火焰,雙腳如發亮的銅
[00:03:59.900 --> 00:04:02.000]  說這番話
[00:04:02.000 --> 00:04:03.600]  神的兒子,我說過很多次了
[00:04:03.600 --> 00:04:05.600]  是當時羅馬帝王的自稱
[00:04:05.600 --> 00:04:08.900]  他們自居為上帝的兒子
[00:04:08.900 --> 00:04:11.000]  或者son of god
