
[00:00:00.000 --> 00:00:03.000]  數字人生的傑夫·鮑威
[00:00:03.000 --> 00:00:08.000]  他每一集他都探討一個有關人生的一個重要的主題
[00:00:08.000 --> 00:00:09.500]  譬如你要怎麼長壽
[00:00:09.500 --> 00:00:10.500]  譬如你怎麼擇偶
[00:00:10.500 --> 00:00:11.500]  怎麼交友
[00:00:11.500 --> 00:00:14.000]  或者是你要怎麼成功
[00:00:14.000 --> 00:00:17.500]  他都是從一個科學的論證
[00:00:17.500 --> 00:00:21.000]  還有令人訝異的統計的數字
[00:00:21.000 --> 00:00:23.500]  還有街頭的試驗
[00:00:23.500 --> 00:00:25.500]  還有互動遊戲
[00:00:25.500 --> 00:00:29.500]  因此而找出人生謎底的答案
[00:00:29.500 --> 00:00:36.000]  來提供工具以協助我們來掌控自己的命運
[00:00:36.000 --> 00:00:41.500]  進而永永遠遠地改變我們的一生
[00:00:41.500 --> 00:00:44.500]  有一個作曲家名叫林子祥
[00:00:44.500 --> 00:00:49.000]  他還為這個寫了一首數字人生的歌
[00:00:49.000 --> 00:00:51.000]  他的歌詞是這樣寫的
[00:00:51.000 --> 00:00:55.500]  填滿一生全是數字
[00:00:55.500 --> 00:01:00.000]  誰會真正知道是什麼意思呢
[00:01:00.000 --> 00:01:03.500]  煩惱一生全為了數字
[00:01:03.500 --> 00:01:07.000]  圓滿的掌握問誰可以呢
[00:01:07.000 --> 00:01:08.500]  換句話說
[00:01:08.500 --> 00:01:13.000]  我們活著一生就是數字就是numbers
[00:01:13.000 --> 00:01:16.000]  你的銀行鈔票數起來有多少
[00:01:16.000 --> 00:01:19.000]  存款本上面紀錄有多少
[00:01:19.000 --> 00:01:21.000]  你的年薪是多少
[00:01:21.000 --> 00:01:23.000]  你退休的時候你會有多少錢
[00:01:23.000 --> 00:01:25.500]  通通是數字
[00:01:25.500 --> 00:01:28.500]  這數字就掌握了我們的一生
[00:01:28.500 --> 00:01:30.000]  你知道嗎
[00:01:30.000 --> 00:01:31.000]  年紀大了
[00:01:31.000 --> 00:01:33.500]  我還有多少日子好活
[00:01:33.500 --> 00:01:35.000]  像我在小時候
[00:01:35.000 --> 00:01:37.500]  我要多久才可以再長大
[00:01:37.500 --> 00:01:39.500]  都是數字
[00:01:39.500 --> 00:01:42.000]  好笑的短文章
[00:01:42.000 --> 00:01:44.000]  快樂的人生
[00:01:44.000 --> 00:01:45.500]  他說人生吧
[00:01:45.500 --> 00:01:48.000]  就像一場戲
[00:01:48.000 --> 00:01:49.000]  是吧
[00:01:49.000 --> 00:01:52.000]  零歲粉末登場
[00:01:52.000 --> 00:01:55.000]  十歲快樂成長
[00:01:55.000 --> 00:01:58.500]  二十歲為愛情徬徨
[00:01:58.500 --> 00:02:01.500]  三十歲基本上已經定了位了
