
[00:00:00.000 --> 00:00:02.600]  願恩惠平安 助我們天父上帝
[00:00:02.600 --> 00:00:05.900]  並救主耶穌歸於在座的每一位弟兄姊妹
[00:00:30.000 --> 00:00:35.500]  主今天能夠和大家分享上帝自己的話語
[00:00:35.500 --> 00:00:41.500]  今天有一個我自己很喜歡的經文
[00:00:41.500 --> 00:00:45.000]  這個經文是撒該的故事
[00:00:45.000 --> 00:00:48.500]  我用一句耶穌的話語
[00:00:48.500 --> 00:00:53.000]  今日救恩到這個家
[00:00:53.000 --> 00:00:56.000]  救恩怎樣到我們的家?
[00:00:56.000 --> 00:00:58.500]  救恩怎樣臨到你的?
[00:00:58.500 --> 00:01:03.000]  今日救恩到了你的家
[00:01:03.000 --> 00:01:08.000]  我們去想想這個可愛撒該的故事
[00:01:08.000 --> 00:01:11.500]  路加福音第十九章一到十節
[00:01:11.500 --> 00:01:14.500]  這段經文其實是很吸引的
[00:01:14.500 --> 00:01:18.500]  我自己作為教務的時候
[00:01:18.500 --> 00:01:21.000]  已經是三十多年前
[00:01:21.000 --> 00:01:23.000]  在那段時間當中
[00:01:23.000 --> 00:01:25.500]  我是做一間小學的校務
[00:01:25.500 --> 00:01:29.500]  帶著五十位小朋友到處走
[00:01:29.500 --> 00:01:31.500]  因為要去錄音
[00:01:31.500 --> 00:01:33.500]  又要去表演
[00:01:33.500 --> 00:01:34.500]  去做甚麼呢?
[00:01:34.500 --> 00:01:36.500]  去唱歌
[00:01:36.500 --> 00:01:38.500]  有一個兒歌是很好的
[00:01:38.500 --> 00:01:40.500]  我想唱給大家聽
[00:01:40.500 --> 00:01:42.500]  如果大家不厭煩的話
[00:01:42.500 --> 00:01:47.500]  從前有一個人名叫撒該
[00:01:47.500 --> 00:01:51.500]  他是一個矮小的人
[00:01:51.500 --> 00:01:56.500]  有一天他定意把上喪書
[00:01:56.500 --> 00:02:00.500]  要看耶穌究竟是誰
[00:02:00.500 --> 00:02:05.500]  耶穌從喪書下經過
[00:02:05.500 --> 00:02:09.500]  抬頭看見他在那裡
[00:02:09.500 --> 00:02:14.500]  今天我必住在你家
[00:02:14.500 --> 00:02:18.500]  今天我必住在你家
[00:02:18.500 --> 00:02:23.500]  好聽嗎?
[00:02:23.500 --> 00:02:25.500]  我現在那些小朋友
[00:02:25.500 --> 00:02:28.500]  已經是我自己的堂會執事
[00:02:28.500 --> 00:02:31.500]  奉獻了去讀神學的人
[00:02:31.500 --> 00:02:34.500]  那時候只有八九歲
[00:02:34.500 --> 00:02:37.500]  我們看到撒該這個故事
[00:02:37.500 --> 00:02:39.500]  其實是一個很好的故事
[00:02:39.500 --> 00:02:42.500]  今天救恩臨到這個家
[00:02:42.500 --> 00:02:45.500]  耶穌到撒該的家
[00:02:45.500 --> 00:02:48.500]  這是一個很重要的題目
[00:02:48.500 --> 00:02:49.500]  你也可以說
[00:02:49.500 --> 00:02:51.500]  耶穌看到福音臨到這個家
[00:02:51.500 --> 00:02:56.500]  於是今天救恩就臨到這個家
[00:02:56.500 --> 00:02:59.500]  耶穌怎樣去到撒該的家呢?
[00:02:59.500 --> 00:03:02.500]  福音怎樣臨到這個家呢?
[00:03:02.500 --> 00:03:05.500]  救恩怎樣在這個家庭裡面呢?
[00:03:05.500 --> 00:03:09.500]  這個故事就很關鍵
[00:03:09.500 --> 00:03:13.500]  這個故事就幫助我們去理解
[00:03:13.500 --> 00:03:17.500]  如果我們想救恩臨到我們家
[00:03:17.500 --> 00:03:19.500]  可以怎樣做?
[00:03:19.500 --> 00:03:22.500]  我們怎樣做?
[00:03:22.500 --> 00:03:28.500]  正所謂家家有本難念的經
[00:03:28.500 --> 00:03:32.500]  在我自己的經歷當中
[00:03:32.500 --> 00:03:37.500]  家人信主其實是很難的
[00:03:37.500 --> 00:03:42.500]  家人的信主主要的難就難在
[00:03:42.500 --> 00:03:47.500]  我們怎樣在家裡生活
