
[00:00:00.000 --> 00:00:05.760]  當我知道被委派了要講阿當的時候
[00:00:05.760 --> 00:00:07.760]  其實我第一個的感覺
[00:00:07.760 --> 00:00:09.760]  就是覺得有好有不好
[00:00:09.760 --> 00:00:10.760]  好的呢
[00:00:10.760 --> 00:00:14.760]  就是聖經裏面記載阿當的故事
[00:00:14.760 --> 00:00:16.520]  的經文其實不是很多
[00:00:16.520 --> 00:00:20.280]  大家其實只是看創世紀的頭三章經文
[00:00:20.280 --> 00:00:24.280]  甚或你只是集中看第二第三章的經文
[00:00:24.280 --> 00:00:29.240]  你大概已經掌握了應該阿當整個故事的了
[00:00:29.240 --> 00:00:31.240]  不過也是因爲這樣
[00:00:31.240 --> 00:00:33.240]  這個也是一個不好的地方
[00:00:33.240 --> 00:00:35.240]  因爲經文不多
[00:00:35.240 --> 00:00:37.240]  他的故事又簡單又直接
[00:00:37.240 --> 00:00:39.240]  又沒有什麼分支
[00:00:39.240 --> 00:00:41.240]  這樣的東西在裏面的時候
[00:00:41.240 --> 00:00:43.240]  變相我可以講可以分享的
[00:00:43.240 --> 00:00:45.240]  都很有限制性的
[00:00:45.240 --> 00:00:47.240]  而且我會想
[00:00:47.240 --> 00:00:49.240]  其實弟兄姊妹應該
[00:00:49.240 --> 00:00:51.240]  很多人都對阿當的故事
[00:00:51.240 --> 00:00:53.240]  這件事
[00:00:53.240 --> 00:00:55.240]  有一定的熟悉程度
[00:00:55.240 --> 00:00:57.240]  因爲我們通常
[00:00:57.240 --> 00:00:59.240]  讀聖經的時候
[00:00:59.240 --> 00:01:01.240]  最大的難關是出埃及記
[00:01:01.240 --> 00:01:03.240]  出不了埃及
[00:01:03.240 --> 00:01:05.240]  但是我們每年
[00:01:05.240 --> 00:01:07.240]  作爲信徒又不知爲什麼
[00:01:07.240 --> 00:01:09.240]  總是很喜歡重新立志的時候
[00:01:09.240 --> 00:01:11.240]  我們就會說我們要讀好我本聖經了
[00:01:11.240 --> 00:01:13.240]  我們又重新開始了
[00:01:13.240 --> 00:01:15.240]  重新開始的時候在哪呢
[00:01:15.240 --> 00:01:17.240]  就是又是創世紀開始
[00:01:17.240 --> 00:01:19.240]  變相阿當的故事
[00:01:19.240 --> 00:01:22.240]  可能在我們當中的弟兄姊妹裏面
[00:01:22.240 --> 00:01:24.240]  其實看過無數次
[00:01:24.240 --> 00:01:26.240]  那怎樣呢
[00:01:26.240 --> 00:01:28.240]  但是
[00:01:28.240 --> 00:01:30.240]  爲免我們今天
[00:01:30.240 --> 00:01:32.240]  今天有新朋友的時候
[00:01:32.240 --> 00:01:34.240]  爲了這幫新朋友的
[00:01:34.240 --> 00:01:36.240]  緣故大家都容讓我
[00:01:36.240 --> 00:01:38.240]  很快地跟大家
[00:01:38.240 --> 00:01:40.240]  說一次阿當的故事
[00:01:40.240 --> 00:01:44.240]  根據聖經的記載
[00:01:44.240 --> 00:01:46.240]  上帝在創造天地的第六日
[00:01:46.240 --> 00:01:48.240]  就按照了自己的形象
[00:01:48.240 --> 00:01:50.240]  去做了阿當
[00:01:50.240 --> 00:01:52.240]  還將他安置在伊甸園
[00:01:52.240 --> 00:01:54.240]  還吩咐他
[00:01:54.240 --> 00:01:56.240]  在伊甸園裏面各樣
[00:01:56.240 --> 00:01:58.240]  樹上的果子都可以隨便喫
[00:01:58.240 --> 00:02:00.240]  但是唯獨有一棵
[00:02:00.240 --> 00:02:02.240]  他是不可以喫的
[00:02:02.240 --> 00:02:04.240]  就是分別獻我樹上的果子
[00:02:04.240 --> 00:02:06.240]  因爲上帝就說
[00:02:06.240 --> 00:02:08.240]  你喫的日子你一定會死
[00:02:08.240 --> 00:02:10.240]  而上帝創造
[00:02:10.240 --> 00:02:12.240]  阿當的時候
[00:02:12.240 --> 00:02:14.240]  他當然不會是爲了
[00:02:14.240 --> 00:02:16.240]  因爲伊甸園的植物
[00:02:16.240 --> 00:02:18.240]  生長得太好果子太多
[00:02:18.240 --> 00:02:20.240]  就做個人出來消耗一下
[00:02:20.240 --> 00:02:22.240]  當然不是這樣
[00:02:22.240 --> 00:02:24.240]  阿當被造是有他的目的的
[00:02:24.240 --> 00:02:26.240]  上帝吩咐
[00:02:26.240 --> 00:02:28.240]  阿當要治理大地
[00:02:28.240 --> 00:02:30.240]  還要管理海陸空的
[00:02:30.240 --> 00:02:32.240]  各樣生物
[00:02:32.240 --> 00:02:34.240]  還要幫這些生物起名
[00:02:34.240 --> 00:02:36.240]  而之後
[00:02:36.240 --> 00:02:38.240]  不知道是不是因爲上帝
[00:02:38.240 --> 00:02:40.240]  覺得只有阿當一個
[00:02:40.240 --> 00:02:42.240]  太孤獨,又或者會覺得
[00:02:42.240 --> 00:02:44.240]  當阿當做起
[00:02:44.240 --> 00:02:46.240]  上帝要他做的事的時候
[00:02:46.240 --> 00:02:48.240]  是不是覺得他太忙呢
[00:02:48.240 --> 00:02:50.240]  所以上帝有一天就說
[00:02:50.240 --> 00:02:52.240]  乃人獨居不可
[00:02:52.240 --> 00:02:54.240]  我要爲他做一個配偶
[00:02:54.240 --> 00:02:56.240]  幫助他
[00:02:56.240 --> 00:02:58.240]  於是上帝就拿了
[00:02:58.240 --> 00:03:00.240]  阿當的肋骨
[00:03:00.240 --> 00:03:02.240]  做了夏娃去幫助阿當
[00:03:02.240 --> 00:03:04.240]  而不知道過了多久
[00:03:04.240 --> 00:03:06.240]  有一天有條蛇
[00:03:06.240 --> 00:03:08.240]  去引誘夏娃去喫
[00:03:08.240 --> 00:03:10.240]  上帝特意吩咐
[00:03:10.240 --> 00:03:12.240]  不可以喫的
