
[00:00:00.000 --> 00:00:06.500]  大家好,今天又再和大家分享主的信息
[00:00:06.500 --> 00:00:10.300]  我今天要講登山變象這段經文
[00:00:10.300 --> 00:00:14.300]  經文記載《貓福音》九章二至十節
[00:00:14.300 --> 00:00:21.300]  剛才讀完這段經文,看上去很容易去掌握意思
[00:00:21.300 --> 00:00:26.300]  我和上次講五餅二月,其實五餅二月看上去大家都能夠掌握意思
[00:00:26.300 --> 00:00:31.800]  不過我們今天也嘗試從經文上的細節,看看會不會有新的發現
[00:00:31.800 --> 00:00:34.800]  我們在正道之先一同祈禱
[00:00:34.800 --> 00:00:40.800]  親愛的恩主,我們滿心感謝你賜予你的信息,華語給我們
[00:00:40.800 --> 00:00:46.300]  近來我們希望你可以打開我們屬靈的耳朵,讓我們聽見,能夠明白
[00:00:46.300 --> 00:00:49.800]  在我們可以將主你的華語藏在心裡
[00:00:49.800 --> 00:00:55.800]  我們記得我們彼此的討論當中,都是滿有主你的信息在裡面
[00:00:55.800 --> 00:01:02.300]  也讓我們能夠領受完之後,以行動去回應主你交託給我們的信息
[00:01:02.300 --> 00:01:08.300]  願主你帶領一會兒的時間,祈禱奉主耶穌基督聖名祈求,阿們
[00:01:08.300 --> 00:01:12.300]  今天我就講登山變象的意義
[00:01:12.300 --> 00:01:17.300]  登山變象這個故事其實對於天主教
[00:01:17.300 --> 00:01:24.300]  他們將耶穌基督的生平畫成畫像,都是一個重要的部分
[00:01:24.300 --> 00:01:34.300]  不是很多耶穌基督的生平事跡是能夠給天主教或過去畫成畫像
[00:01:34.300 --> 00:01:37.800]  因為有一些只是耶穌基督的對話
[00:01:37.800 --> 00:01:42.800]  耶穌基督講完一些東西,如果他講的內容很長
[00:01:42.800 --> 00:01:47.300]  這些是很難變成畫像去提供畫面給大家的
[00:01:47.300 --> 00:01:53.300]  這段經文其實耶穌基督可以說是差不多沒有講過東西
[00:01:53.300 --> 00:02:01.800]  相反這段經文是給了大家畫面,形容發生什麼事多於講什麼
[00:02:01.800 --> 00:02:05.800]  究竟這個畫面對於我們來說有什麼意義
[00:02:05.800 --> 00:02:10.800]  或者對於那三個門徒來說又有什麼意義呢
[00:02:10.800 --> 00:02:14.300]  我就重複一次,大概講一個故事給大家聽
[00:02:14.300 --> 00:02:19.300]  耶穌基督帶著彼得、雅各和約翰上了高山
[00:02:19.300 --> 00:02:26.800]  耶穌在他們面前變了一些外貌,特別是衣服很純白
[00:02:26.800 --> 00:02:31.300]  然後有以利亞和摩西向門徒顯現和耶穌說話
[00:02:31.300 --> 00:02:36.300]  彼得對耶穌說,拉比,我們這裡真的很棒
