
[00:00:00.000 --> 00:00:03.480]  好,很開心可以在一個這麼特別的晚上
[00:00:03.480 --> 00:00:05.000]  星期二晚
[00:00:05.000 --> 00:00:07.800]  星期二晚還是星期一晚?
[00:00:07.800 --> 00:00:08.300]  (星期二)
[00:00:08.300 --> 00:00:09.800]  星期二晚,是的
[00:00:09.800 --> 00:00:12.800]  就跟大家來大陸去分享
[00:00:12.800 --> 00:00:14.800]  特別是很感動的
[00:00:14.800 --> 00:00:17.400]  因為有些人是在較遠的地方
[00:00:17.400 --> 00:00:18.600]  在大埔那邊
[00:00:18.600 --> 00:00:22.000]  駕車過來來大陸出席這個聚會
[00:00:22.000 --> 00:00:23.400]  想問一問
[00:00:23.400 --> 00:00:28.000]  因為今晚我們說是給侍奉人員的
[00:00:28.000 --> 00:00:31.000]  有誰是侍奉人員的?請你舉手
[00:00:31.000 --> 00:00:35.000]  有些人沒有舉手
[00:00:35.000 --> 00:00:37.000]  即是說你不應該在這裡,是嗎?
[00:00:37.000 --> 00:00:39.000]  絕對錯
[00:00:39.000 --> 00:00:41.000]  原來我們忽略了一件事
[00:00:41.000 --> 00:00:43.000]  我很想提一提大家
[00:00:43.000 --> 00:00:46.000]  原來我們的祈禱都是一個侍奉
[00:00:46.000 --> 00:00:49.000]  所以無論你信主多久都好
[00:00:49.000 --> 00:00:50.000]  你都會懂得祈禱
[00:00:50.000 --> 00:00:52.000]  你見到人有需要的時候
[00:00:52.000 --> 00:00:54.000]  你就要去為他祈禱
[00:00:54.000 --> 00:00:57.800]  我們往往忽略了原來禱告是一個侍奉
[00:00:57.800 --> 00:01:01.000]  所以我自己基本上每一天
[00:01:01.000 --> 00:01:05.000]  我都會特別為一些有需要的人來祈禱
[00:01:05.000 --> 00:01:08.000]  隨時可能會收到一些訊息
[00:01:08.000 --> 00:01:10.000]  就好像今天這樣
[00:01:10.000 --> 00:01:13.000]  我又收到我的教會一個會友
[00:01:13.000 --> 00:01:15.000]  發了一個訊息給我
[00:01:15.000 --> 00:01:17.000]  牧師你可以作證
[00:01:17.000 --> 00:01:19.000]  我是坐車的時候收到的
[00:01:19.000 --> 00:01:21.000]  我們會友家庭的女兒
[00:01:21.000 --> 00:01:23.000]  她很小的時候已經回教會了
[00:01:23.000 --> 00:01:25.000]  但是近期可能沒有回
[00:01:25.000 --> 00:01:27.000]  她原來會在下一年的二月
[00:01:27.000 --> 00:01:29.000]  會過來英國
[00:01:29.000 --> 00:01:31.000]  但是她帶著兩個小孩子
[00:01:31.000 --> 00:01:33.000]  那怎麼辦呢?
[00:01:33.000 --> 00:01:35.000]  就很想我來帶她去幫忙
[00:01:35.000 --> 00:01:38.000]  我第一個幫忙是什麼呢?
[00:01:38.000 --> 00:01:41.000]  我真的立刻為她祈禱
[00:01:41.000 --> 00:01:43.000]  然後就說她會去一個地方
[00:01:43.000 --> 00:01:45.000]  我都不知道是什麼地方來的
[00:01:45.000 --> 00:01:46.000]  它寫中文的
[00:01:46.000 --> 00:01:47.000]  我就說是什麼地方來的
[00:01:47.000 --> 00:01:49.000]  牧師又說不太知道
[00:01:49.000 --> 00:01:50.000]  還在倫敦北部
[00:01:50.000 --> 00:01:51.000]  即是遠一點
[00:01:51.000 --> 00:01:53.000]  這麼大件事?
[00:01:53.000 --> 00:01:54.000]  你經濟能力很有限
[00:01:54.000 --> 00:01:55.000]  還要去倫敦附近
[00:01:55.000 --> 00:01:57.000]  後來發現原來不是
[00:01:57.000 --> 00:01:59.000]  是在曼徹斯特附近的
[00:01:59.000 --> 00:02:03.000]  因為我要求過來的人直接聯絡我
[00:02:03.000 --> 00:02:05.000]  不如你打英文給我
[00:02:05.000 --> 00:02:07.000]  就知道原來不是
[00:02:07.000 --> 00:02:09.000]  打中文很難去的
[00:02:09.000 --> 00:02:10.000]  但是我最重要的
[00:02:10.000 --> 00:02:12.000]  我不單單立刻找人去幫忙
